year,hhtyp,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Single-person household,West,,,,,,,,,,,,
1984,Couple without children,West,,,,,,,,,,,,
1984,Single parent,West,,,,,,,,,,,,
1984,Couple with children,West,,,,,,,,,,,,
1984,Multi-generational household,West,,,,,,,,,,,,
1984,Other Combinations,West,,,,,,,,,,,,
1985,Single-person household,West,,,,,,,,,,,,
1985,Couple without children,West,,,,,,,,,,,,
1985,Single parent,West,,,,,,,,,,,,
1985,Couple with children,West,,,,,,,,,,,,
1985,Multi-generational household,West,,,,,,,,,,,,
1985,Other Combinations,West,,,,,,,,,,,,
1986,Single-person household,West,,,,,,,,,,,,
1986,Couple without children,West,,,,,,,,,,,,
1986,Single parent,West,,,,,,,,,,,,
1986,Couple with children,West,,,,,,,,,,,,
1986,Multi-generational household,West,,,,,,,,,,,,
1986,Other Combinations,West,,,,,,,,,,,,
1987,Single-person household,West,,,,,,,,,,,,
1987,Couple without children,West,,,,,,,,,,,,
1987,Single parent,West,,,,,,,,,,,,
1987,Couple with children,West,,,,,,,,,,,,
1987,Multi-generational household,West,,,,,,,,,,,,
1987,Other Combinations,West,,,,,,,,,,,,
1988,Single-person household,West,,,,,,,,,,,,
1988,Couple without children,West,,,,,,,,,,,,
1988,Single parent,West,,,,,,,,,,,,
1988,Couple with children,West,,,,,,,,,,,,
1988,Multi-generational household,West,,,,,,,,,,,,
1988,Other Combinations,West,,,,,,,,,,,,
1989,Single-person household,West,,,,,,,,,,,,
1989,Couple without children,West,,,,,,,,,,,,
1989,Single parent,West,,,,,,,,,,,,
1989,Couple with children,West,,,,,,,,,,,,
1989,Multi-generational household,West,,,,,,,,,,,,
1989,Other Combinations,West,,,,,,,,,,,,
1990,Single-person household,West,,,,,,,,,,,,
1990,Single-person household,East,,,,,,,,,,,,
1990,Couple without children,West,,,,,,,,,,,,
1990,Couple without children,East,,,,,,,,,,,,
1990,Single parent,West,,,,,,,,,,,,
1990,Single parent,East,,,,,,,,,,,,
1990,Couple with children,West,,,,,,,,,,,,
1990,Couple with children,East,,,,,,,,,,,,
1990,Multi-generational household,West,,,,,,,,,,,,
1990,Multi-generational household,East,,,,,,,,,,,,
1990,Other Combinations,West,,,,,,,,,,,,
1990,Other Combinations,East,,,,,,,,,,,,
1991,Single-person household,West,,,,,,,,,,,,
1991,Single-person household,East,,,,,,,,,,,,
1991,Couple without children,West,,,,,,,,,,,,
1991,Couple without children,East,,,,,,,,,,,,
1991,Single parent,West,,,,,,,,,,,,
1991,Single parent,East,,,,,,,,,,,,
1991,Couple with children,West,,,,,,,,,,,,
1991,Couple with children,East,,,,,,,,,,,,
1991,Multi-generational household,West,,,,,,,,,,,,
1991,Multi-generational household,East,,,,,,,,,,,,
1991,Other Combinations,West,,,,,,,,,,,,
1991,Other Combinations,East,,,,,,,,,,,,
1992,Single-person household,West,,,,,,,,,,,,
1992,Single-person household,East,,,,,,,,,,,,
1992,Couple without children,West,,,,,,,,,,,,
1992,Couple without children,East,,,,,,,,,,,,
1992,Single parent,West,,,,,,,,,,,,
1992,Single parent,East,,,,,,,,,,,,
1992,Couple with children,West,,,,,,,,,,,,
1992,Couple with children,East,,,,,,,,,,,,
1992,Multi-generational household,West,,,,,,,,,,,,
1992,Multi-generational household,East,,,,,,,,,,,,
1992,Other Combinations,West,,,,,,,,,,,,
1992,Other Combinations,East,,,,,,,,,,,,
1993,Single-person household,West,,,,,,,,,,,,
1993,Single-person household,East,,,,,,,,,,,,
1993,Couple without children,West,,,,,,,,,,,,
1993,Couple without children,East,,,,,,,,,,,,
1993,Single parent,West,,,,,,,,,,,,
1993,Single parent,East,,,,,,,,,,,,
1993,Couple with children,West,,,,,,,,,,,,
