,Unnamed: 0,year,quintil_oecd_hh,regtyp,pet_othrodent,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,1st Quintile,Urban regions,Yes,0.01528,47,14202,0.01071,0.02139
1,1,2016,1st Quintile,Urban regions,No,0.98472,1905,14202,0.93293,1.03224
2,2,2016,1st Quintile,Rural regions,Yes,0.02985,49,14202,0.02063,0.04083
3,3,2016,1st Quintile,Rural regions,No,0.97015,1064,14202,0.89927,1.06311
4,4,2016,2nd Quintile,Urban regions,Yes,0.01877,73,14202,0.01276,0.02823
5,5,2016,2nd Quintile,Urban regions,No,0.98123,1836,14202,0.93497,1.03012
6,6,2016,2nd Quintile,Rural regions,Yes,0.02419,48,14202,0.01859,0.03173
7,7,2016,2nd Quintile,Rural regions,No,0.97581,1145,14202,0.92557,1.04195
8,8,2016,3rd Quintile,Urban regions,Yes,0.01358,37,14202,0.0088,0.02031
9,9,2016,3rd Quintile,Urban regions,No,0.98642,1671,14202,0.9409,1.03032
10,10,2016,3rd Quintile,Rural regions,No,1.0,1016,14202,0.93795,1.05229
11,11,2016,4th Quintile,Urban regions,Yes,0.01644,42,14202,0.01173,0.02266
12,12,2016,4th Quintile,Urban regions,No,0.98356,1728,14202,0.94023,1.02518
13,13,2016,4th Quintile,Rural regions,No,1.0,864,14202,0.93382,1.08254
14,14,2016,5th Quintile,Urban regions,No,1.0,1992,14202,0.96462,1.04662
15,15,2016,5th Quintile,Rural regions,No,1.0,685,14202,0.9246,1.07576
16,16,2021,1st Quintile,Urban regions,No,1.0,1325,10867,0.94223,1.06164
17,17,2021,1st Quintile,Rural regions,No,1.0,694,10867,0.91393,1.07376
18,18,2021,2nd Quintile,Urban regions,Yes,0.02787,38,10867,0.0162,0.04268
19,19,2021,2nd Quintile,Urban regions,No,0.97213,1306,10867,0.91221,1.0292
20,20,2021,2nd Quintile,Rural regions,No,1.0,832,10867,0.91058,1.0989
21,21,2021,3rd Quintile,Urban regions,No,1.0,1281,10867,0.93153,1.06196
22,22,2021,3rd Quintile,Rural regions,No,1.0,686,10867,0.9159,1.08922
23,23,2021,4th Quintile,Urban regions,No,1.0,1392,10867,0.94729,1.06355
24,24,2021,4th Quintile,Rural regions,No,1.0,653,10867,0.91986,1.09955
25,25,2021,5th Quintile,Urban regions,Yes,0.009,36,10867,0.00576,0.01252
26,26,2021,5th Quintile,Urban regions,No,0.991,1926,10867,0.92801,1.05923
27,27,2021,5th Quintile,Rural regions,No,1.0,698,10867,0.90021,1.10734
