,Unnamed: 0,year,quintil_oecd_hh,pet_othrodent,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,1st Quintile,Yes,0.02012,96,14297,0.01597,0.025
1,1,2016,1st Quintile,No,0.97988,2969,14297,0.93805,1.01557
2,2,2016,2nd Quintile,Yes,0.02066,121,14297,0.01622,0.02627
3,3,2016,2nd Quintile,No,0.97934,2981,14297,0.94206,1.01741
4,4,2016,3rd Quintile,Yes,0.01732,64,14297,0.01228,0.02288
5,5,2016,3rd Quintile,No,0.98268,2687,14297,0.94328,1.01942
6,6,2016,4th Quintile,Yes,0.01769,66,14297,0.01295,0.02329
7,7,2016,4th Quintile,No,0.98231,2592,14297,0.94173,1.01809
8,8,2016,5th Quintile,Yes,0.00716,44,14297,0.00516,0.0093
9,9,2016,5th Quintile,No,0.99284,2677,14297,0.95846,1.03456
10,10,2021,1st Quintile,Yes,0.01397,46,11037,0.00912,0.02046
11,11,2021,1st Quintile,No,0.98603,2020,11037,0.9425,1.03373
12,12,2021,2nd Quintile,Yes,0.0237,64,11037,0.01608,0.03451
13,13,2021,2nd Quintile,No,0.9763,2138,11037,0.92734,1.02016
14,14,2021,3rd Quintile,Yes,0.01022,48,11037,0.00651,0.0142
15,15,2021,3rd Quintile,No,0.98978,1967,11037,0.94451,1.04188
16,16,2021,4th Quintile,Yes,0.0149,38,11037,0.00987,0.02188
17,17,2021,4th Quintile,No,0.9851,2045,11037,0.93996,1.03097
18,18,2021,5th Quintile,Yes,0.01065,47,11037,0.00677,0.01478
19,19,2021,5th Quintile,No,0.98935,2624,11037,0.94322,1.04312
