year,hhtyp,quintil_oecd_hh,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,1st Quintile,No,0.99325,982,982,0.98812,0.99837
2016,Single-person household,2nd Quintile,No,0.99523,723,723,0.99021,1.00026
2016,Single-person household,3rd Quintile,No,0.99559,632,632,0.99042,1.00076
2016,Single-person household,4th Quintile,No,0.99856,551,551,0.99540,1.00173
2016,Couple without children,1st Quintile,No,0.99413,429,429,0.98690,1.00137
2016,Couple without children,2nd Quintile,No,0.99514,705,705,0.99000,1.00028
2016,Couple without children,3rd Quintile,No,0.98373,751,751,0.97467,0.99278
2016,Couple without children,4th Quintile,No,0.98468,909,909,0.97669,0.99267
2016,Couple without children,5th Quintile,No,0.99735,1257,1257,0.99451,1.00019
2016,Single parent,1st Quintile,Yes,0.05489,41,653,0.03741,0.07238
2016,Single parent,1st Quintile,No,0.94511,612,653,0.92762,0.96259
2016,Single parent,2nd Quintile,No,0.96387,383,383,0.94516,0.98258
2016,Single parent,3rd Quintile,No,0.96924,226,226,0.94667,0.99180
2016,Single parent,4th Quintile,No,0.97843,146,146,0.95478,1.00208
2016,Single parent,5th Quintile,No,0.99185,80,80,0.97201,1.01168
2016,Couple with children,1st Quintile,Yes,0.05890,45,926,0.04373,0.07408
2016,Couple with children,1st Quintile,No,0.94110,881,926,0.92592,0.95627
2016,Couple with children,2nd Quintile,Yes,0.04954,70,1112,0.03678,0.06230
2016,Couple with children,2nd Quintile,No,0.95046,1042,1112,0.93770,0.96322
2016,Couple with children,3rd Quintile,Yes,0.04726,53,1057,0.03446,0.06005
2016,Couple with children,3rd Quintile,No,0.95274,1004,1057,0.93995,0.96554
2016,Couple with children,4th Quintile,Yes,0.03725,38,993,0.02546,0.04903
2016,Couple with children,4th Quintile,No,0.96275,955,993,0.95097,0.97454
2016,Couple with children,5th Quintile,Yes,0.02911,36,901,0.01813,0.04009
2016,Couple with children,5th Quintile,No,0.97089,865,901,0.95991,0.98187
2016,Multi-generational household,1st Quintile,No,0.97303,33,33,0.91690,1.02916
2016,Other Combinations,1st Quintile,No,0.93825,57,57,0.87521,1.00130
2016,Other Combinations,2nd Quintile,No,0.88876,44,44,0.79478,0.98274
2021,Single-person household,1st Quintile,No,0.99316,921,921,0.98783,0.99848
2021,Single-person household,2nd Quintile,No,0.99614,622,622,0.99127,1.00102
2021,Single-person household,3rd Quintile,No,0.99809,557,557,0.99446,1.00172
2021,Single-person household,4th Quintile,No,0.99801,512,512,0.99415,1.00187
2021,Single-person household,5th Quintile,No,0.99636,540,540,0.99128,1.00144
2021,Couple without children,1st Quintile,No,0.98922,336,336,0.97816,1.00028
2021,Couple without children,2nd Quintile,No,0.98296,554,554,0.97217,0.99375
2021,Couple without children,3rd Quintile,No,0.99821,559,559,0.99470,1.00172
2021,Couple without children,4th Quintile,No,0.98438,691,691,0.97512,0.99363
2021,Couple without children,5th Quintile,No,0.99162,1238,1238,0.98654,0.99670
2021,Single parent,1st Quintile,No,0.92104,256,256,0.88794,0.95414
2021,Single parent,2nd Quintile,No,0.88809,259,259,0.84962,0.92656
2021,Single parent,3rd Quintile,No,0.98878,138,138,0.97114,1.00642
2021,Single parent,4th Quintile,No,0.94226,121,121,0.90053,0.98400
2021,Single parent,5th Quintile,No,0.97984,74,74,0.94760,1.01208
2021,Couple with children,1st Quintile,No,0.98582,390,390,0.97408,0.99757
2021,Couple with children,2nd Quintile,No,0.95690,604,604,0.94069,0.97311
2021,Couple with children,3rd Quintile,Yes,0.02517,35,688,0.01345,0.03688
2021,Couple with children,3rd Quintile,No,0.97483,653,688,0.96312,0.98655
2021,Couple with children,4th Quintile,No,0.96813,642,642,0.95453,0.98173
2021,Couple with children,5th Quintile,Yes,0.02308,31,769,0.01246,0.03370
2021,Couple with children,5th Quintile,No,0.97692,738,769,0.96630,0.98754
2021,Other Combinations,4th Quintile,No,0.98575,50,50,0.95257,1.01893
2021,Other Combinations,5th Quintile,No,0.96333,52,52,0.91174,1.01491
