,Unnamed: 0,year,regtyp,sampreg,pet_othrodent,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Urban regions,West,Yes,0.01339,193,14302,0.01115,0.0158
1,1,2016,Urban regions,West,No,0.98661,8050,14302,0.96651,1.00468
2,2,2016,Urban regions,East,Yes,0.01722,35,14302,0.01169,0.02339
3,3,2016,Urban regions,East,No,0.98278,1087,14302,0.92371,1.04162
4,4,2016,Rural regions,West,Yes,0.01772,89,14302,0.01305,0.02368
5,5,2016,Rural regions,West,No,0.98228,2896,14302,0.94668,1.02188
6,6,2016,Rural regions,East,Yes,0.0313,74,14302,0.02491,0.03964
7,7,2016,Rural regions,East,No,0.9687,1878,14302,0.9177,1.0155
8,8,2021,Urban regions,West,Yes,0.01401,128,11027,0.01093,0.01716
9,9,2021,Urban regions,West,No,0.98599,6374,11027,0.95451,1.01802
10,10,2021,Urban regions,East,No,1.0,870,11027,0.91515,1.08973
11,11,2021,Rural regions,West,Yes,0.0157,50,11027,0.00892,0.02214
12,12,2021,Rural regions,West,No,0.9843,2112,11027,0.93075,1.0356
13,13,2021,Rural regions,East,Yes,0.01708,37,11027,0.00903,0.02732
14,14,2021,Rural regions,East,No,0.98292,1456,11027,0.9288,1.04424
