,Unnamed: 0,year,hhtyp,pet_othrodent,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Single-person household,No,1.0,3372,14276,0.97353,1.02622
1,1,2016,Couple without children,Yes,0.00899,46,14276,0.00611,0.01244
2,2,2016,Couple without children,No,0.99101,4051,14276,0.96012,1.02178
3,3,2016,Single parent,Yes,0.03908,77,14276,0.03182,0.04905
4,4,2016,Single parent,No,0.96092,1447,14276,0.90986,1.02157
5,5,2016,Couple with children,Yes,0.04337,242,14276,0.03714,0.0513
6,6,2016,Couple with children,No,0.95663,4748,14276,0.92203,0.99264
7,7,2016,Multi-generational household,No,1.0,104,14276,0.74909,1.24394
8,8,2016,Other Combinations,No,1.0,189,14276,0.86082,1.1576
9,9,2021,Single-person household,No,1.0,3174,10926,0.96492,1.03175
10,10,2021,Couple without children,Yes,0.01005,34,10926,0.00651,0.01467
11,11,2021,Couple without children,No,0.98995,3364,10926,0.94646,1.03313
12,12,2021,Single parent,Yes,0.07335,47,10926,0.04589,0.09951
13,13,2021,Single parent,No,0.92665,847,10926,0.84796,1.00333
14,14,2021,Couple with children,Yes,0.02848,134,10926,0.02357,0.0339
15,15,2021,Couple with children,No,0.97152,3005,10926,0.92757,1.01849
16,16,2021,Multi-generational household,No,1.0,72,10926,0.68662,1.39016
17,17,2021,Other Combinations,No,1.0,249,10926,0.86348,1.17711
