,Unnamed: 0,year,hhtyp,sampreg,pet_othrodent,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Single-person household,West,No,1.0,2523,14192,0.96963,1.02593
1,1,2016,Single-person household,East,No,1.0,849,14192,0.95092,1.05433
2,2,2016,Couple without children,West,Yes,0.00842,33,14192,0.00529,0.01207
3,3,2016,Couple without children,West,No,0.99158,3052,14192,0.96113,1.02697
4,4,2016,Couple without children,East,No,1.0,999,14192,0.93789,1.07202
5,5,2016,Single parent,West,Yes,0.03333,56,14192,0.02437,0.04254
6,6,2016,Single parent,West,No,0.96667,1132,14192,0.89839,1.02924
7,7,2016,Single parent,East,No,1.0,315,14192,0.88909,1.13499
8,8,2016,Couple with children,West,Yes,0.0365,173,14192,0.0291,0.04519
9,9,2016,Couple with children,West,No,0.9635,3996,14192,0.93258,1.00923
10,10,2016,Couple with children,East,Yes,0.08293,69,14192,0.06773,0.0992
11,11,2016,Couple with children,East,No,0.91707,752,14192,0.83699,1.01724
12,12,2016,Multi-generational household,West,No,1.0,81,14192,0.75079,1.25676
13,13,2016,Other Combinations,West,No,1.0,162,14192,0.85223,1.16629
14,14,2021,Single-person household,West,No,1.0,2467,10863,0.96417,1.04017
15,15,2021,Single-person household,East,No,1.0,707,10863,0.92726,1.07606
16,16,2021,Couple without children,West,No,1.0,2558,10863,0.9569,1.04351
17,17,2021,Couple without children,East,No,1.0,806,10863,0.90758,1.09548
18,18,2021,Single parent,West,Yes,0.07444,33,10863,0.04415,0.10901
19,19,2021,Single parent,West,No,0.92556,622,10863,0.83034,1.0177
20,20,2021,Single parent,East,No,1.0,225,10863,0.87143,1.17577
21,21,2021,Couple with children,West,Yes,0.02687,99,10863,0.02124,0.03432
22,22,2021,Couple with children,West,No,0.97313,2495,10863,0.91813,1.02719
23,23,2021,Couple with children,East,Yes,0.0383,35,10863,0.02327,0.05626
24,24,2021,Couple with children,East,No,0.9617,510,10863,0.83403,1.10532
25,25,2021,Multi-generational household,West,No,1.0,57,10863,0.68147,1.41357
26,26,2021,Other Combinations,West,No,1.0,209,10863,0.84902,1.16108
27,27,2021,Other Combinations,East,No,1.0,40,10863,0.69621,1.34246
