,Unnamed: 0,year,hhtyp,regtyp,pet_othrodent,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Single-person household,Urban regions,No,1.0,2309,14230,0.97479,1.03879
1,1,2016,Single-person household,Rural regions,No,1.0,1063,14230,0.94876,1.03901
2,2,2016,Couple without children,Urban regions,No,1.0,2540,14230,0.96411,1.03613
3,3,2016,Couple without children,Rural regions,No,1.0,1511,14230,0.95448,1.04848
4,4,2016,Single parent,Urban regions,Yes,0.02938,45,14230,0.02381,0.03617
5,5,2016,Single parent,Urban regions,No,0.97062,946,14230,0.89209,1.02941
6,6,2016,Single parent,Rural regions,Yes,0.05708,32,14230,0.03736,0.08709
7,7,2016,Single parent,Rural regions,No,0.94292,501,14230,0.8401,1.04459
8,8,2016,Couple with children,Urban regions,Yes,0.03942,142,14230,0.03062,0.04987
9,9,2016,Couple with children,Urban regions,No,0.96058,3147,14230,0.91782,1.00332
10,10,2016,Couple with children,Rural regions,Yes,0.05218,100,14230,0.04263,0.06385
11,11,2016,Couple with children,Rural regions,No,0.94782,1601,14230,0.89468,1.00642
12,12,2016,Multi-generational household,Urban regions,No,1.0,63,14230,0.72104,1.30124
13,13,2016,Multi-generational household,Rural regions,No,1.0,41,14230,0.56418,1.48656
14,14,2016,Other Combinations,Urban regions,No,1.0,132,14230,0.88162,1.15898
15,15,2016,Other Combinations,Rural regions,No,1.0,57,14230,0.76536,1.3148
16,16,2021,Single-person household,Urban regions,No,1.0,2236,10849,0.95836,1.04482
17,17,2021,Single-person household,Rural regions,No,1.0,937,10849,0.93873,1.0524
18,18,2021,Couple without children,Urban regions,No,1.0,2184,10849,0.95119,1.05611
19,19,2021,Couple without children,Rural regions,No,1.0,1180,10849,0.93149,1.06666
20,20,2021,Single parent,Urban regions,Yes,0.08013,32,10849,0.04603,0.12083
21,21,2021,Single parent,Urban regions,No,0.91987,538,10849,0.82097,1.01625
22,22,2021,Single parent,Rural regions,No,1.0,309,10849,0.8695,1.13651
23,23,2021,Couple with children,Urban regions,Yes,0.02962,81,10849,0.02175,0.03878
24,24,2021,Couple with children,Urban regions,No,0.97038,1998,10849,0.91664,1.02315
25,25,2021,Couple with children,Rural regions,Yes,0.02607,53,10849,0.01854,0.03481
26,26,2021,Couple with children,Rural regions,No,0.97393,1007,10849,0.89478,1.05681
27,27,2021,Multi-generational household,Urban regions,No,1.0,45,10849,0.66037,1.49739
28,28,2021,Other Combinations,Urban regions,No,1.0,174,10849,0.82355,1.22459
29,29,2021,Other Combinations,Rural regions,No,1.0,75,10849,0.76217,1.21644
