,Unnamed: 0,year,bula_h,hhtyp,pet_othrodent,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Schleswig-Holstein,Single-person household,No,1.0,125,13647,0.86915,1.1395
1,1,2016,Schleswig-Holstein,Couple without children,No,1.0,130,13647,0.86468,1.16797
2,2,2016,Schleswig-Holstein,Single parent,No,1.0,54,13647,0.81678,1.20608
3,3,2016,Schleswig-Holstein,Couple with children,No,1.0,166,13647,0.833,1.24016
4,4,2016,Hamburg,Single-person household,No,1.0,71,13647,0.86097,1.12847
5,5,2016,Hamburg,Couple without children,No,1.0,66,13647,0.78413,1.18827
6,6,2016,Hamburg,Couple with children,No,1.0,88,13647,0.77374,1.23437
7,7,2016,Lower Saxony,Single-person household,No,1.0,287,13647,0.91585,1.09478
8,8,2016,Lower Saxony,Couple without children,No,1.0,390,13647,0.90192,1.11148
9,9,2016,Lower Saxony,Single parent,No,1.0,144,13647,0.82405,1.19356
10,10,2016,Lower Saxony,Couple with children,No,1.0,457,13647,0.86898,1.11698
11,11,2016,Bremen,Couple with children,No,1.0,35,13647,0.63939,1.54898
12,12,2016,North Rhine-Westphalia,Single-person household,No,1.0,604,13647,0.94772,1.05576
13,13,2016,North Rhine-Westphalia,Couple without children,No,1.0,775,13647,0.9275,1.06797
14,14,2016,North Rhine-Westphalia,Single parent,No,1.0,300,13647,0.88043,1.14191
15,15,2016,North Rhine-Westphalia,Couple with children,Yes,0.03777,47,13647,0.02508,0.05412
16,16,2016,North Rhine-Westphalia,Couple with children,No,0.96223,1092,13647,0.88449,1.03436
17,17,2016,North Rhine-Westphalia,Other Combinations,No,1.0,44,13647,0.7415,1.24229
18,18,2016,Hesse,Single-person household,No,1.0,209,13647,0.90682,1.11213
19,19,2016,Hesse,Couple without children,No,1.0,280,13647,0.9045,1.09425
20,20,2016,Hesse,Single parent,No,1.0,103,13647,0.7689,1.29751
21,21,2016,Hesse,Couple with children,No,1.0,334,13647,0.88629,1.13591
22,22,2016,"Rhineland-Palatinate, Saarland",Single-person household,No,1.0,205,13647,0.91041,1.09301
23,23,2016,"Rhineland-Palatinate, Saarland",Couple without children,No,1.0,239,13647,0.89378,1.11693
24,24,2016,"Rhineland-Palatinate, Saarland",Single parent,No,1.0,79,13647,0.80088,1.21005
25,25,2016,"Rhineland-Palatinate, Saarland",Couple with children,No,1.0,282,13647,0.86633,1.18162
26,26,2016,Baden-Wuerttemberg,Single-person household,No,1.0,347,13647,0.9315,1.07174
27,27,2016,Baden-Wuerttemberg,Couple without children,No,1.0,426,13647,0.91229,1.08856
28,28,2016,Baden-Wuerttemberg,Single parent,No,1.0,139,13647,0.82127,1.2397
29,29,2016,Baden-Wuerttemberg,Couple with children,No,1.0,641,13647,0.89472,1.10158
30,30,2016,Bavaria,Single-person household,No,1.0,514,13647,0.93901,1.0621
31,31,2016,Bavaria,Couple without children,No,1.0,626,13647,0.93206,1.07168
32,32,2016,Bavaria,Single parent,No,1.0,230,13647,0.86182,1.16522
33,33,2016,Bavaria,Couple with children,Yes,0.02596,35,13647,0.01757,0.03723
34,34,2016,Bavaria,Couple with children,No,0.97404,831,13647,0.89797,1.05654
35,35,2016,Berlin,Single-person household,No,1.0,227,13647,0.90695,1.09174
36,36,2016,Berlin,Couple without children,No,1.0,166,13647,0.8407,1.15935
37,37,2016,Berlin,Single parent,No,1.0,63,13647,0.79891,1.23504
38,38,2016,Berlin,Couple with children,No,1.0,130,13647,0.84424,1.21888
39,39,2016,Brandenburg,Single-person household,No,1.0,133,13647,0.85816,1.17178
40,40,2016,Brandenburg,Couple without children,No,1.0,211,13647,0.86409,1.12486
41,41,2016,Brandenburg,Single parent,No,1.0,48,13647,0.76029,1.26779
42,42,2016,Brandenburg,Couple with children,No,1.0,139,13647,0.76056,1.20329
43,43,2016,Mecklenburg-Western Pomerania,Single-person household,No,1.0,101,13647,0.84187,1.13194
44,44,2016,Mecklenburg-Western Pomerania,Couple without children,No,1.0,106,13647,0.8559,1.22791
45,45,2016,Mecklenburg-Western Pomerania,Single parent,No,1.0,35,13647,0.78217,1.24399
46,46,2016,Mecklenburg-Western Pomerania,Couple with children,No,1.0,68,13647,0.73345,1.36751
47,47,2016,Saxony,Single-person household,No,1.0,225,13647,0.92225,1.11516
48,48,2016,Saxony,Couple without children,No,1.0,282,13647,0.90616,1.09796
49,49,2016,Saxony,Single parent,No,1.0,89,13647,0.77958,1.28539
50,50,2016,Saxony,Couple with children,No,1.0,222,13647,0.82609,1.21577
51,51,2016,Saxony-Anhalt,Single-person household,No,1.0,148,13647,0.88413,1.12198
52,52,2016,Saxony-Anhalt,Couple without children,No,1.0,151,13647,0.83674,1.20061
53,53,2016,Saxony-Anhalt,Single parent,No,1.0,67,13647,0.74861,1.35155
54,54,2016,Saxony-Anhalt,Couple with children,No,1.0,122,13647,0.83576,1.16541
55,55,2016,Thuringa,Single-person household,No,1.0,150,13647,0.85721,1.15372
56,56,2016,Thuringa,Couple without children,No,1.0,180,13647,0.84886,1.17199
57,57,2016,Thuringa,Single parent,No,1.0,48,13647,0.6874,1.34565
58,58,2016,Thuringa,Couple with children,No,1.0,141,13647,0.8118,1.25791
59,59,2021,Schleswig-Holstein,Single-person household,No,1.0,100,10405,0.80118,1.16243
60,60,2021,Schleswig-Holstein,Couple without children,No,1.0,122,10405,0.77947,1.17952
61,61,2021,Schleswig-Holstein,Single parent,No,1.0,31,10405,0.68708,1.38728
62,62,2021,Schleswig-Holstein,Couple with children,No,1.0,148,10405,0.83094,1.19983
63,63,2021,Hamburg,Single-person household,No,1.0,81,10405,0.77491,1.21297
64,64,2021,Hamburg,Couple without children,No,1.0,89,10405,0.77061,1.26646
65,65,2021,Hamburg,Couple with children,No,1.0,62,10405,0.69481,1.3644
66,66,2021,Lower Saxony,Single-person household,No,1.0,288,10405,0.89278,1.11598
67,67,2021,Lower Saxony,Couple without children,No,1.0,327,10405,0.89351,1.15048
68,68,2021,Lower Saxony,Single parent,No,1.0,86,10405,0.75961,1.31538
69,69,2021,Lower Saxony,Couple with children,No,1.0,303,10405,0.81715,1.19039
70,70,2021,North Rhine-Westphalia,Single-person household,No,1.0,628,10405,0.91367,1.07425
71,71,2021,North Rhine-Westphalia,Couple without children,No,1.0,670,10405,0.93111,1.08937
