"year","regtyp","sex","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2008","Laendlicher Raum","maennlich","7.06","6.5","3216","7.02","7.1"
"2008","Laendlicher Raum","weiblich","7.17","6.5","3436","7.13","7.21"
"2008","Staedtischer Raum","maennlich","7","6.5","5971","6.97","7.03"
"2008","Staedtischer Raum","weiblich","7.07","6.5","6631","7.04","7.1"
"2009","Laendlicher Raum","maennlich","7.02","6.5","3062","6.98","7.06"
"2009","Laendlicher Raum","weiblich","7.1","6.5","3271","7.06","7.14"
"2009","Staedtischer Raum","maennlich","6.98","6.5","5503","6.95","7.01"
"2009","Staedtischer Raum","weiblich","7.01","6.5","6102","6.98","7.04"
"2010","Laendlicher Raum","maennlich","6.98","6.5","3839","6.94","7.02"
"2010","Laendlicher Raum","weiblich","6.98","6.5","4506","6.94","7.02"
"2010","Staedtischer Raum","maennlich","6.95","6.5","7041","6.92","6.98"
"2010","Staedtischer Raum","weiblich","6.97","6.5","8509","6.94","7"
"2011","Laendlicher Raum","maennlich","6.94","6.5","4695","6.91","6.97"
"2011","Laendlicher Raum","weiblich","6.99","6.5","5534","6.96","7.02"
"2011","Staedtischer Raum","maennlich","6.91","6.5","8131","6.89","6.93"
"2011","Staedtischer Raum","weiblich","6.94","6.5","9963","6.92","6.96"
"2012","Laendlicher Raum","maennlich","6.93","6.5","4657","6.9","6.96"
"2012","Laendlicher Raum","weiblich","6.98","6.5","5465","6.95","7.01"
"2012","Staedtischer Raum","maennlich","6.91","6.5","7868","6.88","6.94"
"2012","Staedtischer Raum","weiblich","6.97","6.5","9564","6.95","6.99"
"2013","Laendlicher Raum","maennlich","6.96","6.5","4301","6.92","7"
"2013","Laendlicher Raum","weiblich","6.91","6.5","5083","6.88","6.94"
"2013","Staedtischer Raum","maennlich","6.9","6.5","7293","6.87","6.93"
"2013","Staedtischer Raum","weiblich","6.88","6.5","8941","6.86","6.9"
"2014","Laendlicher Raum","maennlich","","","","",""
"2014","Laendlicher Raum","weiblich","","","","",""
"2014","Staedtischer Raum","maennlich","","","","",""
"2014","Staedtischer Raum","weiblich","","","","",""
"2015","Laendlicher Raum","maennlich","6.89","6.5","4084","6.85","6.93"
"2015","Laendlicher Raum","weiblich","6.91","6.5","4773","6.87","6.95"
"2015","Staedtischer Raum","maennlich","6.92","6.5","7339","6.89","6.95"
"2015","Staedtischer Raum","weiblich","6.87","6.5","8760","6.84","6.9"
"2016","Laendlicher Raum","maennlich","","","","",""
"2016","Laendlicher Raum","weiblich","","","","",""
"2016","Staedtischer Raum","maennlich","","","","",""
"2016","Staedtischer Raum","weiblich","","","","",""
"2017","Laendlicher Raum","maennlich","6.87","6.5","4396","6.83","6.91"
"2017","Laendlicher Raum","weiblich","6.82","6.5","5012","6.79","6.85"
"2017","Staedtischer Raum","maennlich","6.85","6.5","7837","6.82","6.88"
"2017","Staedtischer Raum","weiblich","6.83","6.5","9239","6.8","6.86"
"2018","Laendlicher Raum","maennlich","","","","",""
"2018","Laendlicher Raum","weiblich","","","","",""
"2018","Staedtischer Raum","maennlich","","","","",""
"2018","Staedtischer Raum","weiblich","","","","",""
"2019","Laendlicher Raum","maennlich","6.82","6.5","4244","6.78","6.86"
"2019","Laendlicher Raum","weiblich","6.75","6.5","4605","6.71","6.79"
"2019","Staedtischer Raum","maennlich","6.83","6.5","7760","6.8","6.86"
"2019","Staedtischer Raum","weiblich","6.75","6.5","8610","6.72","6.78"
"2020","Laendlicher Raum","maennlich","6.91","6.5","4633","6.88","6.94"
"2020","Laendlicher Raum","weiblich","6.85","6.5","4801","6.81","6.89"
"2020","Staedtischer Raum","maennlich","6.92","6.5","9325","6.9","6.94"
"2020","Staedtischer Raum","weiblich","6.89","6.5","9649","6.87","6.91"
