"year","bildungsniveau","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2008","(Fach-)Abitur","7.1","6.5","2166","7.05","7.15"
"2008","(noch) kein Abschluss","7.17","6.5","543","7.07","7.27"
"2008","AkademikerIn","7.05","6.5","4190","7.02","7.08"
"2008","Hauptschule","7.06","6.5","6788","7.03","7.09"
"2008","Realschule","7.01","6.5","5095","6.98","7.04"
"2009","(Fach-)Abitur","7.08","6.5","1999","7.03","7.13"
"2009","(noch) kein Abschluss","7.08","6.5","482","6.98","7.18"
"2009","AkademikerIn","7.03","6.5","4027","7","7.06"
"2009","Hauptschule","7.03","6.5","6173","7","7.06"
"2009","Realschule","6.93","6.5","4792","6.9","6.96"
"2010","(Fach-)Abitur","7.01","6.5","3056","6.97","7.05"
"2010","(noch) kein Abschluss","7.03","6.5","770","6.94","7.12"
"2010","AkademikerIn","6.98","6.5","5366","6.95","7.01"
"2010","Hauptschule","6.97","6.5","7461","6.94","7"
"2010","Realschule","6.91","6.5","6780","6.88","6.94"
"2011","(Fach-)Abitur","7.01","6.5","3629","6.98","7.04"
"2011","(noch) kein Abschluss","6.89","6.5","899","6.81","6.97"
"2011","AkademikerIn","6.98","6.5","6202","6.96","7"
"2011","Hauptschule","6.93","6.5","8898","6.9","6.96"
"2011","Realschule","6.88","6.5","7918","6.85","6.91"
"2012","(Fach-)Abitur","6.95","6.5","3549","6.91","6.99"
"2012","(noch) kein Abschluss","6.88","6.5","890","6.79","6.97"
"2012","AkademikerIn","6.99","6.5","6134","6.96","7.02"
"2012","Hauptschule","6.96","6.5","8637","6.93","6.99"
"2012","Realschule","6.88","6.5","7728","6.85","6.91"
"2013","(Fach-)Abitur","6.99","6.5","3295","6.95","7.03"
"2013","(noch) kein Abschluss","6.88","6.5","825","6.79","6.97"
"2013","AkademikerIn","6.96","6.5","5845","6.93","6.99"
"2013","Hauptschule","6.89","6.5","7770","6.86","6.92"
"2013","Realschule","6.82","6.5","7223","6.79","6.85"
"2014","(Fach-)Abitur","","","","",""
"2014","(noch) kein Abschluss","","","","",""
"2014","AkademikerIn","","","","",""
"2014","Hauptschule","","","","",""
"2014","Realschule","","","","",""
"2015","(Fach-)Abitur","6.97","6.5","3643","6.93","7.01"
"2015","(noch) kein Abschluss","6.8","6.5","813","6.7","6.9"
"2015","AkademikerIn","6.94","6.5","5858","6.91","6.97"
"2015","Hauptschule","6.88","6.5","7336","6.85","6.91"
"2015","Realschule","6.83","6.5","6480","6.8","6.86"
"2016","(Fach-)Abitur","","","","",""
"2016","(noch) kein Abschluss","","","","",""
"2016","AkademikerIn","","","","",""
"2016","Hauptschule","","","","",""
"2016","Realschule","","","","",""
"2017","(Fach-)Abitur","6.84","6.5","4140","6.81","6.87"
"2017","(noch) kein Abschluss","6.9","6.5","934","6.81","6.99"
"2017","AkademikerIn","6.92","6.5","6507","6.89","6.95"
"2017","Hauptschule","6.82","6.5","7140","6.79","6.85"
"2017","Realschule","6.78","6.5","6924","6.75","6.81"
"2018","(Fach-)Abitur","","","","",""
"2018","(noch) kein Abschluss","","","","",""
"2018","AkademikerIn","","","","",""
"2018","Hauptschule","","","","",""
"2018","Realschule","","","","",""
"2019","(Fach-)Abitur","6.84","6.5","4150","6.81","6.87"
"2019","(noch) kein Abschluss","6.72","6.5","776","6.63","6.81"
"2019","AkademikerIn","6.91","6.5","7041","6.89","6.93"
"2019","Hauptschule","6.72","6.5","6204","6.69","6.75"
"2019","Realschule","6.71","6.5","6749","6.68","6.74"
"2020","(Fach-)Abitur","6.98","6.5","4907","6.95","7.01"
"2020","(noch) kein Abschluss","6.89","6.5","1902","6.84","6.94"
"2020","AkademikerIn","7.02","6.5","7688","7","7.04"
"2020","Hauptschule","6.83","6.5","6525","6.8","6.86"
"2020","Realschule","6.8","6.5","6214","6.77","6.83"
