"year","mean","median","n","lower_confidence","upper_confidence"
"2008","7.06","6.5","19254","7.04","7.08"
"2009","7.02","6.5","17938","7","7.04"
"2010","6.97","6.5","23895","6.96","6.98"
"2011","6.94","6.5","28323","6.93","6.95"
"2012","6.95","6.5","27554","6.94","6.96"
"2013","6.9","6.5","25618","6.89","6.91"
"2014","","","","",""
"2015","6.9","6.5","24956","6.89","6.91"
"2016","","","","",""
"2017","6.84","6.5","26484","6.83","6.85"
"2018","","","","",""
"2019","6.79","6.5","25772","6.78","6.8"
"2020","6.9","6.5","28415","6.89","6.91"
