year,migback,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,No migration background,Urban regions,,,,,,,,,,,,
1985,No migration background,Rural regions,,,,,,,,,,,,
1985,Direct migration background,Urban regions,,,,,,,,,,,,
1985,Direct migration background,Rural regions,,,,,,,,,,,,
1985,Indirect migration background,Urban regions,,,,,,,,,,,,
1985,Indirect migration background,Rural regions,,,,,,,,,,,,
1986,No migration background,Urban regions,,,,,,,,,,,,
1986,No migration background,Rural regions,,,,,,,,,,,,
1986,Direct migration background,Urban regions,,,,,,,,,,,,
1986,Direct migration background,Rural regions,,,,,,,,,,,,
1986,Indirect migration background,Urban regions,,,,,,,,,,,,
1986,Indirect migration background,Rural regions,,,,,,,,,,,,
1987,No migration background,Urban regions,,,,,,,,,,,,
1987,No migration background,Rural regions,,,,,,,,,,,,
1987,Direct migration background,Urban regions,,,,,,,,,,,,
1987,Direct migration background,Rural regions,,,,,,,,,,,,
1987,Indirect migration background,Urban regions,,,,,,,,,,,,
1987,Indirect migration background,Rural regions,,,,,,,,,,,,
1988,No migration background,Urban regions,,,,,,,,,,,,
1988,No migration background,Rural regions,,,,,,,,,,,,
1988,Direct migration background,Urban regions,,,,,,,,,,,,
1988,Direct migration background,Rural regions,,,,,,,,,,,,
1988,Indirect migration background,Urban regions,,,,,,,,,,,,
1988,Indirect migration background,Rural regions,,,,,,,,,,,,
1989,No migration background,Urban regions,,,,,,,,,,,,
1989,No migration background,Rural regions,,,,,,,,,,,,
1989,Direct migration background,Urban regions,,,,,,,,,,,,
1989,Direct migration background,Rural regions,,,,,,,,,,,,
1989,Indirect migration background,Urban regions,,,,,,,,,,,,
1989,Indirect migration background,Rural regions,,,,,,,,,,,,
1990,No migration background,Urban regions,,,,,,,,,,,,
1990,No migration background,Rural regions,,,,,,,,,,,,
1990,Direct migration background,Urban regions,,,,,,,,,,,,
1990,Direct migration background,Rural regions,,,,,,,,,,,,
1990,Indirect migration background,Urban regions,,,,,,,,,,,,
1990,Indirect migration background,Rural regions,,,,,,,,,,,,
1991,No migration background,Urban regions,,,,,,,,,,,,
1991,No migration background,Rural regions,,,,,,,,,,,,
1991,Direct migration background,Urban regions,,,,,,,,,,,,
1991,Direct migration background,Rural regions,,,,,,,,,,,,
1991,Indirect migration background,Urban regions,,,,,,,,,,,,
1991,Indirect migration background,Rural regions,,,,,,,,,,,,
1992,No migration background,Urban regions,,,,,,,,,,,,
1992,No migration background,Rural regions,,,,,,,,,,,,
1992,Direct migration background,Urban regions,,,,,,,,,,,,
1992,Direct migration background,Rural regions,,,,,,,,,,,,
1992,Indirect migration background,Urban regions,,,,,,,,,,,,
1992,Indirect migration background,Rural regions,,,,,,,,,,,,
1993,No migration background,Urban regions,,,,,,,,,,,,
1993,No migration background,Rural regions,,,,,,,,,,,,
1993,Direct migration background,Urban regions,,,,,,,,,,,,
1993,Direct migration background,Rural regions,,,,,,,,,,,,
1993,Indirect migration background,Urban regions,,,,,,,,,,,,
1993,Indirect migration background,Rural regions,,,,,,,,,,,,
1994,No migration background,Urban regions,,,,,,,,,,,,
1994,No migration background,Rural regions,,,,,,,,,,,,
1994,Direct migration background,Urban regions,,,,,,,,,,,,
1994,Direct migration background,Rural regions,,,,,,,,,,,,
1994,Indirect migration background,Urban regions,,,,,,,,,,,,
1994,Indirect migration background,Rural regions,,,,,,,,,,,,
1995,No migration background,Urban regions,,,,,,,,,,,,
1995,No migration background,Rural regions,,,,,,,,,,,,
1995,Direct migration background,Urban regions,,,,,,,,,,,,
1995,Direct migration background,Rural regions,,,,,,,,,,,,
1995,Indirect migration background,Urban regions,,,,,,,,,,,,
1995,Indirect migration background,Rural regions,,,,,,,,,,,,
1996,No migration background,Urban regions,,,,,,,,,,,,
1996,No migration background,Rural regions,,,,,,,,,,,,
1996,Direct migration background,Urban regions,,,,,,,,,,,,
1996,Direct migration background,Rural regions,,,,,,,,,,,,
1996,Indirect migration background,Urban regions,,,,,,,,,,,,
1996,Indirect migration background,Rural regions,,,,,,,,,,,,
1997,No migration background,Urban regions,,,,,,,,,,,,
1997,No migration background,Rural regions,,,,,,,,,,,,
1997,Direct migration background,Urban regions,,,,,,,,,,,,
1997,Direct migration background,Rural regions,,,,,,,,,,,,
1997,Indirect migration background,Urban regions,,,,,,,,,,,,
1997,Indirect migration background,Rural regions,,,,,,,,,,,,
1998,No migration background,Urban regions,,,,,,,,,,,,
1998,No migration background,Rural regions,,,,,,,,,,,,
1998,Direct migration background,Urban regions,,,,,,,,,,,,
1998,Direct migration background,Rural regions,,,,,,,,,,,,
1998,Indirect migration background,Urban regions,,,,,,,,,,,,
1998,Indirect migration background,Rural regions,,,,,,,,,,,,
1999,No migration background,Urban regions,,,,,,,,,,,,
1999,No migration background,Rural regions,,,,,,,,,,,,
1999,Direct migration background,Urban regions,,,,,,,,,,,,
1999,Direct migration background,Rural regions,,,,,,,,,,,,
1999,Indirect migration background,Urban regions,,,,,,,,,,,,
1999,Indirect migration background,Rural regions,,,,,,,,,,,,
2000,No migration background,Urban regions,,,,,,,,,,,,
2000,No migration background,Rural regions,,,,,,,,,,,,
2000,Direct migration background,Urban regions,,,,,,,,,,,,
2000,Direct migration background,Rural regions,,,,,,,,,,,,
2000,Indirect migration background,Urban regions,,,,,,,,,,,,
2000,Indirect migration background,Rural regions,,,,,,,,,,,,
2001,No migration background,Urban regions,,,,,,,,,,,,
2001,No migration background,Rural regions,,,,,,,,,,,,
2001,Direct migration background,Urban regions,,,,,,,,,,,,
2001,Direct migration background,Rural regions,,,,,,,,,,,,
2001,Indirect migration background,Urban regions,,,,,,,,,,,,
2001,Indirect migration background,Rural regions,,,,,,,,,,,,
2002,No migration background,Urban regions,,,,,,,,,,,,
2002,No migration background,Rural regions,,,,,,,,,,,,
2002,Direct migration background,Urban regions,,,,,,,,,,,,
2002,Direct migration background,Rural regions,,,,,,,,,,,,
2002,Indirect migration background,Urban regions,,,,,,,,,,,,
2002,Indirect migration background,Rural regions,,,,,,,,,,,,
2003,No migration background,Urban regions,,,,,,,,,,,,
2003,No migration background,Rural regions,,,,,,,,,,,,
2003,Direct migration background,Urban regions,,,,,,,,,,,,
2003,Direct migration background,Rural regions,,,,,,,,,,,,
2003,Indirect migration background,Urban regions,,,,,,,,,,,,
2003,Indirect migration background,Rural regions,,,,,,,,,,,,
2004,No migration background,Urban regions,,,,,,,,,,,,
2004,No migration background,Rural regions,,,,,,,,,,,,
2004,Direct migration background,Urban regions,,,,,,,,,,,,
2004,Direct migration background,Rural regions,,,,,,,,,,,,
2004,Indirect migration background,Urban regions,,,,,,,,,,,,
2004,Indirect migration background,Rural regions,,,,,,,,,,,,
2005,No migration background,Urban regions,,,,,,,,,,,,
2005,No migration background,Rural regions,,,,,,,,,,,,
2005,Direct migration background,Urban regions,,,,,,,,,,,,
2005,Direct migration background,Rural regions,,,,,,,,,,,,
2005,Indirect migration background,Urban regions,,,,,,,,,,,,
2005,Indirect migration background,Rural regions,,,,,,,,,,,,
2006,No migration background,Urban regions,,,,,,,,,,,,
2006,No migration background,Rural regions,,,,,,,,,,,,
2006,Direct migration background,Urban regions,,,,,,,,,,,,
2006,Direct migration background,Rural regions,,,,,,,,,,,,
2006,Indirect migration background,Urban regions,,,,,,,,,,,,
2006,Indirect migration background,Rural regions,,,,,,,,,,,,
2007,No migration background,Urban regions,,,,,,,,,,,,
2007,No migration background,Rural regions,,,,,,,,,,,,
2007,Direct migration background,Urban regions,,,,,,,,,,,,
2007,Direct migration background,Rural regions,,,,,,,,,,,,
2007,Indirect migration background,Urban regions,,,,,,,,,,,,
2007,Indirect migration background,Rural regions,,,,,,,,,,,,
2008,No migration background,Urban regions,10426,7.043210414304409,7.031939450292221,7.054481378316597,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2008,No migration background,Rural regions,6161,7.109492108917736,7.094997598390188,7.123986619445283,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2008,Direct migration background,Urban regions,1554,6.974916413278314,6.943873069159227,7.0059597573974015,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2008,Direct migration background,Rural regions,349,7.209117079960438,7.151633029698384,7.266601130222493,7.0,7.0,8.0,5.5,9.5,7.0,7.0,7.0
2008,Indirect migration background,Urban regions,651,7.0348708041082215,6.990242536696899,7.079499071519544,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2008,Indirect migration background,Rural regions,113,7.0878610217395295,6.980512851394437,7.195209192084622,6.0,7.0,8.0,4.0,11.0,7.0,7.0,7.0
2009,No migration background,Urban regions,9708,6.991057705913284,6.980075124334371,7.002040287492197,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2009,No migration background,Rural regions,5874,7.059289242246908,7.044580119679306,7.073998364814509,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2009,Direct migration background,Urban regions,1338,6.991260664960217,6.958532138170832,7.023989191749602,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2009,Direct migration background,Rural regions,315,7.1580933837023455,7.09930559906917,7.216881168335521,7.0,7.0,8.0,5.5,9.5,7.0,7.0,7.0
2009,Indirect migration background,Urban regions,587,7.066726679200348,7.022486132574353,7.110967225826342,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2009,Indirect migration background,Rural regions,116,6.9284822235535355,6.839414145108129,7.017550301998942,6.0,7.0,8.0,5.0,10.0,7.0,7.0,7.0
2010,No migration background,Urban regions,12361,6.967387947722728,6.95726400632854,6.977511889116917,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2010,No migration background,Rural regions,7497,6.986596028227115,6.973251962810509,6.999940093643722,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2010,Direct migration background,Urban regions,2311,6.934950233082766,6.909305302056255,6.960595164109277,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2010,Direct migration background,Rural regions,626,6.923106691672411,6.87323383568377,6.972979547661051,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2010,Indirect migration background,Urban regions,906,6.980306457436049,6.941448046294835,7.0191648685772625,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2010,Indirect migration background,Rural regions,194,6.851430350546374,6.7626795957911146,6.940181105301633,6.0,7.0,8.0,3.0,9.0,7.0,7.0,8.0
2011,No migration background,Urban regions,14612,6.928524068278666,6.919104974775078,6.937943161782253,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2011,No migration background,Rural regions,9166,6.977699374858596,6.965655413870631,6.989743335846561,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2011,Direct migration background,Urban regions,2496,6.872452636997411,6.848778629488973,6.896126644505849,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2011,Direct migration background,Rural regions,794,6.906570073276066,6.864572874813725,6.9485672717384075,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2011,Indirect migration background,Urban regions,1016,7.000946043683516,6.96485326801354,7.0370388193534925,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2011,Indirect migration background,Rural regions,237,6.753674042404998,6.67524043009009,6.8321076547199056,6.0,7.0,8.0,3.0,11.0,7.0,7.0,8.0
2012,No migration background,Urban regions,14157,6.952193686159098,6.942527851877587,6.961859520440608,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2012,No migration background,Rural regions,9062,6.969150711401412,6.9567427656209,6.981558657181925,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2012,Direct migration background,Urban regions,2320,6.900019419308876,6.874834006804554,6.925204831813198,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2012,Direct migration background,Rural regions,801,6.910766285436568,6.869683991398332,6.951848579474805,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
