syear,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,West,,,,,,,,,,,,
1985,West,,,,,,,,,,,,
1986,West,,,,,,,,,,,,
1987,West,,,,,,,,,,,,
1988,West,,,,,,,,,,,,
1989,West,,,,,,,,,,,,
1990,West,,,,,,,,,,,,
1990,East,,,,,,,,,,,,
1991,West,,,,,,,,,,,,
1991,East,,,,,,,,,,,,
1992,West,,,,,,,,,,,,
1992,East,,,,,,,,,,,,
1993,West,,,,,,,,,,,,
1993,East,,,,,,,,,,,,
1994,West,,,,,,,,,,,,
1994,East,,,,,,,,,,,,
1995,West,,,,,,,,,,,,
1995,East,,,,,,,,,,,,
1996,West,,,,,,,,,,,,
1996,East,,,,,,,,,,,,
1997,West,,,,,,,,,,,,
1997,East,,,,,,,,,,,,
1998,West,,,,,,,,,,,,
1998,East,,,,,,,,,,,,
1999,West,,,,,,,,,,,,
1999,East,,,,,,,,,,,,
2000,West,,,,,,,,,,,,
2000,East,,,,,,,,,,,,
2001,West,,,,,,,,,,,,
2001,East,,,,,,,,,,,,
2002,West,,,,,,,,,,,,
2002,East,,,,,,,,,,,,
2003,West,,,,,,,,,,,,
2003,East,,,,,,,,,,,,
2004,West,,,,,,,,,,,,
2004,East,,,,,,,,,,,,
2005,West,,,,,,,,,,,,
2005,East,,,,,,,,,,,,
2006,West,,,,,,,,,,,,
2006,East,,,,,,,,,,,,
2007,West,,,,,,,,,,,,
2007,East,,,,,,,,,,,,
2008,West,7.05197594723592,7.042371248236354,7.061580646235485,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,14502.0
2008,East,7.091671593423704,7.075160404936537,7.1081827819108705,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4752.0
2009,West,7.014422670384337,7.004857475184775,7.023987865583899,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,13413.0
2009,East,7.030681798744357,7.014407672515405,7.046955924973309,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4525.0
2010,West,6.971553320402619,6.963033031069753,6.980073609735485,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,18436.0
2010,East,6.9506823817988375,6.935387255269583,6.965977508328092,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5459.0
2011,West,6.935049734126615,6.927336201279841,6.9427632669733885,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,22021.0
2011,East,6.949300420794524,6.93450904678456,6.964091794804488,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,6302.0
2012,West,6.949317638474638,6.94138817192455,6.957247105024726,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,21407.0
2012,East,6.936512715939368,6.921269563171124,6.951755868707612,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,6147.0
2013,West,6.905443589016002,6.897291875408683,6.913595302623321,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,19906.0
2013,East,6.901428190725568,6.885964458273993,6.916891923177142,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5712.0
2014,West,,,,,,,,,,,,
2014,East,,,,,,,,,,,,
2015,West,6.896366636598755,6.888169027241151,6.904564245956358,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,19726.0
2015,East,6.8957089268519285,6.879299573194128,6.912118280509729,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5230.0
2016,West,,,,,,,,,,,,
2016,East,,,,,,,,,,,,
2017,West,6.841959592086753,6.833855097272058,6.850064086901448,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,20903.0
2017,East,6.832139817700451,6.816097622293584,6.848182013107318,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5581.0
2018,West,,,,,,,,,,,,
2018,East,,,,,,,,,,,,
2019,West,6.788947871242382,6.780605840392303,6.79728990209246,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,20062.0
2019,East,6.789575889323814,6.772971172295235,6.806180606352393,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5533.0
2020,West,6.905611249312687,6.897914746320776,6.913307752304599,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,22615.0
2020,East,6.857204884332253,6.841142927369002,6.8732668412955045,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5693.0
2021,West,6.865348407689051,6.856184466550873,6.8745123488272295,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,15379.0
2021,East,6.844293987214139,6.826054962377483,6.862533012050796,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3864.0
