"year","migback","sex","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2008","direkter Migrationshintergrund","maennlich","7.04","6.5","880","6.96","7.12"
"2008","direkter Migrationshintergrund","weiblich","7","6.5","1023","6.92","7.08"
"2008","indirekter Migrationshintergrund","maennlich","6.98","6.5","368","6.86","7.1"
"2008","indirekter Migrationshintergrund","weiblich","7.11","6.5","400","6.99","7.23"
"2008","kein Migrationshintergrund","maennlich","7.02","6.5","7939","6.99","7.05"
"2008","kein Migrationshintergrund","weiblich","7.11","6.5","8644","7.09","7.13"
"2009","direkter Migrationshintergrund","maennlich","7.01","6.5","757","6.92","7.1"
"2009","direkter Migrationshintergrund","weiblich","7.03","6.5","896","6.95","7.11"
"2009","indirekter Migrationshintergrund","maennlich","7.01","6.5","339","6.9","7.12"
"2009","indirekter Migrationshintergrund","weiblich","7.08","6.5","367","6.97","7.19"
"2009","kein Migrationshintergrund","maennlich","6.99","6.5","7469","6.96","7.02"
"2009","kein Migrationshintergrund","weiblich","7.04","6.5","8110","7.01","7.07"
"2010","direkter Migrationshintergrund","maennlich","6.93","6.5","1292","6.87","6.99"
"2010","direkter Migrationshintergrund","weiblich","6.93","6.5","1597","6.87","6.99"
"2010","indirekter Migrationshintergrund","maennlich","6.87","6.5","510","6.77","6.97"
"2010","indirekter Migrationshintergrund","weiblich","7.07","6.5","633","6.98","7.16"
"2010","kein Migrationshintergrund","maennlich","6.97","6.5","9078","6.95","6.99"
"2010","kein Migrationshintergrund","weiblich","6.98","6.5","10785","6.96","7"
"2011","direkter Migrationshintergrund","maennlich","6.85","6.5","1427","6.79","6.91"
"2011","direkter Migrationshintergrund","weiblich","6.92","6.5","1813","6.86","6.98"
"2011","indirekter Migrationshintergrund","maennlich","6.96","6.5","577","6.86","7.06"
"2011","indirekter Migrationshintergrund","weiblich","6.96","6.5","720","6.87","7.05"
"2011","kein Migrationshintergrund","maennlich","6.93","6.5","10822","6.91","6.95"
"2011","kein Migrationshintergrund","weiblich","6.96","6.5","12964","6.94","6.98"
"2012","direkter Migrationshintergrund","maennlich","6.88","6.5","1350","6.82","6.94"
"2012","direkter Migrationshintergrund","weiblich","6.92","6.5","1684","6.86","6.98"
"2012","indirekter Migrationshintergrund","maennlich","6.73","6.5","570","6.63","6.83"
"2012","indirekter Migrationshintergrund","weiblich","7.04","6.5","697","6.95","7.13"
"2012","kein Migrationshintergrund","maennlich","6.94","6.5","10605","6.92","6.96"
"2012","kein Migrationshintergrund","weiblich","6.98","6.5","12648","6.96","7"
"2013","direkter Migrationshintergrund","maennlich","6.81","6.5","1176","6.74","6.88"
"2013","direkter Migrationshintergrund","weiblich","6.85","6.5","1520","6.79","6.91"
"2013","indirekter Migrationshintergrund","maennlich","6.85","6.5","539","6.75","6.95"
"2013","indirekter Migrationshintergrund","weiblich","6.95","6.5","660","6.86","7.04"
"2013","kein Migrationshintergrund","maennlich","6.93","6.5","9879","6.91","6.95"
"2013","kein Migrationshintergrund","weiblich","6.89","6.5","11844","6.87","6.91"
"2014","direkter Migrationshintergrund","maennlich","","","","",""
"2014","direkter Migrationshintergrund","weiblich","","","","",""
"2014","indirekter Migrationshintergrund","maennlich","","","","",""
"2014","indirekter Migrationshintergrund","weiblich","","","","",""
"2014","kein Migrationshintergrund","maennlich","","","","",""
"2014","kein Migrationshintergrund","weiblich","","","","",""
"2015","direkter Migrationshintergrund","maennlich","6.85","6.5","1937","6.8","6.9"
"2015","direkter Migrationshintergrund","weiblich","6.8","6.5","2356","6.75","6.85"
"2015","indirekter Migrationshintergrund","maennlich","6.77","6.5","746","6.69","6.85"
"2015","indirekter Migrationshintergrund","weiblich","7","6.5","873","6.92","7.08"
"2015","kein Migrationshintergrund","maennlich","6.93","6.5","8740","6.91","6.95"
"2015","kein Migrationshintergrund","weiblich","6.89","6.5","10304","6.87","6.91"
"2016","direkter Migrationshintergrund","maennlich","","","","",""
"2016","direkter Migrationshintergrund","weiblich","","","","",""
"2016","indirekter Migrationshintergrund","maennlich","","","","",""
"2016","indirekter Migrationshintergrund","weiblich","","","","",""
"2016","kein Migrationshintergrund","maennlich","","","","",""
"2016","kein Migrationshintergrund","weiblich","","","","",""
