syear,migback,quintil_oecd,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,No migration background,1. Quintil,,,,,,,,,,,,
1984,No migration background,2. Quintil,,,,,,,,,,,,
1984,Direct migration background,1. Quintil,,,,,,,,,,,,
1984,Direct migration background,2. Quintil,,,,,,,,,,,,
1984,Indirect migration background,1. Quintil,,,,,,,,,,,,
1984,Indirect migration background,2. Quintil,,,,,,,,,,,,
1985,No migration background,1. Quintil,,,,,,,,,,,,
1985,No migration background,2. Quintil,,,,,,,,,,,,
1985,Direct migration background,1. Quintil,,,,,,,,,,,,
1985,Direct migration background,2. Quintil,,,,,,,,,,,,
1985,Indirect migration background,1. Quintil,,,,,,,,,,,,
1985,Indirect migration background,2. Quintil,,,,,,,,,,,,
1986,No migration background,1. Quintil,,,,,,,,,,,,
1986,No migration background,2. Quintil,,,,,,,,,,,,
1986,Direct migration background,1. Quintil,,,,,,,,,,,,
1986,Direct migration background,2. Quintil,,,,,,,,,,,,
1986,Indirect migration background,1. Quintil,,,,,,,,,,,,
1986,Indirect migration background,2. Quintil,,,,,,,,,,,,
1987,No migration background,1. Quintil,,,,,,,,,,,,
1987,No migration background,2. Quintil,,,,,,,,,,,,
1987,Direct migration background,1. Quintil,,,,,,,,,,,,
1987,Direct migration background,2. Quintil,,,,,,,,,,,,
1987,Indirect migration background,1. Quintil,,,,,,,,,,,,
1987,Indirect migration background,2. Quintil,,,,,,,,,,,,
1988,No migration background,1. Quintil,,,,,,,,,,,,
1988,No migration background,2. Quintil,,,,,,,,,,,,
1988,Direct migration background,1. Quintil,,,,,,,,,,,,
1988,Direct migration background,2. Quintil,,,,,,,,,,,,
1988,Indirect migration background,1. Quintil,,,,,,,,,,,,
1988,Indirect migration background,2. Quintil,,,,,,,,,,,,
1989,No migration background,1. Quintil,,,,,,,,,,,,
1989,No migration background,2. Quintil,,,,,,,,,,,,
1989,Direct migration background,1. Quintil,,,,,,,,,,,,
1989,Direct migration background,2. Quintil,,,,,,,,,,,,
1989,Indirect migration background,1. Quintil,,,,,,,,,,,,
1989,Indirect migration background,2. Quintil,,,,,,,,,,,,
1990,No migration background,1. Quintil,,,,,,,,,,,,
1990,No migration background,2. Quintil,,,,,,,,,,,,
1990,Direct migration background,1. Quintil,,,,,,,,,,,,
1990,Direct migration background,2. Quintil,,,,,,,,,,,,
1990,Indirect migration background,1. Quintil,,,,,,,,,,,,
1990,Indirect migration background,2. Quintil,,,,,,,,,,,,
1991,No migration background,1. Quintil,,,,,,,,,,,,
1991,No migration background,2. Quintil,,,,,,,,,,,,
1991,Direct migration background,1. Quintil,,,,,,,,,,,,
1991,Direct migration background,2. Quintil,,,,,,,,,,,,
1991,Indirect migration background,1. Quintil,,,,,,,,,,,,
1991,Indirect migration background,2. Quintil,,,,,,,,,,,,
1992,No migration background,1. Quintil,,,,,,,,,,,,
1992,No migration background,2. Quintil,,,,,,,,,,,,
1992,Direct migration background,1. Quintil,,,,,,,,,,,,
1992,Direct migration background,2. Quintil,,,,,,,,,,,,
1992,Indirect migration background,1. Quintil,,,,,,,,,,,,
1992,Indirect migration background,2. Quintil,,,,,,,,,,,,
1993,No migration background,1. Quintil,,,,,,,,,,,,
1993,No migration background,2. Quintil,,,,,,,,,,,,
1993,Direct migration background,1. Quintil,,,,,,,,,,,,
1993,Direct migration background,2. Quintil,,,,,,,,,,,,
1993,Indirect migration background,1. Quintil,,,,,,,,,,,,
1993,Indirect migration background,2. Quintil,,,,,,,,,,,,
1994,No migration background,1. Quintil,,,,,,,,,,,,
1994,No migration background,2. Quintil,,,,,,,,,,,,
1994,Direct migration background,1. Quintil,,,,,,,,,,,,
1994,Direct migration background,2. Quintil,,,,,,,,,,,,
1994,Indirect migration background,1. Quintil,,,,,,,,,,,,
1994,Indirect migration background,2. Quintil,,,,,,,,,,,,
1995,No migration background,2. Quintil,,,,,,,,,,,,
1995,No migration background,3. Quintil,,,,,,,,,,,,
1995,No migration background,4. Quintil,,,,,,,,,,,,
1995,No migration background,5. Quintil,,,,,,,,,,,,
1995,Direct migration background,2. Quintil,,,,,,,,,,,,
1995,Direct migration background,3. Quintil,,,,,,,,,,,,
1995,Direct migration background,4. Quintil,,,,,,,,,,,,
1995,Direct migration background,5. Quintil,,,,,,,,,,,,
1995,Indirect migration background,2. Quintil,,,,,,,,,,,,
1995,Indirect migration background,3. Quintil,,,,,,,,,,,,
1995,Indirect migration background,4. Quintil,,,,,,,,,,,,
1995,Indirect migration background,5. Quintil,,,,,,,,,,,,
1996,No migration background,2. Quintil,,,,,,,,,,,,
1996,No migration background,3. Quintil,,,,,,,,,,,,
1996,No migration background,4. Quintil,,,,,,,,,,,,
1996,No migration background,5. Quintil,,,,,,,,,,,,
1996,Direct migration background,2. Quintil,,,,,,,,,,,,
1996,Direct migration background,3. Quintil,,,,,,,,,,,,
1996,Direct migration background,4. Quintil,,,,,,,,,,,,
1996,Direct migration background,5. Quintil,,,,,,,,,,,,
1996,Indirect migration background,2. Quintil,,,,,,,,,,,,
1996,Indirect migration background,3. Quintil,,,,,,,,,,,,
1996,Indirect migration background,4. Quintil,,,,,,,,,,,,
1996,Indirect migration background,5. Quintil,,,,,,,,,,,,
1997,No migration background,2. Quintil,,,,,,,,,,,,
1997,No migration background,3. Quintil,,,,,,,,,,,,
1997,No migration background,4. Quintil,,,,,,,,,,,,
1997,No migration background,5. Quintil,,,,,,,,,,,,
1997,Direct migration background,2. Quintil,,,,,,,,,,,,
1997,Direct migration background,3. Quintil,,,,,,,,,,,,
1997,Direct migration background,4. Quintil,,,,,,,,,,,,
1997,Direct migration background,5. Quintil,,,,,,,,,,,,
1997,Indirect migration background,2. Quintil,,,,,,,,,,,,
1997,Indirect migration background,3. Quintil,,,,,,,,,,,,
1997,Indirect migration background,4. Quintil,,,,,,,,,,,,
1997,Indirect migration background,5. Quintil,,,,,,,,,,,,
1998,No migration background,2. Quintil,,,,,,,,,,,,
1998,No migration background,3. Quintil,,,,,,,,,,,,
1998,No migration background,4. Quintil,,,,,,,,,,,,
1998,No migration background,5. Quintil,,,,,,,,,,,,
1998,Direct migration background,2. Quintil,,,,,,,,,,,,
1998,Direct migration background,3. Quintil,,,,,,,,,,,,
1998,Direct migration background,4. Quintil,,,,,,,,,,,,
1998,Direct migration background,5. Quintil,,,,,,,,,,,,
1998,Indirect migration background,2. Quintil,,,,,,,,,,,,
1998,Indirect migration background,3. Quintil,,,,,,,,,,,,
1998,Indirect migration background,4. Quintil,,,,,,,,,,,,
1998,Indirect migration background,5. Quintil,,,,,,,,,,,,
1999,No migration background,2. Quintil,,,,,,,,,,,,
1999,No migration background,3. Quintil,,,,,,,,,,,,
1999,No migration background,4. Quintil,,,,,,,,,,,,
1999,No migration background,5. Quintil,,,,,,,,,,,,
