"year","age_gr","migback","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2008","17-34","direkter Migrationshintergrund","7.26","6.5","370","7.15","7.37"
"2008","17-34","indirekter Migrationshintergrund","7.14","6.5","564","7.04","7.24"
"2008","17-34","kein Migrationshintergrund","7.09","6.5","3396","7.05","7.13"
"2008","35-65","direkter Migrationshintergrund","6.93","6.5","1165","6.86","7"
"2008","35-65","indirekter Migrationshintergrund","6.72","6.5","193","6.58","6.86"
"2008","35-65","kein Migrationshintergrund","6.94","6.5","9291","6.92","6.96"
"2008","66 +","direkter Migrationshintergrund","7.02","6.5","368","6.87","7.17"
"2008","66 +","indirekter Migrationshintergrund","","","","",""
"2008","66 +","kein Migrationshintergrund","7.31","6.5","3896","7.27","7.35"
"2009","17-34","direkter Migrationshintergrund","7.26","6.5","296","7.15","7.37"
"2009","17-34","indirekter Migrationshintergrund","7.09","6.5","511","7","7.18"
"2009","17-34","kein Migrationshintergrund","7.14","6.5","3146","7.1","7.18"
"2009","35-65","direkter Migrationshintergrund","6.93","6.5","1021","6.86","7"
"2009","35-65","indirekter Migrationshintergrund","6.88","6.5","189","6.73","7.03"
"2009","35-65","kein Migrationshintergrund","6.87","6.5","8638","6.85","6.89"
"2009","66 +","direkter Migrationshintergrund","7.05","6.5","336","6.89","7.21"
"2009","66 +","indirekter Migrationshintergrund","","","","",""
"2009","66 +","kein Migrationshintergrund","7.2","6.5","3795","7.16","7.24"
"2010","17-34","direkter Migrationshintergrund","7.17","6.5","926","7.1","7.24"
"2010","17-34","indirekter Migrationshintergrund","7.07","6.5","753","6.99","7.15"
"2010","17-34","kein Migrationshintergrund","7.04","6.5","4854","7.01","7.07"
"2010","35-65","direkter Migrationshintergrund","6.85","6.5","1648","6.79","6.91"
"2010","35-65","indirekter Migrationshintergrund","6.64","6.5","384","6.53","6.75"
"2010","35-65","kein Migrationshintergrund","6.84","6.5","11328","6.82","6.86"
"2010","66 +","direkter Migrationshintergrund","6.91","6.5","315","6.74","7.08"
"2010","66 +","indirekter Migrationshintergrund","","","","",""
"2010","66 +","kein Migrationshintergrund","7.18","6.5","3681","7.14","7.22"
"2011","17-34","direkter Migrationshintergrund","7.11","6.5","873","7.03","7.19"
"2011","17-34","indirekter Migrationshintergrund","7.05","6.5","793","6.96","7.14"
"2011","17-34","kein Migrationshintergrund","7.08","6.5","5117","7.05","7.11"
"2011","35-65","direkter Migrationshintergrund","6.82","6.5","1948","6.77","6.87"
"2011","35-65","indirekter Migrationshintergrund","6.7","6.5","500","6.6","6.8"
"2011","35-65","kein Migrationshintergrund","6.81","6.5","13974","6.79","6.83"
"2011","66 +","direkter Migrationshintergrund","6.81","6.5","419","6.67","6.95"
"2011","66 +","indirekter Migrationshintergrund","","","","",""
"2011","66 +","kein Migrationshintergrund","7.11","6.5","4695","7.07","7.15"
"2012","17-34","direkter Migrationshintergrund","7.06","6.5","765","6.98","7.14"
"2012","17-34","indirekter Migrationshintergrund","7.02","6.5","724","6.93","7.11"
"2012","17-34","kein Migrationshintergrund","7.02","6.5","4821","6.99","7.05"
"2012","35-65","direkter Migrationshintergrund","6.81","6.5","1866","6.76","6.86"
"2012","35-65","indirekter Migrationshintergrund","6.58","6.5","538","6.48","6.68"
"2012","35-65","kein Migrationshintergrund","6.82","6.5","13663","6.8","6.84"
"2012","66 +","direkter Migrationshintergrund","7.02","6.5","403","6.86","7.18"
"2012","66 +","indirekter Migrationshintergrund","","","","",""
"2012","66 +","kein Migrationshintergrund","7.18","6.5","4769","7.14","7.22"
"2013","17-34","direkter Migrationshintergrund","7.05","6.5","622","6.95","7.15"
"2013","17-34","indirekter Migrationshintergrund","7.02","6.5","671","6.93","7.11"
"2013","17-34","kein Migrationshintergrund","7.02","6.5","4412","6.99","7.05"
"2013","35-65","direkter Migrationshintergrund","6.73","6.5","1700","6.67","6.79"
"2013","35-65","indirekter Migrationshintergrund","6.72","6.5","524","6.62","6.82"
"2013","35-65","kein Migrationshintergrund","6.77","6.5","12753","6.75","6.79"
"2013","66 +","direkter Migrationshintergrund","6.89","6.5","374","6.74","7.04"
"2013","66 +","indirekter Migrationshintergrund","","","","",""
"2013","66 +","kein Migrationshintergrund","7.11","6.5","4558","7.07","7.15"
"2014","17-34","direkter Migrationshintergrund","","","","",""
"2014","17-34","indirekter Migrationshintergrund","","","","",""
"2014","17-34","kein Migrationshintergrund","","","","",""
"2014","35-65","direkter Migrationshintergrund","","","","",""
"2014","35-65","indirekter Migrationshintergrund","","","","",""
"2014","35-65","kein Migrationshintergrund","","","","",""
"2014","66 +","direkter Migrationshintergrund","","","","",""
"2014","66 +","indirekter Migrationshintergrund","","","","",""
"2014","66 +","kein Migrationshintergrund","","","","",""
"2015","17-34","direkter Migrationshintergrund","7.09","6.5","1071","7.02","7.16"
"2015","17-34","indirekter Migrationshintergrund","7","6.5","947","6.92","7.08"
"2015","17-34","kein Migrationshintergrund","7.01","6.5","3695","6.97","7.05"
"2015","35-65","direkter Migrationshintergrund","6.73","6.5","2804","6.69","6.77"
"2015","35-65","indirekter Migrationshintergrund","6.64","6.5","668","6.56","6.72"
"2015","35-65","kein Migrationshintergrund","6.77","6.5","10924","6.75","6.79"
"2015","66 +","direkter Migrationshintergrund","6.86","6.5","418","6.71","7.01"
"2015","66 +","indirekter Migrationshintergrund","","","","",""
"2015","66 +","kein Migrationshintergrund","7.09","6.5","4425","7.05","7.13"
"2016","17-34","direkter Migrationshintergrund","","","","",""
"2016","17-34","indirekter Migrationshintergrund","","","","",""
"2016","17-34","kein Migrationshintergrund","","","","",""
"2016","35-65","direkter Migrationshintergrund","","","","",""
"2016","35-65","indirekter Migrationshintergrund","","","","",""
"2016","35-65","kein Migrationshintergrund","","","","",""
"2016","66 +","direkter Migrationshintergrund","","","","",""
"2016","66 +","indirekter Migrationshintergrund","","","","",""
"2016","66 +","kein Migrationshintergrund","","","","",""
"2017","17-34","direkter Migrationshintergrund","6.95","6.5","1152","6.88","7.02"
"2017","17-34","indirekter Migrationshintergrund","7.01","6.5","962","6.93","7.09"
"2017","17-34","kein Migrationshintergrund","6.97","6.5","4043","6.93","7.01"
"2017","35-65","direkter Migrationshintergrund","6.7","6.5","3040","6.66","6.74"
"2017","35-65","indirekter Migrationshintergrund","6.56","6.5","723","6.48","6.64"
