syear,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,male,,,,,,,,,,,,
1984,female,,,,,,,,,,,,
1985,male,,,,,,,,,,,,
1985,female,,,,,,,,,,,,
1986,male,,,,,,,,,,,,
1986,female,,,,,,,,,,,,
1987,male,,,,,,,,,,,,
1987,female,,,,,,,,,,,,
1988,male,,,,,,,,,,,,
1988,female,,,,,,,,,,,,
1989,male,,,,,,,,,,,,
1989,female,,,,,,,,,,,,
1990,male,,,,,,,,,,,,
1990,female,,,,,,,,,,,,
1991,male,,,,,,,,,,,,
1991,female,,,,,,,,,,,,
1992,male,,,,,,,,,,,,
1992,female,,,,,,,,,,,,
1993,male,,,,,,,,,,,,
1993,female,,,,,,,,,,,,
1994,male,,,,,,,,,,,,
1994,female,,,,,,,,,,,,
1995,male,,,,,,,,,,,,
1995,female,,,,,,,,,,,,
1996,male,,,,,,,,,,,,
1996,female,,,,,,,,,,,,
1997,male,,,,,,,,,,,,
1997,female,,,,,,,,,,,,
1998,male,,,,,,,,,,,,
1998,female,,,,,,,,,,,,
1999,male,,,,,,,,,,,,
1999,female,,,,,,,,,,,,
2000,male,,,,,,,,,,,,
2000,female,,,,,,,,,,,,
2001,male,,,,,,,,,,,,
2001,female,,,,,,,,,,,,
2002,male,,,,,,,,,,,,
2002,female,,,,,,,,,,,,
2003,male,,,,,,,,,,,,
2003,female,,,,,,,,,,,,
2004,male,,,,,,,,,,,,
2004,female,,,,,,,,,,,,
2005,male,,,,,,,,,,,,
2005,female,,,,,,,,,,,,
2006,male,,,,,,,,,,,,
2006,female,,,,,,,,,,,,
2007,male,,,,,,,,,,,,
2007,female,,,,,,,,,,,,
2008,male,7.019569862459106,7.007670257644815,7.031469467273396,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9187.0
2008,female,7.097143340366381,7.085540484769181,7.108746195963581,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,10067.0
2009,male,6.993630206218744,6.981719846150882,7.005540566286606,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,8565.0
2009,female,7.040136364311772,7.0286931619050845,7.05157956671846,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9373.0
2010,male,6.960340270712983,6.949458904930934,6.971221636495033,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,10880.0
2010,female,6.97476615169171,6.964527964448979,6.9850043389344405,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,13015.0
2011,male,6.921781064529021,6.911999854737734,6.931562274320309,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,12826.0
2011,female,6.952582880130714,6.9430362676734605,6.962129492587967,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,15497.0
2012,male,6.9211766072426055,6.911094225067807,6.931258989417404,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,12525.0
2012,female,6.9715444501347426,6.96174721710915,6.981341683160335,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,15029.0
2013,male,6.920588273149101,6.910036075001243,6.931140471296959,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,11594.0
2013,female,6.889773074203225,6.879896105671516,6.899650042734933,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,14024.0
2014,male,,,,,,,,,,,,
2014,female,,,,,,,,,,,,
2015,male,6.910703479914294,6.900245839235221,6.921161120593367,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,11423.0
2015,female,6.88249772352346,6.872229966485523,6.892765480561397,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,13533.0
2016,male,,,,,,,,,,,,
2016,female,,,,,,,,,,,,
2017,male,6.857647661937561,6.847181916138825,6.868113407736296,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,12233.0
2017,female,6.823496603315439,6.813493921074958,6.83349928555592,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,14251.0
2018,male,,,,,,,,,,,,
2018,female,,,,,,,,,,,,
2019,male,6.829347624193901,6.818832931722052,6.839862316665751,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,12251.0
2019,female,6.750232941152606,6.739747530806892,6.76071835149832,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,13413.0
2020,male,6.92069475351978,6.910955870678969,6.930433636360591,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,13910.0
2020,female,6.874328294436441,6.864453831000279,6.884202757872602,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,14390.0
2021,male,6.8860902229808145,6.874790071149423,6.897390374812206,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9341.0
2021,female,6.8383114784460375,6.826487027143342,6.850135929748733,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9895.0
