syear,age_gr,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,17-29 J.,West,,,,,,,,,,,,
1984,30-45 J.,West,,,,,,,,,,,,
1984,46-65 J.,West,,,,,,,,,,,,
1984,66 und älter,West,,,,,,,,,,,,
1985,17-29 J.,West,,,,,,,,,,,,
1985,30-45 J.,West,,,,,,,,,,,,
1985,46-65 J.,West,,,,,,,,,,,,
1985,66 und älter,West,,,,,,,,,,,,
1986,17-29 J.,West,,,,,,,,,,,,
1986,30-45 J.,West,,,,,,,,,,,,
1986,46-65 J.,West,,,,,,,,,,,,
1986,66 und älter,West,,,,,,,,,,,,
1987,17-29 J.,West,,,,,,,,,,,,
1987,30-45 J.,West,,,,,,,,,,,,
1987,46-65 J.,West,,,,,,,,,,,,
1987,66 und älter,West,,,,,,,,,,,,
1988,17-29 J.,West,,,,,,,,,,,,
1988,30-45 J.,West,,,,,,,,,,,,
1988,46-65 J.,West,,,,,,,,,,,,
1988,66 und älter,West,,,,,,,,,,,,
1989,17-29 J.,West,,,,,,,,,,,,
1989,30-45 J.,West,,,,,,,,,,,,
1989,46-65 J.,West,,,,,,,,,,,,
1989,66 und älter,West,,,,,,,,,,,,
1990,17-29 J.,West,,,,,,,,,,,,
1990,17-29 J.,East,,,,,,,,,,,,
1990,30-45 J.,West,,,,,,,,,,,,
1990,30-45 J.,East,,,,,,,,,,,,
1990,46-65 J.,West,,,,,,,,,,,,
1990,46-65 J.,East,,,,,,,,,,,,
1990,66 und älter,West,,,,,,,,,,,,
1990,66 und älter,East,,,,,,,,,,,,
1991,17-29 J.,West,,,,,,,,,,,,
1991,17-29 J.,East,,,,,,,,,,,,
1991,30-45 J.,West,,,,,,,,,,,,
1991,30-45 J.,East,,,,,,,,,,,,
1991,46-65 J.,West,,,,,,,,,,,,
1991,46-65 J.,East,,,,,,,,,,,,
1991,66 und älter,West,,,,,,,,,,,,
1991,66 und älter,East,,,,,,,,,,,,
1992,17-29 J.,West,,,,,,,,,,,,
1992,17-29 J.,East,,,,,,,,,,,,
1992,30-45 J.,West,,,,,,,,,,,,
1992,30-45 J.,East,,,,,,,,,,,,
1992,46-65 J.,West,,,,,,,,,,,,
