year,age_gr,plh0112,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Very important,0.12838,320,1865,0.11320,0.14357
1990,17-29 y.,Important,0.30436,794,1865,0.28347,0.32525
1990,17-29 y.,Less important,0.25586,667,1865,0.23605,0.27567
1990,17-29 y.,Unimportant,0.03188,84,1865,0.02391,0.03986
1990,30-45 y.,Very important,0.07900,213,2059,0.06734,0.09065
1990,30-45 y.,Important,0.28241,794,2059,0.26296,0.30186
1990,30-45 y.,Less important,0.33031,914,2059,0.30999,0.35063
1990,30-45 y.,Unimportant,0.04587,138,2059,0.03684,0.05491
1990,46-65 y.,Very important,0.09825,279,2169,0.08572,0.11078
1990,46-65 y.,Important,0.29606,845,2169,0.27684,0.31528
1990,46-65 y.,Less important,0.27435,808,2169,0.25557,0.29314
1990,46-65 y.,Unimportant,0.08204,237,2169,0.07049,0.09359
1990,66 and older,Very important,0.05638,75,1012,0.04216,0.07060
1990,66 and older,Important,0.24348,299,1012,0.21702,0.26993
1990,66 and older,Less important,0.28872,364,1012,0.26079,0.31666
1990,66 and older,Unimportant,0.22513,274,1012,0.19938,0.25087
1992,17-29 y.,Very important,0.16572,468,2701,0.15169,0.17975
1992,17-29 y.,Important,0.36979,1126,2701,0.35158,0.38800
1992,17-29 y.,Less important,0.32209,973,2701,0.30447,0.33972
1992,17-29 y.,Unimportant,0.04690,134,2701,0.03892,0.05487
1992,30-45 y.,Very important,0.10226,330,3604,0.09236,0.11215
1992,30-45 y.,Important,0.34381,1332,3604,0.32830,0.35932
1992,30-45 y.,Less important,0.40872,1653,3604,0.39267,0.42478
1992,30-45 y.,Unimportant,0.07957,289,3604,0.07074,0.08841
1992,46-65 y.,Very important,0.11627,399,3255,0.10525,0.12728
1992,46-65 y.,Important,0.38434,1359,3255,0.36763,0.40105
1992,46-65 y.,Less important,0.33557,1207,3255,0.31935,0.35180
1992,46-65 y.,Unimportant,0.08755,290,3255,0.07784,0.09726
1992,66 and older,Very important,0.07603,110,1391,0.06209,0.08996
1992,66 and older,Important,0.30971,456,1391,0.28540,0.33401
1992,66 and older,Less important,0.32891,465,1391,0.30421,0.35361
1992,66 and older,Unimportant,0.25890,360,1391,0.23588,0.28193
1995,17-29 y.,Very important,0.13174,364,2609,0.11876,0.14472
1995,17-29 y.,Important,0.38656,1126,2609,0.36787,0.40525
1995,17-29 y.,Less important,0.33942,976,2609,0.32124,0.35759
1995,17-29 y.,Unimportant,0.04609,143,2609,0.03805,0.05414
1995,30-45 y.,Very important,0.08375,292,3882,0.07503,0.09246
1995,30-45 y.,Important,0.33015,1320,3882,0.31536,0.34495
1995,30-45 y.,Less important,0.44551,1908,3882,0.42987,0.46115
1995,30-45 y.,Unimportant,0.08895,362,3882,0.07999,0.09791
1995,46-65 y.,Very important,0.08524,282,3245,0.07563,0.09485
1995,46-65 y.,Important,0.36058,1260,3245,0.34406,0.37710
1995,46-65 y.,Less important,0.39669,1403,3245,0.37986,0.41353
1995,46-65 y.,Unimportant,0.09180,300,3245,0.08187,0.10174
1995,66 and older,Very important,0.07334,116,1441,0.05987,0.08680
1995,66 and older,Important,0.29559,423,1441,0.27203,0.31916
1995,66 and older,Less important,0.34908,526,1441,0.32446,0.37371
1995,66 and older,Unimportant,0.25189,376,1441,0.22947,0.27431
2004,17-29 y.,Very important,0.14165,594,3937,0.13075,0.15254
2004,17-29 y.,Important,0.42134,1674,3937,0.40592,0.43677
2004,17-29 y.,Less important,0.35743,1416,3937,0.34246,0.37240
2004,17-29 y.,Unimportant,0.07398,253,3937,0.06580,0.08216
2004,30-45 y.,Very important,0.09170,568,6509,0.08469,0.09872
2004,30-45 y.,Important,0.33467,2198,6509,0.32320,0.34613
2004,30-45 y.,Less important,0.46907,3086,6509,0.45695,0.48119
2004,30-45 y.,Unimportant,0.10151,657,6509,0.09417,0.10884
2004,46-65 y.,Very important,0.09087,663,7338,0.08429,0.09745
2004,46-65 y.,Important,0.35192,2717,7338,0.34099,0.36285
2004,46-65 y.,Less important,0.43602,3206,7338,0.42467,0.44737
2004,46-65 y.,Unimportant,0.11594,752,7338,0.10861,0.12327
2004,66 and older,Very important,0.07309,282,3728,0.06473,0.08144
2004,66 and older,Important,0.30377,1193,3728,0.28900,0.31853
2004,66 and older,Less important,0.38720,1468,3728,0.37157,0.40284
2004,66 and older,Unimportant,0.22472,785,3728,0.21132,0.23812
2008,17-29 y.,Very important,0.12830,444,3148,0.11661,0.13998
2008,17-29 y.,Important,0.37678,1261,3148,0.35985,0.39371
2008,17-29 y.,Less important,0.33746,1170,3148,0.32094,0.35398
2008,17-29 y.,Unimportant,0.08216,273,3148,0.07256,0.09175
2008,30-45 y.,Very important,0.07598,371,5155,0.06875,0.08321
2008,30-45 y.,Important,0.33211,1743,5155,0.31926,0.34497
2008,30-45 y.,Less important,0.47165,2484,5155,0.45802,0.48528
2008,30-45 y.,Unimportant,0.11560,557,5155,0.10687,0.12433
2008,46-65 y.,Very important,0.06851,454,6675,0.06245,0.07457
2008,46-65 y.,Important,0.31749,2281,6675,0.30633,0.32866
2008,46-65 y.,Less important,0.46228,3066,6675,0.45031,0.47424
2008,46-65 y.,Unimportant,0.14843,874,6675,0.13990,0.15696
2008,66 and older,Very important,0.06541,280,4252,0.05798,0.07284
2008,66 and older,Important,0.26799,1257,4252,0.25468,0.28131
2008,66 and older,Less important,0.39579,1750,4252,0.38109,0.41049
2008,66 and older,Unimportant,0.25290,965,4252,0.23983,0.26596
2012,17-29 y.,Very important,0.16812,699,3973,0.15649,0.17975
2012,17-29 y.,Important,0.41312,1623,3973,0.39781,0.42844
2012,17-29 y.,Less important,0.29718,1389,3973,0.28297,0.31139
2012,17-29 y.,Unimportant,0.05085,262,3973,0.04402,0.05768
2012,30-45 y.,Very important,0.12194,857,9058,0.11520,0.12868
2012,30-45 y.,Important,0.36491,3060,9058,0.35500,0.37483
2012,30-45 y.,Less important,0.42423,4291,9058,0.41405,0.43440
2012,30-45 y.,Unimportant,0.08702,850,9058,0.08122,0.09283
2012,46-65 y.,Very important,0.09049,869,9358,0.08468,0.09630
2012,46-65 y.,Important,0.33535,3195,9358,0.32578,0.34491
2012,46-65 y.,Less important,0.44061,4171,9358,0.43055,0.45067
2012,46-65 y.,Unimportant,0.12998,1123,9358,0.12317,0.13679
2012,66 and older,Very important,0.08077,433,5168,0.07334,0.08820
2012,66 and older,Important,0.30041,1659,5168,0.28791,0.31291
2012,66 and older,Less important,0.39424,2048,5168,0.38092,0.40757
2012,66 and older,Unimportant,0.21455,1028,5168,0.20335,0.22574
2016,17-29 y.,Very important,0.22165,957,3852,0.20853,0.23477
2016,17-29 y.,Important,0.39509,1646,3852,0.37965,0.41053
2016,17-29 y.,Less important,0.25397,1068,3852,0.24022,0.26771
2016,17-29 y.,Unimportant,0.04310,181,3852,0.03668,0.04951
2016,30-45 y.,Very important,0.12647,776,7083,0.11873,0.13421
2016,30-45 y.,Important,0.37905,2759,7083,0.36775,0.39034
2016,30-45 y.,Less important,0.40628,2965,7083,0.39484,0.41772
2016,30-45 y.,Unimportant,0.07941,583,7083,0.07312,0.08571
2016,46-65 y.,Very important,0.09858,847,8590,0.09228,0.10489
2016,46-65 y.,Important,0.34925,3038,8590,0.33917,0.35933
2016,46-65 y.,Less important,0.43496,3756,8590,0.42447,0.44544
2016,46-65 y.,Unimportant,0.11290,949,8590,0.10621,0.11959
2016,66 and older,Very important,0.08233,403,4694,0.07446,0.09019
2016,66 and older,Important,0.29976,1485,4694,0.28665,0.31287
2016,66 and older,Less important,0.40461,1948,4694,0.39057,0.41865
2016,66 and older,Unimportant,0.20663,858,4694,0.19505,0.21822
2021,17-29 y.,Very important,0.22723,680,2705,0.21144,0.24303
2021,17-29 y.,Important,0.35680,1137,2705,0.33874,0.37486
2021,17-29 y.,Less important,0.28619,781,2705,0.26915,0.30323
2021,17-29 y.,Unimportant,0.03880,107,2705,0.03152,0.04608
2021,30-45 y.,Very important,0.13353,595,4146,0.12317,0.14388
2021,30-45 y.,Important,0.38830,1643,4146,0.37346,0.40314
2021,30-45 y.,Less important,0.39517,1634,4146,0.38029,0.41005
2021,30-45 y.,Unimportant,0.06161,274,4146,0.05429,0.06894
2021,46-65 y.,Very important,0.09609,733,6788,0.08908,0.10310
2021,46-65 y.,Important,0.33614,2375,6788,0.32490,0.34738
2021,46-65 y.,Less important,0.44872,3072,6788,0.43689,0.46055
2021,46-65 y.,Unimportant,0.11379,608,6788,0.10623,0.12134
2021,66 and older,Very important,0.10222,384,3527,0.09222,0.11222
