year,regtyp,sampreg,plh0112,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,West,Very important,0.13202,716,5431,0.12301,0.14102
1990,Urban regions,West,Important,0.39159,2148,5431,0.37861,0.40458
1990,Urban regions,West,Less important,0.37026,2038,5431,0.35742,0.38311
1990,Urban regions,West,Unimportant,0.10613,529,5431,0.09793,0.11432
1990,Rural regions,West,Very important,0.09860,171,1674,0.08431,0.11289
1990,Rural regions,West,Important,0.34337,584,1674,0.32061,0.36612
1990,Rural regions,West,Less important,0.42348,715,1674,0.39980,0.44716
1990,Rural regions,West,Unimportant,0.13456,204,1674,0.11820,0.15091
1992,No answer / don't know,East,Important,0.41003,44,90,0.30784,0.51221
1992,No answer / don't know,East,Less important,0.38873,46,90,0.28746,0.49001
1992,Urban regions,West,Very important,0.13420,700,5291,0.12502,0.14339
1992,Urban regions,West,Important,0.38975,2074,5291,0.37661,0.40289
1992,Urban regions,West,Less important,0.36113,1965,5291,0.34819,0.37407
1992,Urban regions,West,Unimportant,0.11492,552,5291,0.10632,0.12351
1992,Urban regions,East,Very important,0.13908,169,1314,0.12036,0.15780
1992,Urban regions,East,Important,0.41876,545,1314,0.39208,0.44545
1992,Urban regions,East,Less important,0.36004,511,1314,0.33407,0.38600
1992,Urban regions,East,Unimportant,0.08212,89,1314,0.06727,0.09697
1992,Rural regions,West,Very important,0.10800,180,1680,0.09315,0.12284
1992,Rural regions,West,Important,0.33326,559,1680,0.31072,0.35581
1992,Rural regions,West,Less important,0.41804,718,1680,0.39445,0.44163
1992,Rural regions,West,Unimportant,0.14070,223,1680,0.12407,0.15733
1992,Rural regions,East,Very important,0.09688,246,2548,0.08540,0.10837
1992,Rural regions,East,Important,0.40025,1047,2548,0.38122,0.41928
1992,Rural regions,East,Less important,0.40410,1051,2548,0.38504,0.42316
1992,Rural regions,East,Unimportant,0.09877,204,2548,0.08718,0.11035
1995,Urban regions,West,Very important,0.10987,620,5703,0.10176,0.11799
1995,Urban regions,West,Important,0.38013,2186,5703,0.36753,0.39273
1995,Urban regions,West,Less important,0.39593,2295,5703,0.38324,0.40863
1995,Urban regions,West,Unimportant,0.11406,602,5703,0.10581,0.12232
1995,Urban regions,East,Very important,0.10665,121,1210,0.08925,0.12405
1995,Urban regions,East,Important,0.38826,474,1210,0.36079,0.41573
1995,Urban regions,East,Less important,0.42938,533,1210,0.40148,0.45728
1995,Urban regions,East,Unimportant,0.07571,82,1210,0.06080,0.09062
1995,Rural regions,West,Very important,0.06605,121,1809,0.05460,0.07750
1995,Rural regions,West,Important,0.33149,583,1809,0.30979,0.35319
1995,Rural regions,West,Less important,0.44701,829,1809,0.42409,0.46993
1995,Rural regions,West,Unimportant,0.15545,276,1809,0.13874,0.17215
1995,Rural regions,East,Very important,0.08297,192,2455,0.07206,0.09389
1995,Rural regions,East,Important,0.34546,886,2455,0.32665,0.36428
1995,Rural regions,East,Less important,0.45937,1156,2455,0.43965,0.47909
1995,Rural regions,East,Unimportant,0.11219,221,2455,0.09971,0.12468
2004,Urban regions,West,Very important,0.10478,1347,12545,0.09942,0.11014
2004,Urban regions,West,Important,0.36564,4766,12545,0.35721,0.37407
2004,Urban regions,West,Less important,0.40781,5077,12545,0.39921,0.41641
2004,Urban regions,West,Unimportant,0.12177,1355,12545,0.11605,0.12749
2004,Urban regions,East,Very important,0.10783,182,1757,0.09333,0.12234
2004,Urban regions,East,Important,0.33962,630,1757,0.31747,0.36178
2004,Urban regions,East,Less important,0.44406,778,1757,0.42082,0.46730
2004,Urban regions,East,Unimportant,0.10849,167,1757,0.09394,0.12303
2004,Rural regions,West,Very important,0.07611,316,3760,0.06763,0.08459
2004,Rural regions,West,Important,0.32158,1217,3760,0.30665,0.33651
2004,Rural regions,West,Less important,0.44179,1680,3760,0.42592,0.45767
2004,Rural regions,West,Unimportant,0.16051,547,3760,0.14878,0.17225
2004,Rural regions,East,Very important,0.07941,262,3450,0.07039,0.08844
2004,Rural regions,East,Important,0.32176,1169,3450,0.30617,0.33735
2004,Rural regions,East,Less important,0.46757,1641,3450,0.45092,0.48422
2004,Rural regions,East,Unimportant,0.13126,378,3450,0.11999,0.14253
2008,Urban regions,West,Very important,0.09031,999,11037,0.08496,0.09565
2008,Urban regions,West,Important,0.33819,3926,11037,0.32937,0.34702
2008,Urban regions,West,Less important,0.42277,4666,11037,0.41355,0.43198
2008,Urban regions,West,Unimportant,0.14873,1446,11037,0.14209,0.15537
2008,Urban regions,East,Very important,0.09733,134,1609,0.08284,0.11181
2008,Urban regions,East,Important,0.33211,566,1609,0.30909,0.35513
2008,Urban regions,East,Less important,0.43119,710,1609,0.40698,0.45540
2008,Urban regions,East,Unimportant,0.13937,199,1609,0.12244,0.15630
2008,Rural regions,West,Very important,0.06974,243,3441,0.06123,0.07825
2008,Rural regions,West,Important,0.30783,1108,3441,0.29241,0.32326
2008,Rural regions,West,Less important,0.45165,1534,3441,0.43502,0.46828
2008,Rural regions,West,Unimportant,0.17078,556,3441,0.15820,0.18335
2008,Rural regions,East,Very important,0.05343,173,3143,0.04557,0.06130
2008,Rural regions,East,Important,0.30043,942,3143,0.28440,0.31646
2008,Rural regions,East,Less important,0.47786,1560,3143,0.46039,0.49532
2008,Rural regions,East,Unimportant,0.16828,468,3143,0.15520,0.18136
2012,Urban regions,West,Very important,0.12147,1815,15399,0.11631,0.12663
2012,Urban regions,West,Important,0.36835,5555,15399,0.36073,0.37597
2012,Urban regions,West,Less important,0.39556,6427,15399,0.38783,0.40328
2012,Urban regions,West,Unimportant,0.11462,1602,15399,0.10959,0.11965
2012,Urban regions,East,Very important,0.11812,213,2087,0.10427,0.13197
2012,Urban regions,East,Important,0.34390,717,2087,0.32351,0.36428
