year,regtyp,plh0112,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,Very important,0.13202,716,5431,0.12301,0.14102
1990,Urban regions,Important,0.39159,2148,5431,0.37861,0.40458
1990,Urban regions,Less important,0.37026,2038,5431,0.35742,0.38311
1990,Urban regions,Unimportant,0.10613,529,5431,0.09793,0.11432
1990,Rural regions,Very important,0.09860,171,1674,0.08431,0.11289
1990,Rural regions,Important,0.34337,584,1674,0.32061,0.36612
1990,Rural regions,Less important,0.42348,715,1674,0.39980,0.44716
1990,Rural regions,Unimportant,0.13456,204,1674,0.11820,0.15091
1992,No answer / don't know,Important,0.39591,48,101,0.30006,0.49176
1992,No answer / don't know,Less important,0.40859,53,101,0.31224,0.50493
1992,Urban regions,Very important,0.13476,869,6605,0.12652,0.14300
1992,Urban regions,Important,0.39307,2619,6605,0.38129,0.40485
1992,Urban regions,Less important,0.36101,2476,6605,0.34942,0.37259
1992,Urban regions,Unimportant,0.11117,641,6605,0.10359,0.11875
1992,Rural regions,Very important,0.10341,426,4228,0.09423,0.11259
1992,Rural regions,Important,0.36091,1606,4228,0.34643,0.37538
1992,Rural regions,Less important,0.41229,1769,4228,0.39745,0.42713
1992,Rural regions,Unimportant,0.12340,427,4228,0.11348,0.13331
1995,Urban regions,Very important,0.10954,741,6913,0.10218,0.11690
1995,Urban regions,Important,0.38097,2660,6913,0.36952,0.39242
1995,Urban regions,Less important,0.39941,2828,6913,0.38786,0.41095
1995,Urban regions,Unimportant,0.11008,684,6913,0.10271,0.11746
1995,Rural regions,Very important,0.07305,313,4264,0.06524,0.08086
1995,Rural regions,Important,0.33727,1469,4264,0.32308,0.35146
1995,Rural regions,Less important,0.45212,1985,4264,0.43718,0.46706
1995,Rural regions,Unimportant,0.13756,497,4264,0.12722,0.14790
2004,Urban regions,Very important,0.10506,1529,14302,0.10004,0.11009
2004,Urban regions,Important,0.36323,5396,14302,0.35534,0.37111
2004,Urban regions,Less important,0.41117,5855,14302,0.40311,0.41924
2004,Urban regions,Unimportant,0.12054,1522,14302,0.11520,0.12588
2004,Rural regions,Very important,0.07740,578,7210,0.07123,0.08357
2004,Rural regions,Important,0.32165,2386,7210,0.31087,0.33243
2004,Rural regions,Less important,0.45184,3321,7210,0.44035,0.46333
2004,Rural regions,Unimportant,0.14911,925,7210,0.14089,0.15734
2008,Urban regions,Very important,0.09097,1133,12646,0.08596,0.09599
2008,Urban regions,Important,0.33762,4492,12646,0.32937,0.34586
2008,Urban regions,Less important,0.42357,5376,12646,0.41495,0.43218
2008,Urban regions,Unimportant,0.14784,1645,12646,0.14166,0.15403
2008,Rural regions,Very important,0.06351,416,6584,0.05762,0.06940
2008,Rural regions,Important,0.30500,2050,6584,0.29388,0.31612
2008,Rural regions,Less important,0.46166,3094,6584,0.44962,0.47370
2008,Rural regions,Unimportant,0.16983,1024,6584,0.16075,0.17890
2012,Urban regions,Very important,0.12116,2028,17486,0.11632,0.12600
2012,Urban regions,Important,0.36609,6272,17486,0.35894,0.37323
2012,Urban regions,Less important,0.39630,7329,17486,0.38905,0.40355
2012,Urban regions,Unimportant,0.11645,1857,17486,0.11170,0.12121
2012,Rural regions,Very important,0.08973,830,10071,0.08414,0.09531
2012,Rural regions,Important,0.32744,3265,10071,0.31828,0.33661
2012,Rural regions,Less important,0.43081,4570,10071,0.42114,0.44049
2012,Rural regions,Unimportant,0.15202,1406,10071,0.14500,0.15903
2016,Urban regions,Very important,0.13314,2127,15736,0.12783,0.13845
2016,Urban regions,Important,0.37739,6124,15736,0.36982,0.38497
2016,Urban regions,Less important,0.38309,6005,15736,0.37549,0.39068
2016,Urban regions,Unimportant,0.10638,1480,15736,0.10156,0.11120
2016,Rural regions,Very important,0.10837,856,8483,0.10176,0.11499
2016,Rural regions,Important,0.32230,2804,8483,0.31235,0.33224
2016,Rural regions,Less important,0.42904,3732,8483,0.41850,0.43957
2016,Rural regions,Unimportant,0.14030,1091,8483,0.13291,0.14769
2021,Urban regions,Very important,0.14314,1783,11388,0.13671,0.14957
2021,Urban regions,Important,0.35647,4311,11388,0.34768,0.36527
2021,Urban regions,Less important,0.40744,4434,11388,0.39842,0.41647
2021,Urban regions,Unimportant,0.09294,860,11388,0.08761,0.09828
2021,Rural regions,Very important,0.10454,609,5777,0.09665,0.11243
2021,Rural regions,Important,0.33679,1998,5777,0.32460,0.34898
2021,Rural regions,Less important,0.42899,2534,5777,0.41622,0.44175
2021,Rural regions,Unimportant,0.12968,636,5777,0.12102,0.13834
