year,migback,sex,plh0112,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,male,Very important,0.11892,381,3179,0.10767,0.13018
1990,No migration background,male,Important,0.39068,1242,3179,0.37371,0.40764
1990,No migration background,male,Less important,0.39287,1258,3179,0.37589,0.40985
1990,No migration background,male,Unimportant,0.09753,298,3179,0.08722,0.10785
1990,No migration background,female,Very important,0.12355,428,3431,0.11254,0.13457
1990,No migration background,female,Important,0.36668,1282,3431,0.35055,0.38281
1990,No migration background,female,Less important,0.37999,1325,3431,0.36374,0.39623
1990,No migration background,female,Unimportant,0.12978,396,3431,0.11853,0.14103
1990,Direct migration background,male,Very important,0.17285,33,193,0.11936,0.22633
1990,Direct migration background,male,Important,0.40505,85,193,0.33561,0.47449
1990,Direct migration background,male,Less important,0.35003,75,193,0.28256,0.41750
1990,Direct migration background,female,Very important,0.13134,31,214,0.08598,0.17671
1990,Direct migration background,female,Important,0.41972,102,214,0.35344,0.48599
1990,Direct migration background,female,Less important,0.33479,81,214,0.27141,0.39816
1992,No migration background,male,Very important,0.12462,585,4914,0.11539,0.13386
1992,No migration background,male,Important,0.38136,1903,4914,0.36778,0.39494
1992,No migration background,male,Less important,0.39322,1986,4914,0.37956,0.40688
1992,No migration background,male,Unimportant,0.10080,440,4914,0.09238,0.10922
1992,No migration background,female,Very important,0.11965,624,5385,0.11098,0.12832
1992,No migration background,female,Important,0.37880,2093,5385,0.36584,0.39176
1992,No migration background,female,Less important,0.37139,2089,5385,0.35848,0.38429
1992,No migration background,female,Unimportant,0.13016,579,5385,0.12118,0.13915
1992,Direct migration background,male,Very important,0.19350,42,239,0.14331,0.24369
1992,Direct migration background,male,Important,0.41723,112,239,0.35458,0.47988
1992,Direct migration background,male,Less important,0.28343,85,239,0.22617,0.34068
1992,Direct migration background,female,Very important,0.12045,40,286,0.08266,0.15824
1992,Direct migration background,female,Important,0.43635,134,286,0.37878,0.49393
1992,Direct migration background,female,Less important,0.35007,112,286,0.29469,0.40545
1995,No migration background,male,Very important,0.08366,382,4721,0.07576,0.09156
1995,No migration background,male,Important,0.36924,1739,4721,0.35547,0.38300
1995,No migration background,male,Less important,0.43823,2133,4721,0.42408,0.45239
1995,No migration background,male,Unimportant,0.10888,467,4721,0.09999,0.11776
1995,No migration background,female,Very important,0.09965,510,5199,0.09151,0.10780
1995,No migration background,female,Important,0.35319,1867,5199,0.34019,0.36618
1995,No migration background,female,Less important,0.41804,2246,5199,0.40463,0.43145
1995,No migration background,female,Unimportant,0.12912,576,5199,0.12000,0.13823
1995,Direct migration background,male,Very important,0.13230,63,535,0.10356,0.16104
1995,Direct migration background,male,Important,0.41227,213,535,0.37051,0.45402
1995,Direct migration background,male,Less important,0.35062,206,535,0.31015,0.39110
1995,Direct migration background,male,Unimportant,0.10481,53,535,0.07883,0.13079
1995,Direct migration background,female,Very important,0.14442,75,587,0.11596,0.17288
1995,Direct migration background,female,Important,0.38790,244,587,0.34845,0.42736
1995,Direct migration background,female,Less important,0.32556,191,587,0.28762,0.36350
1995,Direct migration background,female,Unimportant,0.14211,77,587,0.11384,0.17038
1995,Indirect migration background,male,Important,0.57281,32,32,0.39867,0.74694
1995,Indirect migration background,female,Important,0.54525,34,34,0.37535,0.71514
2004,No migration background,male,Very important,0.09365,846,8762,0.08755,0.09975
2004,No migration background,male,Important,0.35211,3179,8762,0.34211,0.36211
2004,No migration background,male,Less important,0.43712,3832,8762,0.42674,0.44751
2004,No migration background,male,Unimportant,0.11712,905,8762,0.11039,0.12385
2004,No migration background,female,Very important,0.09541,910,9447,0.08949,0.10134
2004,No migration background,female,Important,0.34410,3383,9447,0.33452,0.35368
2004,No migration background,female,Less important,0.42307,4077,9447,0.41310,0.43303
2004,No migration background,female,Unimportant,0.13742,1077,9447,0.13047,0.14436
2004,Direct migration background,male,Very important,0.09999,116,1211,0.08309,0.11690
2004,Direct migration background,male,Important,0.36421,423,1211,0.33710,0.39133
2004,Direct migration background,male,Less important,0.40594,500,1211,0.37827,0.43361
2004,Direct migration background,male,Unimportant,0.12985,172,1211,0.11091,0.14879
2004,Direct migration background,female,Very important,0.08640,106,1306,0.07116,0.10165
2004,Direct migration background,female,Important,0.32483,447,1306,0.29942,0.35024
2004,Direct migration background,female,Less important,0.41064,519,1306,0.38395,0.43733
2004,Direct migration background,female,Unimportant,0.17813,234,1306,0.15737,0.19889
2004,Indirect migration background,male,Very important,0.13883,56,375,0.10379,0.17387
2004,Indirect migration background,male,Important,0.44864,175,375,0.39823,0.49905
2004,Indirect migration background,male,Less important,0.32279,112,375,0.27541,0.37018
2004,Indirect migration background,male,Unimportant,0.08973,32,375,0.06077,0.11870
2004,Indirect migration background,female,Very important,0.16732,73,384,0.12994,0.20471
2004,Indirect migration background,female,Important,0.40128,175,384,0.35219,0.45037
2004,Indirect migration background,female,Less important,0.35528,136,384,0.30735,0.40321
2008,No migration background,male,Very important,0.08510,621,7929,0.07896,0.09125
2008,No migration background,male,Important,0.32423,2701,7929,0.31393,0.33454
2008,No migration background,male,Less important,0.44377,3537,7929,0.43283,0.45470
2008,No migration background,male,Unimportant,0.14689,1070,7929,0.13910,0.15469
2008,No migration background,female,Very important,0.07525,673,8647,0.06969,0.08081
2008,No migration background,female,Important,0.31788,2916,8647,0.30806,0.32769
2008,No migration background,female,Less important,0.44700,3882,8647,0.43652,0.45748
2008,No migration background,female,Unimportant,0.15987,1176,8647,0.15214,0.16759
2008,Direct migration background,male,Very important,0.08291,72,874,0.06462,0.10120
2008,Direct migration background,male,Important,0.33764,283,874,0.30626,0.36901
2008,Direct migration background,male,Less important,0.41143,362,874,0.37879,0.44408
2008,Direct migration background,male,Unimportant,0.16802,157,874,0.14322,0.19282
2008,Direct migration background,female,Very important,0.07347,76,1015,0.05741,0.08953
2008,Direct migration background,female,Important,0.33691,327,1015,0.30782,0.36600
2008,Direct migration background,female,Less important,0.37880,409,1015,0.34894,0.40866
2008,Direct migration background,female,Unimportant,0.21082,203,1015,0.18571,0.23593
2008,Indirect migration background,male,Very important,0.12827,51,339,0.09262,0.16392
2008,Indirect migration background,male,Important,0.43684,156,339,0.38396,0.48972
2008,Indirect migration background,male,Less important,0.35870,132,339,0.30757,0.40983
2008,Indirect migration background,female,Very important,0.13692,56,399,0.10315,0.17070
2008,Indirect migration background,female,Important,0.38489,159,399,0.33709,0.43269
2008,Indirect migration background,female,Less important,0.39265,148,399,0.34468,0.44063
2008,Indirect migration background,female,Unimportant,0.08553,36,399,0.05806,0.11301
2012,No migration background,male,Very important,0.10638,1040,10573,0.10050,0.11225
2012,No migration background,male,Important,0.34774,3607,10573,0.33866,0.35682
2012,No migration background,male,Less important,0.42251,4678,10573,0.41309,0.43192
2012,No migration background,male,Unimportant,0.12338,1248,10573,0.11711,0.12965
2012,No migration background,female,Very important,0.10964,1275,12600,0.10418,0.11509
2012,No migration background,female,Important,0.33547,4165,12600,0.32723,0.34371
2012,No migration background,female,Less important,0.41732,5608,12600,0.40871,0.42593
2012,No migration background,female,Unimportant,0.13757,1552,12600,0.13156,0.14359
2012,Direct migration background,male,Very important,0.10909,157,1402,0.09276,0.12541
2012,Direct migration background,male,Important,0.40163,580,1402,0.37596,0.42730
2012,Direct migration background,male,Less important,0.37136,508,1402,0.34606,0.39666
2012,Direct migration background,male,Unimportant,0.11792,157,1402,0.10104,0.13481
2012,Direct migration background,female,Very important,0.13286,222,1783,0.11710,0.14862
2012,Direct migration background,female,Important,0.39688,702,1783,0.37417,0.41960
2012,Direct migration background,female,Less important,0.32330,636,1783,0.30158,0.34502
2012,Direct migration background,female,Unimportant,0.14696,223,1783,0.13052,0.16340
2012,Indirect migration background,male,Very important,0.12269,77,550,0.09524,0.15013
2012,Indirect migration background,male,Important,0.43584,223,550,0.39436,0.47731
2012,Indirect migration background,male,Less important,0.37311,210,550,0.33265,0.41357
2012,Indirect migration background,male,Unimportant,0.06837,40,550,0.04726,0.08948
2012,Indirect migration background,female,Very important,0.13741,87,649,0.11090,0.16392
2012,Indirect migration background,female,Important,0.43397,260,649,0.39581,0.47213
2012,Indirect migration background,female,Less important,0.37487,259,649,0.33760,0.41215
2012,Indirect migration background,female,Unimportant,0.05375,43,649,0.03638,0.07111
2016,No migration background,male,Very important,0.11820,863,8144,0.11119,0.12521
2016,No migration background,male,Important,0.35538,2893,8144,0.34499,0.36578
2016,No migration background,male,Less important,0.41125,3491,8144,0.40057,0.42194
2016,No migration background,male,Unimportant,0.11517,897,8144,0.10823,0.12210
2016,No migration background,female,Very important,0.11339,1056,9575,0.10704,0.11974
2016,No migration background,female,Important,0.33972,3253,9575,0.33023,0.34920
2016,No migration background,female,Less important,0.41210,4107,9575,0.40224,0.42196
2016,No migration background,female,Unimportant,0.13479,1159,9575,0.12795,0.14163
2016,Direct migration background,male,Very important,0.13161,319,2262,0.11767,0.14554
2016,Direct migration background,male,Important,0.40195,968,2262,0.38174,0.42216
2016,Direct migration background,male,Less important,0.36572,764,2262,0.34587,0.38557
2016,Direct migration background,male,Unimportant,0.10072,211,2262,0.08832,0.11313
2016,Direct migration background,female,Very important,0.15765,427,2761,0.14405,0.17124
2016,Direct migration background,female,Important,0.39956,1191,2761,0.38129,0.41783
2016,Direct migration background,female,Less important,0.34362,912,2761,0.32590,0.36134
2016,Direct migration background,female,Unimportant,0.09917,231,2761,0.08802,0.11032
