year,regtyp,sex,plh0112,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,male,Very important,0.13009,336,2590,0.11713,0.14305
1990,Urban regions,male,Important,0.40293,1041,2590,0.38404,0.42182
1990,Urban regions,male,Less important,0.37784,990,2590,0.35916,0.39651
1990,Urban regions,male,Unimportant,0.08914,223,2590,0.07817,0.10012
1990,Urban regions,female,Very important,0.13373,380,2841,0.12122,0.14625
1990,Urban regions,female,Important,0.38147,1107,2841,0.36361,0.39934
1990,Urban regions,female,Less important,0.36350,1048,2841,0.34581,0.38119
1990,Urban regions,female,Unimportant,0.12129,306,2841,0.10928,0.13330
1990,Rural regions,male,Very important,0.10026,83,818,0.07966,0.12085
1990,Rural regions,male,Important,0.35468,296,818,0.32188,0.38749
1990,Rural regions,male,Less important,0.42792,349,818,0.39399,0.46185
1990,Rural regions,male,Unimportant,0.11714,90,818,0.09508,0.13919
1990,Rural regions,female,Very important,0.09703,88,856,0.07719,0.11687
1990,Rural regions,female,Important,0.33268,288,856,0.30110,0.36427
1990,Rural regions,female,Less important,0.41928,366,856,0.38621,0.45236
1990,Rural regions,female,Unimportant,0.15100,114,856,0.12700,0.17500
1992,Urban regions,male,Very important,0.13631,412,3115,0.12426,0.14837
1992,Urban regions,male,Important,0.39450,1235,3115,0.37734,0.41167
1992,Urban regions,male,Less important,0.37458,1204,3115,0.35758,0.39158
1992,Urban regions,male,Unimportant,0.09460,264,3115,0.08432,0.10488
1992,Urban regions,female,Very important,0.13337,457,3490,0.12209,0.14466
1992,Urban regions,female,Important,0.39178,1384,3490,0.37559,0.40798
1992,Urban regions,female,Less important,0.34890,1272,3490,0.33308,0.36471
1992,Urban regions,female,Unimportant,0.12594,377,3490,0.11493,0.13695
1992,Rural regions,male,Very important,0.11381,217,2041,0.10003,0.12759
1992,Rural regions,male,Important,0.35959,770,2041,0.33876,0.38041
1992,Rural regions,male,Less important,0.41118,854,2041,0.38983,0.43253
1992,Rural regions,male,Unimportant,0.11543,200,2041,0.10156,0.12929
1992,Rural regions,female,Very important,0.09352,209,2187,0.08131,0.10572
1992,Rural regions,female,Important,0.36216,836,2187,0.34201,0.38231
1992,Rural regions,female,Less important,0.41334,915,2187,0.39270,0.43399
1992,Rural regions,female,Unimportant,0.13098,227,2187,0.11683,0.14512
1995,Urban regions,male,Very important,0.09765,312,3255,0.08745,0.10785
1995,Urban regions,male,Important,0.39404,1276,3255,0.37725,0.41083
1995,Urban regions,male,Less important,0.41126,1382,3255,0.39436,0.42817
1995,Urban regions,male,Unimportant,0.09705,285,3255,0.08688,0.10722
1995,Urban regions,female,Very important,0.12028,429,3658,0.10974,0.13082
1995,Urban regions,female,Important,0.36917,1384,3658,0.35353,0.38481
1995,Urban regions,female,Less important,0.38870,1446,3658,0.37290,0.40450
1995,Urban regions,female,Unimportant,0.12185,399,3658,0.11125,0.13246
1995,Rural regions,male,Very important,0.07280,143,2065,0.06159,0.08401
1995,Rural regions,male,Important,0.33873,708,2065,0.31832,0.35915
1995,Rural regions,male,Less important,0.45946,975,2065,0.43796,0.48096
1995,Rural regions,male,Unimportant,0.12901,239,2065,0.11454,0.14347
1995,Rural regions,female,Very important,0.07329,170,2199,0.06239,0.08418
1995,Rural regions,female,Important,0.33588,761,2199,0.31614,0.35563
1995,Rural regions,female,Less important,0.44517,1010,2199,0.42439,0.46594
1995,Rural regions,female,Unimportant,0.14566,258,2199,0.13092,0.16041
2004,Urban regions,male,Very important,0.10476,734,6857,0.09751,0.11201
2004,Urban regions,male,Important,0.37372,2622,6857,0.36227,0.38518
2004,Urban regions,male,Less important,0.41612,2834,6857,0.40446,0.42779
2004,Urban regions,male,Unimportant,0.10539,667,6857,0.09812,0.11266
2004,Urban regions,female,Very important,0.10535,795,7445,0.09838,0.11233
2004,Urban regions,female,Important,0.35326,2774,7445,0.34240,0.36411
2004,Urban regions,female,Less important,0.40647,3021,7445,0.39531,0.41763
2004,Urban regions,female,Unimportant,0.13492,855,7445,0.12716,0.14268
2004,Rural regions,male,Very important,0.07728,284,3491,0.06842,0.08614
2004,Rural regions,male,Important,0.32115,1155,3491,0.30566,0.33664
2004,Rural regions,male,Less important,0.45696,1610,3491,0.44043,0.47348
2004,Rural regions,male,Unimportant,0.14461,442,3491,0.13294,0.15628
2004,Rural regions,female,Very important,0.07751,294,3719,0.06891,0.08610
2004,Rural regions,female,Important,0.32213,1231,3719,0.30711,0.33715
2004,Rural regions,female,Less important,0.44695,1711,3719,0.43097,0.46293
2004,Rural regions,female,Unimportant,0.15342,483,3719,0.14183,0.16500
2008,Urban regions,male,Very important,0.09668,546,5994,0.08919,0.10416
2008,Urban regions,male,Important,0.33741,2134,5994,0.32544,0.34938
2008,Urban regions,male,Less important,0.42994,2571,5994,0.41741,0.44247
2008,Urban regions,male,Unimportant,0.13597,743,5994,0.12730,0.14465
2008,Urban regions,female,Very important,0.08556,587,6652,0.07884,0.09228
2008,Urban regions,female,Important,0.33781,2358,6652,0.32644,0.34918
2008,Urban regions,female,Less important,0.41752,2805,6652,0.40566,0.42937
2008,Urban regions,female,Unimportant,0.15911,902,6652,0.15032,0.16790
2008,Rural regions,male,Very important,0.06595,198,3175,0.05732,0.07459
2008,Rural regions,male,Important,0.31829,1006,3175,0.30209,0.33450
2008,Rural regions,male,Less important,0.44786,1460,3175,0.43056,0.46516
2008,Rural regions,male,Unimportant,0.16789,511,3175,0.15489,0.18089
2008,Rural regions,female,Very important,0.06121,218,3409,0.05316,0.06925
2008,Rural regions,female,Important,0.29244,1044,3409,0.27717,0.30771
2008,Rural regions,female,Less important,0.47470,1634,3409,0.45794,0.49147
2008,Rural regions,female,Unimportant,0.17165,513,3409,0.15899,0.18431
2012,Urban regions,male,Very important,0.11757,891,7891,0.11046,0.12467
2012,Urban regions,male,Important,0.36697,2856,7891,0.35634,0.37761
2012,Urban regions,male,Less important,0.40601,3330,7891,0.39518,0.41685
2012,Urban regions,male,Unimportant,0.10945,814,7891,0.10256,0.11634
2012,Urban regions,female,Very important,0.12455,1137,9595,0.11794,0.13116
2012,Urban regions,female,Important,0.36525,3416,9595,0.35561,0.37488
2012,Urban regions,female,Less important,0.38715,3999,9595,0.37740,0.39690
2012,Urban regions,female,Unimportant,0.12305,1043,9595,0.11648,0.12963
2012,Rural regions,male,Very important,0.08694,383,4634,0.07882,0.09505
2012,Rural regions,male,Important,0.34250,1554,4634,0.32884,0.35617
2012,Rural regions,male,Less important,0.42856,2066,4634,0.41431,0.44281
2012,Rural regions,male,Unimportant,0.14200,631,4634,0.13195,0.15205
2012,Rural regions,female,Very important,0.09240,447,5437,0.08471,0.10010
2012,Rural regions,female,Important,0.31298,1711,5437,0.30065,0.32530
2012,Rural regions,female,Less important,0.43298,2504,5437,0.41981,0.44615
2012,Rural regions,female,Unimportant,0.16164,775,5437,0.15185,0.17142
2016,Urban regions,male,Very important,0.13096,903,7170,0.12315,0.13877
2016,Urban regions,male,Important,0.37918,2839,7170,0.36794,0.39041
2016,Urban regions,male,Less important,0.38816,2772,7170,0.37688,0.39944
2016,Urban regions,male,Unimportant,0.10171,656,7170,0.09471,0.10871
2016,Urban regions,female,Very important,0.13522,1224,8566,0.12798,0.14247
2016,Urban regions,female,Important,0.37569,3285,8566,0.36544,0.38595
2016,Urban regions,female,Less important,0.37826,3233,8566,0.36799,0.38853
2016,Urban regions,female,Unimportant,0.11083,824,8566,0.10418,0.11748
2016,Rural regions,male,Very important,0.11011,404,3924,0.10031,0.11990
