,Unnamed: 0,year,sampreg,plh0112,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,West,Very important,0.12408,887,7105,0.12078,0.12766
1,1,1990,West,Important,0.3802,2732,7105,0.37376,0.38701
2,2,1990,West,Less important,0.38284,2753,7105,0.37698,0.38854
3,3,1990,West,Unimportant,0.11288,733,7105,0.10907,0.11661
4,4,1992,West,Very important,0.12783,882,10951,0.12411,0.13169
5,5,1992,West,Important,0.37594,2637,10951,0.36791,0.38276
6,6,1992,West,Less important,0.37524,2690,10951,0.36828,0.38242
7,7,1992,West,Unimportant,0.12099,775,10951,0.11681,0.12478
8,8,1992,East,Very important,0.11305,425,10951,0.10748,0.11967
9,9,1992,East,Important,0.40705,1636,10951,0.39648,0.4184
10,10,1992,East,Less important,0.38811,1608,10951,0.37758,0.39749
11,11,1992,East,Unimportant,0.09178,298,10951,0.08582,0.0975
12,12,1995,West,Very important,0.09933,741,11177,0.09478,0.10415
13,13,1995,West,Important,0.36838,2769,11177,0.35978,0.37527
14,14,1995,West,Less important,0.40828,3124,11177,0.39868,0.41744
15,15,1995,West,Unimportant,0.12401,878,11177,0.11839,0.1304
16,16,1995,East,Very important,0.09107,313,11177,0.08538,0.09695
17,17,1995,East,Important,0.3601,1360,11177,0.34932,0.37042
18,18,1995,East,Less important,0.44909,1689,11177,0.43636,0.46142
19,19,1995,East,Unimportant,0.09974,303,11177,0.09365,0.10578
20,20,2004,West,Very important,0.098,1663,21512,0.09383,0.10166
21,21,2004,West,Important,0.35523,5983,21512,0.34829,0.36219
22,22,2004,West,Less important,0.41588,6757,21512,0.4074,0.42417
23,23,2004,West,Unimportant,0.13088,1902,21512,0.12641,0.136
24,24,2004,East,Very important,0.08909,444,21512,0.08082,0.09611
25,25,2004,East,Important,0.32783,1799,21512,0.31777,0.33957
26,26,2004,East,Less important,0.45955,2419,21512,0.44644,0.47349
27,27,2004,East,Unimportant,0.12353,545,21512,0.11632,0.1289
28,28,2008,West,Very important,0.08536,1242,19230,0.08024,0.08967
29,29,2008,West,Important,0.33085,5034,19230,0.32283,0.33924
30,30,2008,West,Less important,0.42968,6200,19230,0.42124,0.43964
31,31,2008,West,Unimportant,0.15411,2002,19230,0.14809,0.15835
32,32,2008,East,Very important,0.06866,307,19230,0.06121,0.07581
33,33,2008,East,Important,0.31144,1508,19230,0.29838,0.32697
34,34,2008,East,Less important,0.46165,2270,19230,0.44454,0.47932
35,35,2008,East,Unimportant,0.15824,667,19230,0.14915,0.16704
36,36,2012,West,Very important,0.11498,2346,27557,0.11098,0.11939
37,37,2012,West,Important,0.35798,7499,27557,0.34952,0.36699
38,38,2012,West,Less important,0.40165,9116,27557,0.3912,0.41206
39,39,2012,West,Unimportant,0.1254,2439,27557,0.12052,0.13021
40,40,2012,East,Very important,0.09262,512,27557,0.08522,0.10324
41,41,2012,East,Important,0.33178,2038,27557,0.31497,0.3459
42,42,2012,East,Less important,0.43478,2783,27557,0.41441,0.45865
43,43,2012,East,Unimportant,0.14082,824,27557,0.1316,0.14781
44,44,2016,West,Very important,0.13093,2499,24219,0.12458,0.13624
45,45,2016,West,Important,0.36262,7263,24219,0.35292,0.3724
46,46,2016,West,Less important,0.39308,7530,24219,0.38168,0.40333
47,47,2016,West,Unimportant,0.11338,1906,24219,0.10796,0.11864
48,48,2016,East,Very important,0.09747,484,24219,0.08598,0.10612
49,49,2016,East,Important,0.34562,1665,24219,0.32409,0.36485
50,50,2016,East,Less important,0.4195,2207,24219,0.40016,0.44074
51,51,2016,East,Unimportant,0.13741,665,24219,0.12771,0.14761
52,52,2021,West,Very important,0.13501,1980,17166,0.12689,0.14499
53,53,2021,West,Important,0.34976,5027,17166,0.33614,0.36199
54,54,2021,West,Less important,0.41438,5436,17166,0.4002,0.42572
55,55,2021,West,Unimportant,0.10084,1106,17166,0.0944,0.10834
56,56,2021,East,Very important,0.11198,412,17166,0.0976,0.12893
57,57,2021,East,Important,0.35119,1283,17166,0.32424,0.37285
58,58,2021,East,Less important,0.41514,1532,17166,0.38945,0.44175
59,59,2021,East,Unimportant,0.12169,390,17166,0.10776,0.13667
