year,regtyp,sampreg,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,West,Yes,0.89008,8176,9132,0.88366,0.89649
2015,Urban regions,West,No,0.10330,956,9132,0.09706,0.10954
2015,Urban regions,East,Yes,0.85901,1060,1193,0.83925,0.87877
2015,Urban regions,East,No,0.13111,133,1193,0.11195,0.15027
2015,Rural regions,West,Yes,0.90954,3011,3293,0.89975,0.91934
2015,Rural regions,West,No,0.08170,282,3293,0.07234,0.09106
2015,Rural regions,East,Yes,0.87040,1857,2066,0.85592,0.88489
2015,Rural regions,East,No,0.11754,209,2066,0.10365,0.13143
2016,Urban regions,West,Yes,0.91472,7605,8239,0.90869,0.92075
2016,Urban regions,West,No,0.07693,634,8239,0.07118,0.08269
2016,Urban regions,East,Yes,0.89949,1017,1121,0.88188,0.91710
2016,Urban regions,East,No,0.09430,104,1121,0.07718,0.11141
2016,Rural regions,West,Yes,0.93679,2792,2970,0.92804,0.94555
2016,Rural regions,West,No,0.05533,178,2970,0.04711,0.06356
2016,Rural regions,East,Yes,0.92172,1818,1949,0.90980,0.93365
2016,Rural regions,East,No,0.06702,131,1949,0.05592,0.07813
2017,Urban regions,West,Yes,0.92145,8423,8997,0.91589,0.92701
2017,Urban regions,West,No,0.07075,574,8997,0.06545,0.07605
2017,Urban regions,East,Yes,0.89733,1137,1231,0.88037,0.91429
2017,Urban regions,East,No,0.09400,94,1231,0.07769,0.11031
2017,Rural regions,West,Yes,0.93405,3068,3247,0.92551,0.94258
2017,Rural regions,West,No,0.05896,179,3247,0.05086,0.06706
2017,Rural regions,East,Yes,0.91305,2049,2181,0.90122,0.92488
2017,Rural regions,East,No,0.07641,132,2181,0.06525,0.08756
2018,Urban regions,West,Yes,0.93616,8418,8917,0.93109,0.94124
2018,Urban regions,West,No,0.05479,499,8917,0.05007,0.05951
2018,Urban regions,East,Yes,0.91824,1173,1248,0.90303,0.93345
2018,Urban regions,East,No,0.07034,75,1248,0.05615,0.08453
2018,Rural regions,West,Yes,0.94214,2943,3091,0.93391,0.95037
2018,Rural regions,West,No,0.04921,148,3091,0.04158,0.05684
2018,Rural regions,East,Yes,0.93426,2059,2177,0.92384,0.94467
2018,Rural regions,East,No,0.05740,118,2177,0.04763,0.06718
2019,Urban regions,West,Yes,0.85877,6853,7223,0.85074,0.86680
2019,Urban regions,West,No,0.04730,370,7223,0.04240,0.05219
2019,Urban regions,East,Yes,0.83946,959,1020,0.81692,0.86200
2019,Urban regions,East,No,0.06780,61,1020,0.05236,0.08323
2019,Rural regions,West,Yes,0.86173,2434,2550,0.84833,0.87513
2019,Rural regions,West,No,0.04785,116,2550,0.03957,0.05614
2019,Rural regions,East,Yes,0.86450,1740,1825,0.84880,0.88021
2019,Rural regions,East,No,0.05128,85,1825,0.04116,0.06140
2020,Urban regions,West,Yes,0.92574,8900,9701,0.92052,0.93096
2020,Urban regions,West,No,0.06117,801,9701,0.05640,0.06594
2020,Urban regions,East,Yes,0.91074,1194,1288,0.89516,0.92632
2020,Urban regions,East,No,0.07141,94,1288,0.05734,0.08548
2020,Rural regions,West,Yes,0.93013,2938,3145,0.92122,0.93904
2020,Rural regions,West,No,0.05938,207,3145,0.05112,0.06764
2020,Rural regions,East,Yes,0.94270,2039,2147,0.93287,0.95253
2020,Rural regions,East,No,0.05191,108,2147,0.04252,0.06130
2021,Urban regions,West,Yes,0.82469,5412,5803,0.81490,0.83447
2021,Urban regions,West,No,0.05515,391,5803,0.04928,0.06103
2021,Urban regions,East,Yes,0.80611,764,813,0.77892,0.83330
2021,Urban regions,East,No,0.04893,49,813,0.03409,0.06376
2021,Rural regions,West,Yes,0.86094,1862,1972,0.84566,0.87621
2021,Rural regions,West,No,0.04893,110,1972,0.03940,0.05845
2021,Rural regions,East,Yes,0.86968,1307,1368,0.85183,0.88753
2021,Rural regions,East,No,0.03699,61,1368,0.02699,0.04700
2022,Urban regions,West,Yes,0.92267,10612,11491,0.91778,0.92755
2022,Urban regions,West,No,0.06256,879,11491,0.05813,0.06699
2022,Urban regions,East,Yes,0.91057,1491,1626,0.89669,0.92444
2022,Urban regions,East,No,0.06893,135,1626,0.05661,0.08125
2022,Rural regions,West,Yes,0.93036,3273,3491,0.92191,0.93880
2022,Rural regions,West,No,0.06121,218,3491,0.05326,0.06917
2022,Rural regions,East,Yes,0.94197,2409,2571,0.93293,0.95101
2022,Rural regions,East,No,0.05259,162,2571,0.04396,0.06122
