year,hhtyp,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,Yes,0.87251,3150,3604,0.86162,0.88340
2015,Single-person household,No,0.12749,454,3604,0.11660,0.13838
2015,Couple without children,Yes,0.93045,4016,4357,0.92289,0.93800
2015,Couple without children,No,0.06955,341,4357,0.06200,0.07711
2015,Single parent,Yes,0.87288,1491,1700,0.85704,0.88872
2015,Single parent,No,0.12712,209,1700,0.11128,0.14296
2015,Couple with children,Yes,0.90598,5117,5634,0.89836,0.91360
2015,Couple with children,No,0.09402,517,5634,0.08640,0.10164
2015,Multi-generational household,Yes,0.88105,119,119,0.82264,0.93946
2015,Other Combinations,Yes,0.86416,211,249,0.82152,0.90680
2015,Other Combinations,No,0.13584,38,249,0.09320,0.17848
2016,Single-person household,Yes,0.90686,3057,3379,0.89706,0.91666
2016,Single-person household,No,0.09314,322,3379,0.08334,0.10294
2016,Couple without children,Yes,0.95457,3879,4095,0.94819,0.96095
2016,Couple without children,No,0.04543,216,4095,0.03905,0.05181
2016,Single parent,Yes,0.89887,1372,1520,0.88371,0.91403
2016,Single parent,No,0.10113,148,1520,0.08597,0.11629
2016,Couple with children,Yes,0.93478,4653,4982,0.92792,0.94163
2016,Couple with children,No,0.06522,329,4982,0.05837,0.07208
2016,Multi-generational household,Yes,0.92998,97,97,0.87894,0.98103
2016,Other Combinations,Yes,0.90544,174,174,0.86184,0.94904
2017,Single-person household,Yes,0.90238,3476,3825,0.89297,0.91179
2017,Single-person household,No,0.09762,349,3825,0.08821,0.10703
2017,Couple without children,Yes,0.95834,4401,4609,0.95257,0.96411
2017,Couple without children,No,0.04166,208,4609,0.03589,0.04743
2017,Single parent,Yes,0.91254,1406,1538,0.89842,0.92667
2017,Single parent,No,0.08746,132,1538,0.07333,0.10158
2017,Couple with children,Yes,0.94745,5055,5313,0.94145,0.95345
2017,Couple with children,No,0.05255,258,5313,0.04655,0.05855
2017,Multi-generational household,Yes,0.91233,101,101,0.85689,0.96776
2017,Other Combinations,Yes,0.88148,238,238,0.84033,0.92263
