"hgeqpmglass","year","quintil","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2015","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2015","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2015","2","Westdeutschland","4937","0.865920362993597","0.857045836315689","0.874794889671506"
"Ja","2015","2","Ostdeutschland","1328","0.857659362143693","0.840117427941079","0.875201296346306"
"Ja","2015","3","Westdeutschland","5628","0.908220561617145","0.901014222528191","0.9154269007061"
"Ja","2015","3","Ostdeutschland","1593","0.892004811866403","0.877533242937303","0.906476380795502"
"Ja","2015","4","Westdeutschland","7103","0.924886854620951","0.91900047032862","0.930773238913282"
"Ja","2015","4","Ostdeutschland","1671","0.920021268365414","0.907503814073381","0.932538722657448"
"Ja","2015","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2015","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2015","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2015","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2015","2","Westdeutschland","726","0.134079637006403","0.125205110328495","0.142954163684311"
"Nein","2015","2","Ostdeutschland","196","0.142340637856307","0.124798703653694","0.159882572058921"
"Nein","2015","3","Westdeutschland","538","0.0917794383828548","0.0845730992939003","0.0989857774718094"
"Nein","2015","3","Ostdeutschland","174","0.107995188133597","0.0935236192044979","0.122466757062697"
"Nein","2015","4","Westdeutschland","599","0.0751131453790496","0.0692267610867185","0.0809995296713806"
"Nein","2015","4","Ostdeutschland","133","0.0799787316345855","0.0674612773425517","0.0924961859266194"
"Nein","2015","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2015","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2016","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2016","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2016","2","Westdeutschland","4367","0.899939164893265","0.891483382522817","0.908394947263713"
"Ja","2016","2","Ostdeutschland","1213","0.917530419150233","0.902718979231011","0.932341859069456"
"Ja","2016","3","Westdeutschland","4909","0.928045737780586","0.921049003189194","0.935042472371977"
"Ja","2016","3","Ostdeutschland","1451","0.939846790154036","0.928059159034233","0.95163442127384"
"Ja","2016","4","Westdeutschland","7036","0.953824025448643","0.949046607303331","0.958601443593955"
"Ja","2016","4","Ostdeutschland","1739","0.935394180440604","0.924189156538178","0.94659920434303"
"Ja","2016","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2016","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2016","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2016","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2016","2","Westdeutschland","471","0.100060835106736","0.0916050527362876","0.108516617477184"
"Nein","2016","2","Ostdeutschland","112","0.0824695808497669","0.0676581409305443","0.0972810207689895"
"Nein","2016","3","Westdeutschland","331","0.0719542622194144","0.0649575276280234","0.0789509968108055"
"Nein","2016","3","Ostdeutschland","112","0.0601532098459635","0.0483655787261599","0.0719408409657672"
"Nein","2016","4","Westdeutschland","377","0.0461759745513568","0.0413985564060445","0.0509533926966691"
"Nein","2016","4","Ostdeutschland","110","0.0646058195593961","0.0534007956569705","0.0758108434618217"
"Nein","2016","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2016","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2017","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2017","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2017","2","Westdeutschland","3991","0.909994807236778","0.901479378747592","0.918510235725963"
"Ja","2017","2","Ostdeutschland","1236","0.918722201918643","0.904140098070485","0.9333043057668"
"Ja","2017","3","Westdeutschland","5366","0.938484508133495","0.932224368094129","0.94474464817286"
"Ja","2017","3","Ostdeutschland","1505","0.90761126430912","0.893510260355389","0.92171226826285"
"Ja","2017","4","Westdeutschland","7677","0.950889036078737","0.946162483781943","0.955615588375531"
"Ja","2017","4","Ostdeutschland","1996","0.938512225593831","0.92825985833097","0.948764592856692"
"Ja","2017","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2017","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2017","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2017","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2017","2","Westdeutschland","348","0.0900051927632223","0.0814897642740371","0.0985206212524074"
"Nein","2017","2","Ostdeutschland","113","0.0812777980813575","0.0666956942331997","0.0958599019295153"
"Nein","2017","3","Westdeutschland","293","0.0615154918665052","0.0552553518271399","0.0677756319058706"
"Nein","2017","3","Ostdeutschland","115","0.0923887356908804","0.0782877317371496","0.106489739644611"
"Nein","2017","4","Westdeutschland","353","0.0491109639212631","0.0443844116244693","0.0538375162180569"
"Nein","2017","4","Ostdeutschland","113","0.0614877744061689","0.0512354071433076","0.0717401416690301"
"Nein","2017","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2017","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2018","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2018","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2018","2","Westdeutschland","3557","0.923748061877248","0.915297452993748","0.932198670760749"
"Ja","2018","2","Ostdeutschland","1117","0.93312375069227","0.918852388261997","0.947395113122543"
"Ja","2018","3","Westdeutschland","4986","0.949353919311118","0.94343156127992","0.955276277342316"
"Ja","2018","3","Ostdeutschland","1485","0.943813347984267","0.93242607758626","0.955200618382274"
"Ja","2018","4","Westdeutschland","7701","0.956962804112401","0.952528478408236","0.961397129816565"
"Ja","2018","4","Ostdeutschland","2155","0.953815168618618","0.945158158686041","0.962472178551194"
"Ja","2018","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2018","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2018","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2018","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2018","2","Westdeutschland","232","0.0762519381227516","0.0678013292392511","0.084702547006252"
"Nein","2018","2","Ostdeutschland","60","0.0668762493077301","0.0526048868774573","0.0811476117380028"
"Nein","2018","3","Westdeutschland","280","0.0506460806888817","0.0447237226576835","0.05656843872008"
"Nein","2018","3","Ostdeutschland","86","0.0561866520157334","0.0447993816177265","0.0675739224137402"
"Nein","2018","4","Westdeutschland","345","0.0430371958875994","0.0386028701834349","0.047471521591764"
"Nein","2018","4","Ostdeutschland","103","0.0461848313813822","0.037527821448806","0.0548418413139584"
"Nein","2018","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2018","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2019","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2019","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2019","2","Westdeutschland","2586","0.909832963542553","0.89921259416642","0.920453332918687"
