"hgeqpmglass","year","hhtyp","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2015","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Ja","2015","1-Pers.- Haushalt","2","461","0.842072046105452","0.811427529802347","0.872716562408557"
"Ja","2015","1-Pers.- Haushalt","3","556","0.860776202597208","0.834018768277784","0.887533636916632"
"Ja","2015","1-Pers.- Haushalt","4","789","0.879153955606752","0.85779965951123","0.900508251702274"
"Ja","2015","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Ja","2015","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2015","(Ehe-)Paar ohne Kind(er)","2","784","0.885613787814477","0.864656250206095","0.906571325422859"
"Ja","2015","(Ehe-)Paar ohne Kind(er)","3","1452","","",""
"Ja","2015","(Ehe-)Paar ohne Kind(er)","4","2052","","",""
"Ja","2015","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2015","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Ja","2015","Alleinerziehende","2","1186","","",""
"Ja","2015","Alleinerziehende","3","690","0.888674192518327","0.866414476466138","0.910933908570516"
"Ja","2015","Alleinerziehende","4","551","0.857425997898656","0.830014890804137","0.884837104993176"
"Ja","2015","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Ja","2015","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2015","Paar mit Kind(ern)","2","3599","0.870102031889732","0.859825167566297","0.880378896213166"
"Ja","2015","Paar mit Kind(ern)","3","4285","0.911284931421766","0.903132709543157","0.919437153300375"
"Ja","2015","Paar mit Kind(ern)","4","5119","0.940825472609935","0.934580063380118","0.947070881839752"
"Ja","2015","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2015","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Ja","2015","Sonstige","2","235","","",""
"Ja","2015","Sonstige","3","238","","",""
"Ja","2015","Sonstige","4","263","","",""
"Ja","2015","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Nein","2015","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Nein","2015","1-Pers.- Haushalt","2","83","0.157927953894548","0.127283437591443","0.188572470197653"
"Nein","2015","1-Pers.- Haushalt","3","87","0.139223797402792","0.112466363083368","0.165981231722216"
"Nein","2015","1-Pers.- Haushalt","4","106","","",""
"Nein","2015","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Nein","2015","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Nein","2015","(Ehe-)Paar ohne Kind(er)","2","102","","",""
"Nein","2015","(Ehe-)Paar ohne Kind(er)","3","122","","",""
"Nein","2015","(Ehe-)Paar ohne Kind(er)","4","170","","",""
"Nein","2015","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Nein","2015","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Nein","2015","Alleinerziehende","2","181","","",""
"Nein","2015","Alleinerziehende","3","77","0.111325807481673","0.0890660914294845","0.133585523533862"
"Nein","2015","Alleinerziehende","4","74","0.142574002101343","0.115162895006824","0.169985109195863"
"Nein","2015","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Nein","2015","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Nein","2015","Paar mit Kind(ern)","2","512","0.129897968110268","0.119621103786834","0.140174832433703"
"Nein","2015","Paar mit Kind(ern)","3","388","0.0887150685782339","0.0805628466996252","0.0968672904568426"
"Nein","2015","Paar mit Kind(ern)","4","364","0.059174527390065","0.0529291181602479","0.0654199366198821"
"Nein","2015","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Nein","2015","Sonstige","1 Einkommensschwächstes Quintil","","","",""
