year,regtyp,rentown,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,Owner,Yes,0.94291,3811,4034,0.93575,0.95007
2015,Urban regions,Owner,No,0.05709,223,4034,0.04993,0.06425
2015,Urban regions,Tenant,Yes,0.85542,5425,6291,0.84673,0.86411
2015,Urban regions,Tenant,No,0.14458,866,6291,0.13589,0.15327
2015,Rural regions,Owner,Yes,0.93703,2535,2679,0.92783,0.94623
2015,Rural regions,Owner,No,0.06297,144,2679,0.05377,0.07217
2015,Rural regions,Tenant,Yes,0.87038,2333,2680,0.85766,0.88309
2015,Rural regions,Tenant,No,0.12962,347,2680,0.11691,0.14234
2016,Urban regions,Owner,Yes,0.95134,3614,3766,0.94446,0.95821
2016,Urban regions,Owner,No,0.04866,152,3766,0.04179,0.05554
2016,Urban regions,Tenant,Yes,0.89735,5007,5593,0.88939,0.90530
2016,Urban regions,Tenant,No,0.10265,586,5593,0.09470,0.11061
2016,Rural regions,Owner,Yes,0.96725,2437,2531,0.96031,0.97418
2016,Rural regions,Owner,No,0.03275,94,2531,0.02582,0.03969
2016,Rural regions,Tenant,Yes,0.90938,2173,2388,0.89786,0.92089
2016,Rural regions,Tenant,No,0.09062,215,2388,0.07911,0.10214
2017,Urban regions,Owner,Yes,0.96536,4131,4256,0.95986,0.97085
2017,Urban regions,Owner,No,0.03464,125,4256,0.02915,0.04014
2017,Urban regions,Tenant,Yes,0.89584,5429,5972,0.88809,0.90359
2017,Urban regions,Tenant,No,0.10416,543,5972,0.09641,0.11191
2017,Rural regions,Owner,Yes,0.96979,2721,2804,0.96345,0.97613
2017,Rural regions,Owner,No,0.03021,83,2804,0.02387,0.03655
2017,Rural regions,Tenant,Yes,0.89523,2396,2624,0.88350,0.90695
2017,Rural regions,Tenant,No,0.10477,228,2624,0.09305,0.11650
2018,Urban regions,Owner,Yes,0.97198,3975,4077,0.96692,0.97705
2018,Urban regions,Owner,No,0.02802,102,4077,0.02295,0.03308
2018,Urban regions,Tenant,Yes,0.92022,5616,6088,0.91341,0.92702
2018,Urban regions,Tenant,No,0.07978,472,6088,0.07298,0.08659
2018,Rural regions,Owner,Yes,0.96625,2593,2676,0.95941,0.97309
2018,Rural regions,Owner,No,0.03375,83,2676,0.02691,0.04059
2018,Rural regions,Tenant,Yes,0.92671,2409,2592,0.91667,0.93674
2018,Rural regions,Tenant,No,0.07329,183,2592,0.06326,0.08333
2019,Urban regions,Owner,Yes,0.97197,3469,3555,0.96655,0.97740
2019,Urban regions,Owner,No,0.02803,86,3555,0.02260,0.03345
2019,Urban regions,Tenant,Yes,0.92293,4343,4688,0.91530,0.93057
2019,Urban regions,Tenant,No,0.07707,345,4688,0.06943,0.08470
2019,Rural regions,Owner,Yes,0.96587,2315,2385,0.95858,0.97316
2019,Rural regions,Owner,No,0.03413,70,2385,0.02684,0.04142
2019,Rural regions,Tenant,Yes,0.92232,1859,1990,0.91056,0.93409
2019,Rural regions,Tenant,No,0.07768,131,1990,0.06591,0.08944
2020,Urban regions,Owner,Yes,0.96641,4178,4283,0.96101,0.97181
2020,Urban regions,Owner,No,0.03359,105,4283,0.02819,0.03899
2020,Urban regions,Tenant,Yes,0.91341,5916,6706,0.90667,0.92014
2020,Urban regions,Tenant,No,0.08659,790,6706,0.07986,0.09333
2020,Rural regions,Owner,Yes,0.97076,2608,2683,0.96438,0.97714
2020,Rural regions,Owner,No,0.02924,75,2683,0.02286,0.03562
2020,Rural regions,Tenant,Yes,0.91193,2369,2609,0.90106,0.92281
2020,Rural regions,Tenant,No,0.08807,240,2609,0.07719,0.09894
2021,Urban regions,Owner,Yes,0.97167,2776,2846,0.96558,0.97777
2021,Urban regions,Owner,No,0.02833,70,2846,0.02223,0.03442
2021,Urban regions,Tenant,Yes,0.91036,3398,3767,0.90123,0.91948
2021,Urban regions,Tenant,No,0.08964,369,3767,0.08052,0.09877
2021,Rural regions,Owner,Yes,0.97926,1762,1810,0.97270,0.98583
2021,Rural regions,Owner,No,0.02074,48,1810,0.01417,0.02730
2021,Rural regions,Tenant,Yes,0.91803,1406,1529,0.90428,0.93179
2021,Rural regions,Tenant,No,0.08197,123,1529,0.06821,0.09572
2022,Urban regions,Owner,Yes,0.96801,4560,4683,0.96297,0.97305
2022,Urban regions,Owner,No,0.03199,123,4683,0.02695,0.03703
2022,Urban regions,Tenant,Yes,0.91038,7537,8426,0.90428,0.91648
2022,Urban regions,Tenant,No,0.08962,889,8426,0.08352,0.09572
2022,Rural regions,Owner,Yes,0.96767,3046,3150,0.96150,0.97385
2022,Rural regions,Owner,No,0.03233,104,3150,0.02615,0.03850
2022,Rural regions,Tenant,Yes,0.91173,2632,2906,0.90141,0.92204
2022,Rural regions,Tenant,No,0.08827,274,2906,0.07796,0.09859
