,Unnamed: 0,year,hhtyp,sampreg,hgeqpmglass,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2015,Single-person household,West,Yes,0.87644,2389,15605,0.85087,0.90238
1,1,2015,Single-person household,West,No,0.12356,348,15605,0.11381,0.13385
2,2,2015,Single-person household,East,Yes,0.85556,761,15605,0.81712,0.9092
3,3,2015,Single-person household,East,No,0.14444,106,15605,0.12313,0.16578
4,4,2015,Couple without children,West,Yes,0.93696,3049,15605,0.89404,0.96889
5,5,2015,Couple without children,West,No,0.06304,247,15605,0.05335,0.07184
6,6,2015,Couple without children,East,Yes,0.9005,967,15605,0.84769,0.95879
7,7,2015,Couple without children,East,No,0.0995,94,15605,0.0821,0.11676
8,8,2015,Single parent,West,Yes,0.86863,1170,15605,0.8134,0.92411
9,9,2015,Single parent,West,No,0.13137,168,15605,0.11136,0.15319
10,10,2015,Single parent,East,Yes,0.89109,321,15605,0.79053,1.013
11,11,2015,Single parent,East,No,0.10891,41,15605,0.09122,0.13429
12,12,2015,Couple with children,West,Yes,0.91186,4302,15605,0.87525,0.95376
13,13,2015,Couple with children,West,No,0.08814,423,15605,0.07592,0.09934
14,14,2015,Couple with children,East,Yes,0.87514,815,15605,0.79648,0.96761
15,15,2015,Couple with children,East,No,0.12486,94,15605,0.08318,0.16265
16,16,2015,Multi-generational household,West,Yes,1.0,95,15605,0.73875,1.30351
17,17,2015,Other Combinations,West,Yes,0.85852,182,15605,0.74077,1.00062
18,18,2015,Other Combinations,West,No,0.14148,33,15605,0.0983,0.18671
19,19,2016,Single-person household,West,Yes,0.90513,2274,14202,0.87684,0.93523
20,20,2016,Single-person household,West,No,0.09487,254,14202,0.08694,0.10416
21,21,2016,Single-person household,East,Yes,0.91638,783,14202,0.864,0.97781
22,22,2016,Single-person household,East,No,0.08362,68,14202,0.06858,0.09686
23,23,2016,Couple without children,West,Yes,0.95953,2928,14202,0.92405,0.98897
24,24,2016,Couple without children,West,No,0.04047,155,14202,0.03551,0.04642
25,25,2016,Couple without children,East,Yes,0.9296,951,14202,0.86852,0.98308
26,26,2016,Couple without children,East,No,0.0704,61,14202,0.05876,0.08619
27,27,2016,Single parent,West,Yes,0.89588,1071,14202,0.83398,0.95786
28,28,2016,Single parent,West,No,0.10412,114,14202,0.07987,0.13012
29,29,2016,Single parent,East,Yes,0.9116,301,14202,0.79635,1.01914
30,30,2016,Single parent,East,No,0.0884,34,14202,0.064,0.10909
31,31,2016,Couple with children,West,Yes,0.93717,3898,14202,0.8974,0.97818
32,32,2016,Couple with children,West,No,0.06283,264,14202,0.05287,0.07283
33,33,2016,Couple with children,East,Yes,0.92475,755,14202,0.83369,1.02009
34,34,2016,Couple with children,East,No,0.07525,65,14202,0.04616,0.10708
35,35,2016,Multi-generational household,West,Yes,1.0,77,14202,0.71813,1.2827
36,36,2016,Other Combinations,West,Yes,1.0,149,14202,0.82319,1.14181
37,37,2017,Single-person household,West,Yes,0.90458,2592,15581,0.87209,0.92769
38,38,2017,Single-person household,West,No,0.09542,265,15581,0.08631,0.10356
39,39,2017,Single-person household,East,Yes,0.89227,884,15581,0.84632,0.93871
40,40,2017,Single-person household,East,No,0.10773,84,15581,0.08933,0.12443
41,41,2017,Couple without children,West,Yes,0.96157,3327,15581,0.93482,0.99461
