year,hhtyp,regtyp,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,Urban regions,Yes,0.86409,2113,2443,0.85050,0.87768
2015,Single-person household,Urban regions,No,0.13591,330,2443,0.12232,0.14950
2015,Single-person household,Rural regions,Yes,0.89183,1037,1161,0.87396,0.90971
2015,Single-person household,Rural regions,No,0.10817,124,1161,0.09029,0.12604
2015,Couple without children,Urban regions,Yes,0.93313,2552,2770,0.92383,0.94243
2015,Couple without children,Urban regions,No,0.06687,218,2770,0.05757,0.07617
2015,Couple without children,Rural regions,Yes,0.92525,1464,1587,0.91231,0.93819
2015,Couple without children,Rural regions,No,0.07475,123,1587,0.06181,0.08769
2015,Single parent,Urban regions,Yes,0.86704,977,1115,0.84711,0.88698
2015,Single parent,Urban regions,No,0.13296,138,1115,0.11302,0.15289
2015,Single parent,Rural regions,Yes,0.88441,514,585,0.85848,0.91035
2015,Single parent,Rural regions,No,0.11559,71,585,0.08965,0.14152
2015,Couple with children,Urban regions,Yes,0.90778,3372,3732,0.89850,0.91707
2015,Couple with children,Urban regions,No,0.09222,360,3732,0.08293,0.10150
2015,Couple with children,Rural regions,Yes,0.90209,1745,1902,0.88873,0.91545
2015,Couple with children,Rural regions,No,0.09791,157,1902,0.08455,0.11127
2015,Multi-generational household,Urban regions,Yes,0.86922,69,69,0.78908,0.94936
2015,Multi-generational household,Rural regions,Yes,0.90184,50,50,0.81853,0.98515
2015,Other Combinations,Urban regions,Yes,0.84935,153,184,0.79752,0.90117
2015,Other Combinations,Urban regions,No,0.15065,31,184,0.09883,0.20248
2015,Other Combinations,Rural regions,Yes,0.92365,58,58,0.85470,0.99259
2016,Single-person household,Urban regions,Yes,0.89942,2069,2312,0.88716,0.91169
2016,Single-person household,Urban regions,No,0.10058,243,2312,0.08831,0.11284
2016,Single-person household,Rural regions,Yes,0.92472,988,1067,0.90888,0.94056
2016,Single-person household,Rural regions,No,0.07528,79,1067,0.05944,0.09112
2016,Couple without children,Urban regions,Yes,0.95340,2427,2567,0.94525,0.96156
2016,Couple without children,Urban regions,No,0.04660,140,2567,0.03844,0.05475
2016,Couple without children,Rural regions,Yes,0.95677,1452,1528,0.94657,0.96697
2016,Couple without children,Rural regions,No,0.04323,76,1528,0.03303,0.05343
2016,Single parent,Urban regions,Yes,0.89921,893,990,0.88045,0.91797
2016,Single parent,Urban regions,No,0.10079,97,990,0.08203,0.11955
2016,Single parent,Rural regions,Yes,0.89823,479,530,0.87246,0.92399
2016,Single parent,Rural regions,No,0.10177,51,530,0.07601,0.12754
2016,Couple with children,Urban regions,Yes,0.92438,3050,3290,0.91534,0.93341
2016,Couple with children,Urban regions,No,0.07562,240,3290,0.06659,0.08466
2016,Couple with children,Rural regions,Yes,0.95813,1603,1692,0.94858,0.96768
2016,Couple with children,Rural regions,No,0.04187,89,1692,0.03232,0.05142
2016,Multi-generational household,Urban regions,Yes,0.91753,60,60,0.84733,0.98772
2016,Multi-generational household,Rural regions,Yes,0.95223,37,37,0.88255,1.02190
2016,Other Combinations,Urban regions,Yes,0.93312,123,123,0.88879,0.97745
2016,Other Combinations,Rural regions,Yes,0.81745,51,51,0.71037,0.92453
2017,Single-person household,Urban regions,Yes,0.90319,2352,2590,0.89180,0.91458
2017,Single-person household,Urban regions,No,0.09681,238,2590,0.08542,0.10820
2017,Single-person household,Rural regions,Yes,0.90042,1124,1235,0.88371,0.91713
