"hgeqpmglass","year","quintil","regtyp","n","percent","lower_confidence","upper_confidence"
"Ja","2015","1","Laendlicher Raum","2001","0.851906105866514","0.8375636048287","0.866248606904329"
"Ja","2015","1","Staedtischer Raum","3463","0.823377447792069","0.811804325084085","0.834950570500053"
"Ja","2015","2","Laendlicher Raum","2363","0.85585204930081","0.842647397653315","0.869056700948304"
"Ja","2015","2","Staedtischer Raum","3902","0.868807326621108","0.858909053295613","0.878705599946603"
"Ja","2015","3","Laendlicher Raum","2788","0.912430380866482","0.902421620077757","0.922439141655207"
"Ja","2015","3","Staedtischer Raum","4433","0.900665228370029","0.892263656423566","0.909066800316492"
"Ja","2015","4","Laendlicher Raum","3231","0.942828003212048","0.935050278663708","0.950605727760388"
"Ja","2015","4","Staedtischer Raum","5543","0.914580448706191","0.907556541228286","0.921604356184097"
"Ja","2015","5","Laendlicher Raum","2406","0.92801049481912","0.917914915014549","0.93810607462369"
"Ja","2015","5","Staedtischer Raum","6716","0.938281054540021","0.932718304168994","0.943843804911048"
"Nein","2015","1","Laendlicher Raum","355","0.148093894133486","0.133751393095671","0.1624363951713"
"Nein","2015","1","Staedtischer Raum","708","0.176622552207931","0.165049429499947","0.188195674915915"
"Nein","2015","2","Laendlicher Raum","355","0.14414795069919","0.130943299051696","0.157352602346685"
"Nein","2015","2","Staedtischer Raum","567","0.131192673378892","0.121294400053397","0.141090946704387"
"Nein","2015","3","Laendlicher Raum","276","0.0875696191335184","0.0775608583447933","0.0975783799222434"
"Nein","2015","3","Staedtischer Raum","436","0.0993347716299711","0.0909331996835079","0.107736343576434"
"Nein","2015","4","Laendlicher Raum","192","0.0571719967879522","0.0493942722396119","0.0649497213362924"
"Nein","2015","4","Staedtischer Raum","540","0.0854195512938087","0.0783956438159031","0.0924434587717142"
"Nein","2015","5","Laendlicher Raum","112","0.0719895051808804","0.0618939253763101","0.0820850849854507"
"Nein","2015","5","Staedtischer Raum","473","0.0617189454599788","0.0561561950889515","0.0672816958310061"
"Ja","2016","1","Laendlicher Raum","1654","0.891072391969619","0.877011828525148","0.90513295541409"
"Ja","2016","1","Staedtischer Raum","2652","0.858580748494313","0.84630260296503","0.870858894023596"
"Ja","2016","2","Laendlicher Raum","2135","0.93926545787516","0.929544484063669","0.948986431686651"
"Ja","2016","2","Staedtischer Raum","3445","0.885832486585736","0.875779306222312","0.895885666949161"
"Ja","2016","3","Laendlicher Raum","2498","0.956956687529314","0.949206018543755","0.964707356514873"
