,Unnamed: 0,year,regtyp,hgeqpmglass,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2015,Urban regions,Yes,0.8933,9222,15684,0.87273,0.91111
1,1,2015,Urban regions,No,0.1067,1089,15684,0.1004,0.11378
2,2,2015,Rural regions,Yes,0.90391,4882,15684,0.87622,0.932
3,3,2015,Rural regions,No,0.09609,491,15684,0.08767,0.10406
4,4,2016,Urban regions,Yes,0.92101,8610,14279,0.89977,0.94275
5,5,2016,Urban regions,No,0.07899,738,14279,0.07319,0.08544
6,6,2016,Rural regions,Yes,0.93983,4622,14279,0.90827,0.96696
7,7,2016,Rural regions,No,0.06017,309,14279,0.05129,0.06782
8,8,2017,Urban regions,Yes,0.92649,9543,15656,0.90786,0.94632
9,9,2017,Urban regions,No,0.07351,666,15656,0.06822,0.07963
10,10,2017,Rural regions,Yes,0.93362,5134,15656,0.90766,0.96113
11,11,2017,Rural regions,No,0.06638,313,15656,0.05926,0.07398
12,12,2018,Urban regions,Yes,0.94335,9576,15433,0.92634,0.96366
13,13,2018,Urban regions,No,0.05665,573,15433,0.05121,0.06227
14,14,2018,Rural regions,Yes,0.94749,5017,15433,0.91913,0.97385
15,15,2018,Rural regions,No,0.05251,267,15433,0.04488,0.05986
16,16,2019,Urban regions,Yes,0.94586,7800,12618,0.92379,0.96752
17,17,2019,Urban regions,No,0.05414,430,12618,0.04872,0.05944
18,18,2019,Rural regions,Yes,0.94666,4186,12618,0.91659,0.97688
19,19,2019,Rural regions,No,0.05334,202,12618,0.04474,0.06172
20,20,2020,Urban regions,Yes,0.9368,10077,16281,0.91679,0.96121
21,21,2020,Urban regions,No,0.0632,890,16281,0.058,0.06987
22,22,2020,Rural regions,Yes,0.94275,4994,16281,0.91241,0.96787
23,23,2020,Rural regions,No,0.05725,320,16281,0.04899,0.0646
24,24,2021,Urban regions,Yes,0.93829,6170,9956,0.9121,0.96487
25,25,2021,Urban regions,No,0.06171,440,9956,0.05226,0.0714
26,26,2021,Rural regions,Yes,0.95171,3175,9956,0.91438,0.99062
27,27,2021,Rural regions,No,0.04829,171,9956,0.03914,0.05837
