year,hhtyp,quintil_oecd_hh,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,1st Quintile,Yes,0.82749,873,1043,0.80455,0.85043
2015,Single-person household,1st Quintile,No,0.17251,170,1043,0.14957,0.19545
2015,Single-person household,2nd Quintile,Yes,0.86017,697,811,0.83629,0.88405
2015,Single-person household,2nd Quintile,No,0.13983,114,811,0.11595,0.16371
2015,Single-person household,3rd Quintile,Yes,0.87964,573,645,0.85451,0.90477
2015,Single-person household,3rd Quintile,No,0.12036,72,645,0.09523,0.14549
2015,Single-person household,4th Quintile,Yes,0.90767,510,566,0.88380,0.93154
2015,Single-person household,4th Quintile,No,0.09233,56,566,0.06846,0.11620
2015,Single-person household,5th Quintile,Yes,0.92212,493,534,0.89937,0.94487
2015,Single-person household,5th Quintile,No,0.07788,41,534,0.05513,0.10063
2015,Couple without children,1st Quintile,Yes,0.85057,436,501,0.81932,0.88182
2015,Couple without children,1st Quintile,No,0.14943,65,501,0.11818,0.18068
2015,Couple without children,2nd Quintile,Yes,0.92240,712,785,0.90367,0.94112
2015,Couple without children,2nd Quintile,No,0.07760,73,785,0.05888,0.09633
2015,Couple without children,3rd Quintile,Yes,0.94825,752,809,0.93298,0.96353
2015,Couple without children,3rd Quintile,No,0.05175,57,809,0.03647,0.06702
2015,Couple without children,4th Quintile,Yes,0.93659,868,937,0.92097,0.95220
2015,Couple without children,4th Quintile,No,0.06341,69,937,0.04780,0.07903
2015,Couple without children,5th Quintile,Yes,0.94736,1248,1325,0.93533,0.95939
2015,Couple without children,5th Quintile,No,0.05264,77,1325,0.04061,0.06467
2015,Single parent,1st Quintile,Yes,0.86465,632,734,0.83989,0.88942
2015,Single parent,1st Quintile,No,0.13535,102,734,0.11058,0.16011
2015,Single parent,2nd Quintile,Yes,0.85620,378,437,0.82326,0.88914
2015,Single parent,2nd Quintile,No,0.14380,59,437,0.11086,0.17674
2015,Single parent,3rd Quintile,Yes,0.88509,235,235,0.84423,0.92595
2015,Single parent,4th Quintile,Yes,0.87965,158,158,0.82875,0.93055
2015,Single parent,5th Quintile,Yes,0.96343,87,87,0.92375,1.00310
2015,Couple with children,1st Quintile,Yes,0.83824,950,1121,0.81667,0.85980
2015,Couple with children,1st Quintile,No,0.16176,171,1121,0.14020,0.18333
2015,Couple with children,2nd Quintile,Yes,0.87812,1099,1236,0.85987,0.89636
2015,Couple with children,2nd Quintile,No,0.12188,137,1236,0.10364,0.14013
2015,Couple with children,3rd Quintile,Yes,0.92579,1132,1212,0.91103,0.94055
2015,Couple with children,3rd Quintile,No,0.07421,80,1212,0.05945,0.08897
2015,Couple with children,4th Quintile,Yes,0.92353,1014,1085,0.90771,0.93935
2015,Couple with children,4th Quintile,No,0.07647,71,1085,0.06065,0.09229
2015,Couple with children,5th Quintile,Yes,0.93329,922,980,0.91766,0.94892
2015,Couple with children,5th Quintile,No,0.06671,58,980,0.05108,0.08234
2015,Multi-generational household,1st Quintile,Yes,0.63458,36,36,0.47505,0.79412
2015,Other Combinations,1st Quintile,Yes,0.80320,67,67,0.70728,0.89912
2015,Other Combinations,2nd Quintile,Yes,0.94403,51,51,0.88031,1.00774
2015,Other Combinations,3rd Quintile,Yes,0.78302,35,35,0.64447,0.92157
2015,Other Combinations,4th Quintile,Yes,0.86666,31,31,0.74502,0.98831
2016,Single-person household,1st Quintile,Yes,0.86016,856,986,0.83850,0.88182
2016,Single-person household,1st Quintile,No,0.13984,130,986,0.11818,0.16150
2016,Single-person household,2nd Quintile,Yes,0.89853,652,724,0.87651,0.92054
2016,Single-person household,2nd Quintile,No,0.10147,72,724,0.07946,0.12349
2016,Single-person household,3rd Quintile,Yes,0.92964,590,632,0.90969,0.94960
2016,Single-person household,3rd Quintile,No,0.07036,42,632,0.05040,0.09031
2016,Single-person household,4th Quintile,Yes,0.92328,498,553,0.90108,0.94548
2016,Single-person household,4th Quintile,No,0.07672,55,553,0.05452,0.09892
2016,Single-person household,5th Quintile,Yes,0.95539,457,457,0.93644,0.97434
2016,Couple without children,1st Quintile,Yes,0.89952,386,434,0.87120,0.92784
2016,Couple without children,1st Quintile,No,0.10048,48,434,0.07216,0.12880
2016,Couple without children,2nd Quintile,Yes,0.93933,672,711,0.92177,0.95689
2016,Couple without children,2nd Quintile,No,0.06067,39,711,0.04311,0.07823
2016,Couple without children,3rd Quintile,Yes,0.95847,715,758,0.94426,0.97268
2016,Couple without children,3rd Quintile,No,0.04153,43,758,0.02732,0.05574
2016,Couple without children,4th Quintile,Yes,0.96889,887,928,0.95771,0.98007
2016,Couple without children,4th Quintile,No,0.03111,41,928,0.01993,0.04229
2016,Couple without children,5th Quintile,Yes,0.96674,1219,1264,0.95685,0.97663
2016,Couple without children,5th Quintile,No,0.03326,45,1264,0.02337,0.04315
2016,Single parent,1st Quintile,Yes,0.88632,573,651,0.86192,0.91072
2016,Single parent,1st Quintile,No,0.11368,78,651,0.08928,0.13808
2016,Single parent,2nd Quintile,Yes,0.86660,361,405,0.83345,0.89976
2016,Single parent,2nd Quintile,No,0.13340,44,405,0.10024,0.16655
2016,Single parent,3rd Quintile,Yes,0.93561,215,215,0.90272,0.96849
2016,Single parent,4th Quintile,Yes,0.97541,146,146,0.95020,1.00062
2016,Single parent,5th Quintile,Yes,0.91055,77,77,0.84639,0.97472
2016,Couple with children,1st Quintile,Yes,0.88585,830,924,0.86533,0.90636
2016,Couple with children,1st Quintile,No,0.11415,94,924,0.09364,0.13467
2016,Couple with children,2nd Quintile,Yes,0.91646,1024,1109,0.90017,0.93275
2016,Couple with children,2nd Quintile,No,0.08354,85,1109,0.06725,0.09983
2016,Couple with children,3rd Quintile,Yes,0.95035,994,1056,0.93724,0.96345
2016,Couple with children,3rd Quintile,No,0.04965,62,1056,0.03655,0.06276
2016,Couple with children,4th Quintile,Yes,0.94550,946,992,0.93136,0.95963
2016,Couple with children,4th Quintile,No,0.05450,46,992,0.04037,0.06864
2016,Couple with children,5th Quintile,Yes,0.95577,859,900,0.94233,0.96921
2016,Couple with children,5th Quintile,No,0.04423,41,900,0.03079,0.05767
2016,Multi-generational household,2nd Quintile,Yes,0.97371,32,32,0.91739,1.03003
2016,Other Combinations,1st Quintile,Yes,0.80639,44,44,0.68828,0.92449
2016,Other Combinations,2nd Quintile,Yes,0.91958,44,44,0.83829,1.00086
2016,Other Combinations,3rd Quintile,Yes,0.88423,37,37,0.77971,0.98874
2017,Single-person household,1st Quintile,Yes,0.85497,983,1127,0.83440,0.87554
2017,Single-person household,1st Quintile,No,0.14503,144,1127,0.12446,0.16560
2017,Single-person household,2nd Quintile,Yes,0.89714,742,824,0.87639,0.91790
2017,Single-person household,2nd Quintile,No,0.10286,82,824,0.08210,0.12361
2017,Single-person household,3rd Quintile,Yes,0.91286,647,708,0.89207,0.93365
2017,Single-person household,3rd Quintile,No,0.08714,61,708,0.06635,0.10793
2017,Single-person household,4th Quintile,Yes,0.92934,570,604,0.90888,0.94979
2017,Single-person household,4th Quintile,No,0.07066,34,604,0.05021,0.09112
2017,Single-person household,5th Quintile,Yes,0.95208,531,531,0.93390,0.97027
2017,Couple without children,1st Quintile,Yes,0.93579,412,451,0.91314,0.95844
2017,Couple without children,1st Quintile,No,0.06421,39,451,0.04156,0.08686
2017,Couple without children,2nd Quintile,Yes,0.95364,732,765,0.93873,0.96855
2017,Couple without children,2nd Quintile,No,0.04636,33,765,0.03145,0.06127
2017,Couple without children,3rd Quintile,Yes,0.95991,853,890,0.94701,0.97281
