year,hhtyp,rentown,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,Owner,Yes,0.91476,910,980,0.89727,0.93225
2015,Single-person household,Owner,No,0.07806,70,980,0.06125,0.09486
2015,Single-person household,Tenant,Yes,0.84192,2240,2624,0.82796,0.85588
2015,Single-person household,Tenant,No,0.14940,384,2624,0.13576,0.16304
2015,Couple without children,Owner,Yes,0.95179,2181,2296,0.94303,0.96056
2015,Couple without children,Owner,No,0.04428,115,2296,0.03586,0.05269
2015,Couple without children,Tenant,Yes,0.88742,1835,2061,0.87377,0.90107
2015,Couple without children,Tenant,No,0.10289,226,2061,0.08977,0.11601
2015,Single parent,Owner,Yes,0.88823,377,377,0.85638,0.92008
2015,Single parent,Tenant,Yes,0.85455,1114,1296,0.83535,0.87376
2015,Single parent,Tenant,No,0.13920,182,1296,0.12035,0.15806
2015,Couple with children,Owner,Yes,0.94011,2756,2900,0.93147,0.94875
2015,Couple with children,Owner,No,0.05303,144,2900,0.04488,0.06119
2015,Couple with children,Tenant,Yes,0.83292,2361,2734,0.81893,0.84691
2015,Couple with children,Tenant,No,0.15488,373,2734,0.14132,0.16845
2015,Multi-generational household,Owner,Yes,0.94637,57,57,0.88737,1.00538
2015,Multi-generational household,Tenant,Yes,0.77008,62,62,0.66449,0.87568
2015,Other Combinations,Owner,Yes,0.89576,65,65,0.82090,0.97063
2015,Other Combinations,Tenant,Yes,0.83687,146,178,0.78244,0.89131
2015,Other Combinations,Tenant,No,0.15158,32,178,0.09875,0.20441
2016,Single-person household,Owner,Yes,0.93469,874,930,0.91881,0.95058
2016,Single-person household,Owner,No,0.06240,56,930,0.04685,0.07796
2016,Single-person household,Tenant,Yes,0.88807,2182,2448,0.87558,0.90056
2016,Single-person household,Tenant,No,0.10761,266,2448,0.09533,0.11989
2016,Couple without children,Owner,Yes,0.96902,2150,2222,0.96182,0.97623
2016,Couple without children,Owner,No,0.03098,72,2222,0.02377,0.03818
2016,Couple without children,Tenant,Yes,0.93126,1729,1873,0.91980,0.94272
2016,Couple without children,Tenant,No,0.06561,144,1873,0.05440,0.07683
2016,Single parent,Owner,Yes,0.94576,364,364,0.92246,0.96906
2016,Single parent,Tenant,Yes,0.87096,1008,1139,0.85149,0.89044
2016,Single parent,Tenant,No,0.11974,131,1139,0.10087,0.13860
2016,Couple with children,Owner,Yes,0.96189,2565,2660,0.95462,0.96917
2016,Couple with children,Owner,No,0.03766,95,2660,0.03043,0.04490
2016,Couple with children,Tenant,Yes,0.88624,2088,2322,0.87332,0.89916
2016,Couple with children,Tenant,No,0.10543,234,2322,0.09294,0.11793
2016,Multi-generational household,Owner,Yes,0.97323,48,48,0.92708,1.01938
2016,Multi-generational household,Tenant,Yes,0.85836,49,49,0.75972,0.95700
2016,Other Combinations,Owner,Yes,0.95738,50,50,0.90081,1.01394
2016,Other Combinations,Tenant,Yes,0.87892,124,124,0.82127,0.93657
2017,Single-person household,Owner,Yes,0.94507,967,1017,0.93106,0.95908
2017,Single-person household,Owner,No,0.05463,50,1017,0.04066,0.06861
2017,Single-person household,Tenant,Yes,0.87305,2509,2808,0.86073,0.88536
2017,Single-person household,Tenant,No,0.11727,299,2808,0.10537,0.12918
2017,Couple without children,Owner,Yes,0.97708,2465,2529,0.97124,0.98291
2017,Couple without children,Owner,No,0.02292,64,2529,0.01709,0.02876
2017,Couple without children,Tenant,Yes,0.92748,1936,2080,0.91633,0.93862
2017,Couple without children,Tenant,No,0.06931,144,2080,0.05839,0.08022
2017,Single parent,Owner,Yes,0.96834,392,392,0.95098,0.98569
2017,Single parent,Tenant,Yes,0.88005,1014,1128,0.86108,0.89902
2017,Single parent,Tenant,No,0.11098,114,1128,0.09264,0.12932
