year,quintil_oecd_hh,regtyp,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,1st Quintile,Urban regions,Yes,0.82815,1944,2293,0.81270,0.84359
2015,1st Quintile,Urban regions,No,0.17185,349,2293,0.15641,0.18730
2015,1st Quintile,Rural regions,Yes,0.85045,1050,1236,0.83056,0.87034
2015,1st Quintile,Rural regions,No,0.14955,186,1236,0.12966,0.16944
2015,2nd Quintile,Urban regions,Yes,0.86726,1781,2045,0.85255,0.88197
2015,2nd Quintile,Urban regions,No,0.13274,264,2045,0.11803,0.14745
2015,2nd Quintile,Rural regions,Yes,0.90340,1184,1319,0.88745,0.91935
2015,2nd Quintile,Rural regions,No,0.09660,135,1319,0.08065,0.11255
2015,3rd Quintile,Urban regions,Yes,0.90586,1734,1905,0.89274,0.91898
2015,3rd Quintile,Urban regions,No,0.09414,171,1905,0.08102,0.10726
2015,3rd Quintile,Rural regions,Yes,0.91981,1022,1098,0.90374,0.93588
2015,3rd Quintile,Rural regions,No,0.08019,76,1098,0.06412,0.09626
2015,4th Quintile,Urban regions,Yes,0.92418,1694,1848,0.91210,0.93625
2015,4th Quintile,Urban regions,No,0.07582,154,1848,0.06375,0.08790
2015,4th Quintile,Rural regions,Yes,0.91179,905,968,0.89391,0.92966
2015,4th Quintile,Rural regions,No,0.08821,63,968,0.07034,0.10609
2015,5th Quintile,Urban regions,Yes,0.93269,2079,2229,0.92229,0.94310
2015,5th Quintile,Urban regions,No,0.06731,150,2229,0.05690,0.07771
2015,5th Quintile,Rural regions,Yes,0.95176,706,737,0.93628,0.96724
2015,5th Quintile,Rural regions,No,0.04824,31,737,0.03276,0.06372
2016,1st Quintile,Urban regions,Yes,0.85715,1724,1982,0.84174,0.87256
2016,1st Quintile,Urban regions,No,0.14285,258,1982,0.12744,0.15826
2016,1st Quintile,Rural regions,Yes,0.90096,994,1107,0.88336,0.91857
2016,1st Quintile,Rural regions,No,0.09904,113,1107,0.08143,0.11664
2016,2nd Quintile,Urban regions,Yes,0.90260,1683,1841,0.88906,0.91615
2016,2nd Quintile,Urban regions,No,0.09740,158,1841,0.08385,0.11094
2016,2nd Quintile,Rural regions,Yes,0.92591,1102,1192,0.91104,0.94079
2016,2nd Quintile,Rural regions,No,0.07409,90,1192,0.05921,0.08896
2016,3rd Quintile,Urban regions,Yes,0.94355,1614,1724,0.93265,0.95444
2016,3rd Quintile,Urban regions,No,0.05645,110,1724,0.04556,0.06735
2016,3rd Quintile,Rural regions,Yes,0.94179,959,1014,0.92737,0.95621
2016,3rd Quintile,Rural regions,No,0.05821,55,1014,0.04379,0.07263
2016,4th Quintile,Urban regions,Yes,0.93820,1640,1759,0.92695,0.94946
2016,4th Quintile,Urban regions,No,0.06180,119,1759,0.05054,0.07305
2016,4th Quintile,Rural regions,Yes,0.96734,873,873,0.95554,0.97913
2016,5th Quintile,Urban regions,Yes,0.95549,1957,2049,0.94655,0.96442
2016,5th Quintile,Urban regions,No,0.04451,92,2049,0.03558,0.05345
2016,5th Quintile,Rural regions,Yes,0.97409,682,682,0.96216,0.98602
2017,1st Quintile,Urban regions,Yes,0.87742,1807,2017,0.86311,0.89174
2017,1st Quintile,Urban regions,No,0.12258,210,2017,0.10826,0.13689
2017,1st Quintile,Rural regions,Yes,0.87494,1057,1179,0.85605,0.89383
2017,1st Quintile,Rural regions,No,0.12506,122,1179,0.10617,0.14395
2017,2nd Quintile,Urban regions,Yes,0.91173,1824,1973,0.89921,0.92426
2017,2nd Quintile,Urban regions,No,0.08827,149,1973,0.07574,0.10079
2017,2nd Quintile,Rural regions,Yes,0.93309,1186,1261,0.91930,0.94689
2017,2nd Quintile,Rural regions,No,0.06691,75,1261,0.05311,0.08070
2017,3rd Quintile,Urban regions,Yes,0.92888,1778,1901,0.91733,0.94044
2017,3rd Quintile,Urban regions,No,0.07112,123,1901,0.05956,0.08267
