year,sampreg,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,West,Yes,0.90138,11187,12425,0.89614,0.90663
2015,West,No,0.09862,1238,12425,0.09337,0.10386
2015,East,Yes,0.87608,2917,3259,0.86476,0.88739
2015,East,No,0.12392,342,3259,0.11261,0.13524
2016,West,Yes,0.92779,10397,11209,0.92300,0.93259
2016,West,No,0.07221,812,11209,0.06741,0.07700
2016,East,Yes,0.92228,2835,3070,0.91281,0.93175
2016,East,No,0.07772,235,3070,0.06825,0.08719
2017,West,Yes,0.93156,11491,12244,0.92709,0.93603
2017,West,No,0.06844,753,12244,0.06397,0.07291
2017,East,Yes,0.91625,3186,3412,0.90695,0.92555
2017,East,No,0.08375,226,3412,0.07445,0.09305
2018,West,Yes,0.94607,11361,12008,0.94203,0.95011
2018,West,No,0.05393,647,12008,0.04989,0.05797
2018,East,Yes,0.93719,3232,3425,0.92907,0.94532
2018,East,No,0.06281,193,3425,0.05468,0.07093
2019,West,Yes,0.94770,9287,9773,0.94329,0.95211
2019,West,No,0.05230,486,9773,0.04789,0.05671
2019,East,Yes,0.93720,2699,2845,0.92828,0.94612
2019,East,No,0.06280,146,2845,0.05388,0.07172
2020,West,Yes,0.93849,11838,12846,0.93434,0.94265
2020,West,No,0.06151,1008,12846,0.05735,0.06566
2020,East,Yes,0.94027,3233,3435,0.93234,0.94820
2020,East,No,0.05973,202,3435,0.05180,0.06766
2021,West,Yes,0.93953,7274,7775,0.93423,0.94483
2021,West,No,0.06047,501,7775,0.05517,0.06577
2021,East,Yes,0.95376,2071,2181,0.94494,0.96258
2021,East,No,0.04624,110,2181,0.03742,0.05506
2022,West,Yes,0.93694,13885,14982,0.93305,0.94084
2022,West,No,0.06306,1097,14982,0.05916,0.06695
2022,East,Yes,0.94033,3900,4197,0.93317,0.94750
2022,East,No,0.05967,297,4197,0.05250,0.06683
