year,regtyp,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Urban regions,Very concerned,0.28577,2874,8836,0.27635,0.29519
1999,Urban regions,Somewhat concerned,0.36990,4031,8836,0.35984,0.37997
1999,Urban regions,Not concerned at all,0.17031,1931,8836,0.16247,0.17815
1999,Rural regions,Very concerned,0.31879,1827,4780,0.30558,0.33200
1999,Rural regions,Somewhat concerned,0.38136,2258,4780,0.36759,0.39513
1999,Rural regions,Not concerned at all,0.11461,695,4780,0.10558,0.12364
2000,Urban regions,Very concerned,0.23282,4290,15515,0.22617,0.23947
2000,Urban regions,Somewhat concerned,0.36097,6984,15515,0.35341,0.36853
2000,Urban regions,Not concerned at all,0.22364,4241,15515,0.21708,0.23019
2000,Rural regions,Very concerned,0.26849,2740,8305,0.25896,0.27803
2000,Rural regions,Somewhat concerned,0.38561,3938,8305,0.37514,0.39608
2000,Rural regions,Not concerned at all,0.15947,1627,8305,0.15159,0.16734
2001,Urban regions,Very concerned,0.18549,3215,14148,0.17909,0.19190
2001,Urban regions,Somewhat concerned,0.38053,6570,14148,0.37253,0.38853
2001,Urban regions,Not concerned at all,0.25247,4363,14148,0.24531,0.25963
2001,Rural regions,Very concerned,0.23246,2104,7545,0.22292,0.24199
2001,Rural regions,Somewhat concerned,0.40530,3723,7545,0.39422,0.41638
2001,Rural regions,Not concerned at all,0.18304,1718,7545,0.17431,0.19177
2002,Urban regions,Very concerned,0.22346,3799,15138,0.21683,0.23010
2002,Urban regions,Somewhat concerned,0.38221,7059,15138,0.37447,0.38995
2002,Urban regions,Not concerned at all,0.21739,4280,15138,0.21082,0.22396
2002,Rural regions,Very concerned,0.26593,2349,7692,0.25605,0.27580
2002,Rural regions,Somewhat concerned,0.40274,3787,7692,0.39178,0.41370
2002,Rural regions,Not concerned at all,0.15440,1556,7692,0.14632,0.16247
2003,Urban regions,Very concerned,0.21192,3452,14608,0.20529,0.21855
2003,Urban regions,Somewhat concerned,0.37229,6630,14608,0.36445,0.38012
2003,Urban regions,Not concerned at all,0.23870,4526,14608,0.23179,0.24561
2003,Rural regions,Very concerned,0.24444,2062,7375,0.23463,0.25425
2003,Rural regions,Somewhat concerned,0.41224,3672,7375,0.40101,0.42348
2003,Rural regions,Not concerned at all,0.17179,1641,7375,0.16318,0.18040
2004,Urban regions,Very concerned,0.26688,4271,14225,0.25961,0.27415
2004,Urban regions,Somewhat concerned,0.36116,6371,14225,0.35327,0.36905
2004,Urban regions,Not concerned at all,0.19777,3583,14225,0.19122,0.20431
2004,Rural regions,Very concerned,0.29040,2386,7208,0.27992,0.30088
2004,Rural regions,Somewhat concerned,0.38502,3348,7208,0.37378,0.39625
2004,Rural regions,Not concerned at all,0.15777,1474,7208,0.14935,0.16619
2005,Urban regions,Very concerned,0.30883,4832,13643,0.30107,0.31658
2005,Urban regions,Somewhat concerned,0.35418,5939,13643,0.34616,0.36221
2005,Urban regions,Not concerned at all,0.16909,2872,13643,0.16280,0.17538
2005,Rural regions,Very concerned,0.36107,2817,6891,0.34972,0.37241
2005,Rural regions,Somewhat concerned,0.35179,2979,6891,0.34052,0.36307
2005,Rural regions,Not concerned at all,0.12375,1095,6891,0.11598,0.13153
2006,Urban regions,Very concerned,0.27075,4556,14316,0.26347,0.27803
2006,Urban regions,Somewhat concerned,0.35892,6287,14316,0.35106,0.36678
2006,Urban regions,Not concerned at all,0.19565,3473,14316,0.18915,0.20215
2006,Rural regions,Very concerned,0.30517,2634,7451,0.29472,0.31563
2006,Rural regions,Somewhat concerned,0.36687,3449,7451,0.35593,0.37782
2006,Rural regions,Not concerned at all,0.14642,1368,7451,0.13839,0.15444
2007,Urban regions,Very concerned,0.24194,3764,13321,0.23466,0.24921
2007,Urban regions,Somewhat concerned,0.35801,5844,13321,0.34987,0.36615
2007,Urban regions,Not concerned at all,0.22303,3713,13321,0.21596,0.23010
2007,Rural regions,Very concerned,0.26867,2200,7007,0.25829,0.27905
2007,Rural regions,Somewhat concerned,0.38366,3272,7007,0.37227,0.39505
2007,Rural regions,Not concerned at all,0.17880,1535,7007,0.16983,0.18778
2008,Urban regions,Very concerned,0.20890,3076,12597,0.20180,0.21600
2008,Urban regions,Somewhat concerned,0.36291,5478,12597,0.35451,0.37131
2008,Urban regions,Not concerned at all,0.25996,4043,12597,0.25230,0.26762
2008,Rural regions,Very concerned,0.24404,1829,6614,0.23369,0.25440
2008,Rural regions,Somewhat concerned,0.39078,3150,6614,0.37902,0.40254
2008,Rural regions,Not concerned at all,0.20283,1635,6614,0.19314,0.21252
2009,Urban regions,Very concerned,0.18103,2390,11614,0.17403,0.18804
2009,Urban regions,Somewhat concerned,0.34760,4815,11614,0.33894,0.35626
2009,Urban regions,Not concerned at all,0.30615,4409,11614,0.29777,0.31453
2009,Rural regions,Very concerned,0.19915,1443,6293,0.18928,0.20902
2009,Rural regions,Somewhat concerned,0.39270,2972,6293,0.38064,0.40477
2009,Rural regions,Not concerned at all,0.24771,1878,6293,0.23704,0.25838
2010,Urban regions,Very concerned,0.17734,3119,15509,0.17133,0.18335
2010,Urban regions,Somewhat concerned,0.34391,6171,15509,0.33643,0.35139
2010,Urban regions,Not concerned at all,0.31479,6219,15509,0.30748,0.32210
2010,Rural regions,Very concerned,0.21363,1977,8285,0.20481,0.22246
2010,Rural regions,Somewhat concerned,0.37087,3658,8285,0.36047,0.38127
2010,Rural regions,Not concerned at all,0.25652,2650,8285,0.24712,0.26593
2011,Urban regions,Very concerned,0.17086,2934,13213,0.16444,0.17728
2011,Urban regions,Somewhat concerned,0.31556,5492,13213,0.30763,0.32348
2011,Urban regions,Not concerned at all,0.26870,4787,13213,0.26114,0.27625
2011,Rural regions,Very concerned,0.20337,1847,7243,0.19410,0.21264
2011,Rural regions,Somewhat concerned,0.33736,3287,7243,0.32647,0.34825
2011,Rural regions,Not concerned at all,0.21308,2109,7243,0.20365,0.22251
2012,Urban regions,Very concerned,0.13981,2323,12964,0.13384,0.14578
2012,Urban regions,Somewhat concerned,0.29799,5027,12964,0.29012,0.30587
2012,Urban regions,Not concerned at all,0.32490,5614,12964,0.31684,0.33297
2012,Rural regions,Very concerned,0.15938,1438,7396,0.15104,0.16772
2012,Rural regions,Somewhat concerned,0.33964,3256,7396,0.32884,0.35043
2012,Rural regions,Not concerned at all,0.26915,2702,7396,0.25904,0.27926
2013,Urban regions,Very concerned,0.15451,2567,11975,0.14804,0.16099
2013,Urban regions,Somewhat concerned,0.27710,4741,11975,0.26908,0.28512
2013,Urban regions,Not concerned at all,0.26010,4667,11975,0.25224,0.26795
2013,Rural regions,Very concerned,0.16430,1452,6778,0.15548,0.17312
2013,Rural regions,Somewhat concerned,0.32124,2986,6778,0.31012,0.33236
2013,Rural regions,Not concerned at all,0.24891,2340,6778,0.23862,0.25921
2014,Urban regions,Very concerned,0.21446,4305,17515,0.20838,0.22054
2014,Urban regions,Somewhat concerned,0.33731,7196,17515,0.33031,0.34431
2014,Urban regions,Not concerned at all,0.28162,6014,17515,0.27496,0.28828
2014,Rural regions,Very concerned,0.22804,2474,9390,0.21956,0.23653
2014,Rural regions,Somewhat concerned,0.36999,4100,9390,0.36023,0.37976
2014,Rural regions,Not concerned at all,0.24823,2816,9390,0.23949,0.25697
2015,Urban regions,Very concerned,0.25261,4822,16064,0.24589,0.25933
2015,Urban regions,Somewhat concerned,0.33572,6745,16064,0.32842,0.34302
2015,Urban regions,Not concerned at all,0.22568,4497,16064,0.21922,0.23215
2015,Rural regions,Very concerned,0.29663,3050,8776,0.28707,0.30619
2015,Rural regions,Somewhat concerned,0.35306,3776,8776,0.34306,0.36306
2015,Rural regions,Not concerned at all,0.17506,1950,8776,0.16711,0.18301
2016,Urban regions,Very concerned,0.36124,6568,15574,0.35370,0.36878
2016,Urban regions,Somewhat concerned,0.33016,6282,15574,0.32278,0.33755
2016,Urban regions,Not concerned at all,0.13535,2724,15574,0.12998,0.14073
2016,Rural regions,Very concerned,0.42183,4149,8457,0.41130,0.43235
2016,Rural regions,Somewhat concerned,0.30522,3124,8457,0.29540,0.31503
2016,Rural regions,Not concerned at all,0.10886,1184,8457,0.10222,0.11550
2017,Urban regions,Very concerned,0.29633,5901,17051,0.28948,0.30319
2017,Urban regions,Somewhat concerned,0.35598,7427,17051,0.34879,0.36316
2017,Urban regions,Not concerned at all,0.17489,3723,17051,0.16919,0.18059
2017,Rural regions,Very concerned,0.35164,3880,9330,0.34195,0.36133
2017,Rural regions,Somewhat concerned,0.34707,3887,9330,0.33741,0.35673
2017,Rural regions,Not concerned at all,0.13210,1563,9330,0.12523,0.13898
2018,Urban regions,Very concerned,0.24045,4667,16599,0.23395,0.24695
2018,Urban regions,Somewhat concerned,0.36463,7188,16599,0.35730,0.37195
2018,Urban regions,Not concerned at all,0.22731,4744,16599,0.22093,0.23368
2018,Rural regions,Very concerned,0.29974,3068,8925,0.29023,0.30924
2018,Rural regions,Somewhat concerned,0.35715,3940,8925,0.34721,0.36709
2018,Rural regions,Not concerned at all,0.17795,1917,8925,0.17002,0.18589
2019,Urban regions,Very concerned,0.22443,4213,16275,0.21802,0.23084
2019,Urban regions,Somewhat concerned,0.36155,7040,16275,0.35416,0.36893
2019,Urban regions,Not concerned at all,0.23977,5022,16275,0.23321,0.24633
2019,Rural regions,Very concerned,0.27725,2874,8745,0.26787,0.28663
2019,Rural regions,Somewhat concerned,0.36137,3799,8745,0.35130,0.37144
2019,Rural regions,Not concerned at all,0.19020,2072,8745,0.18198,0.19843
2020,Urban regions,Very concerned,0.19524,3578,16904,0.18927,0.20122
2020,Urban regions,Somewhat concerned,0.33497,6706,16904,0.32785,0.34208
2020,Urban regions,Not concerned at all,0.29496,6620,16904,0.28809,0.30184
2020,Rural regions,Very concerned,0.25180,2464,8572,0.24261,0.26099
2020,Rural regions,Somewhat concerned,0.34781,3530,8572,0.33772,0.35789
2020,Rural regions,Not concerned at all,0.22201,2578,8572,0.21321,0.23081
2021,Urban regions,Very concerned,0.17322,2067,11327,0.16625,0.18019
2021,Urban regions,Somewhat concerned,0.30436,4206,11327,0.29588,0.31283
2021,Urban regions,Not concerned at all,0.33755,5054,11327,0.32884,0.34626
2021,Rural regions,Very concerned,0.23091,1475,5772,0.22004,0.24178
2021,Rural regions,Somewhat concerned,0.34408,2364,5772,0.33182,0.35633
2021,Rural regions,Not concerned at all,0.24956,1933,5772,0.23840,0.26073
