year,age_gr,sampreg,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,Yes,0.40412,1269,3434,0.38771,0.42054
1984,17-29 y.,West,No,0.59452,2165,3434,0.57810,0.61095
1984,30-45 y.,West,Yes,0.04144,133,3900,0.03518,0.04770
1984,30-45 y.,West,No,0.95643,3767,3900,0.95002,0.96284
1984,46-65 y.,West,No,0.98944,3526,3526,0.98606,0.99281
1984,66 and older,West,No,0.99701,1262,1262,0.99400,1.00003
1985,17-29 y.,West,Yes,0.42483,1224,3131,0.40752,0.44215
1985,17-29 y.,West,No,0.57326,1907,3131,0.55594,0.59059
1985,30-45 y.,West,Yes,0.04056,116,3469,0.03400,0.04713
1985,30-45 y.,West,No,0.95783,3353,3469,0.95114,0.96452
1985,46-65 y.,West,No,0.99381,3287,3287,0.99113,0.99649
1985,66 and older,West,No,0.99816,1105,1105,0.99564,1.00069
1986,17-29 y.,West,Yes,0.41199,1216,3055,0.39453,0.42944
1986,17-29 y.,West,No,0.58787,1839,3055,0.57041,0.60533
1986,30-45 y.,West,Yes,0.04667,125,3269,0.03944,0.05390
1986,30-45 y.,West,No,0.95333,3144,3269,0.94610,0.96056
1986,46-65 y.,West,No,0.99324,3210,3210,0.99040,0.99607
1986,66 and older,West,No,0.99700,1028,1028,0.99366,1.00035
1987,17-29 y.,West,Yes,0.38328,1188,3007,0.36590,0.40066
1987,17-29 y.,West,No,0.61542,1819,3007,0.59803,0.63281
1987,30-45 y.,West,Yes,0.04782,118,3167,0.04039,0.05525
1987,30-45 y.,West,No,0.95207,3049,3167,0.94462,0.95951
1987,46-65 y.,West,No,0.98985,3185,3185,0.98637,0.99333
1987,66 and older,West,No,0.99756,1066,1066,0.99459,1.00052
1988,17-29 y.,West,Yes,0.38877,1111,2871,0.37094,0.40661
1988,17-29 y.,West,No,0.61044,1760,2871,0.59260,0.62828
1988,30-45 y.,West,Yes,0.04309,105,2952,0.03576,0.05041
1988,30-45 y.,West,No,0.95691,2847,2952,0.94959,0.96424
1988,46-65 y.,West,No,0.99141,3091,3091,0.98816,0.99467
