year,pgisced97,regtyp,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,Urban regions,Yes,0.99739,150,150,0.98919,1.00558
1985,Primary Level,Urban regions,No,0.93476,705,705,0.91652,0.95300
1985,Primary Level,Rural regions,No,0.80526,97,97,0.72604,0.88448
1985,Lower Secondary Level,Urban regions,Yes,0.16102,391,2316,0.14605,0.17599
1985,Lower Secondary Level,Urban regions,No,0.83758,1925,2316,0.82256,0.85261
1985,Lower Secondary Level,Rural regions,Yes,0.16341,123,739,0.13673,0.19008
1985,Lower Secondary Level,Rural regions,No,0.83364,616,739,0.80677,0.86051
1985,Upper Secondary Level,Urban regions,Yes,0.08010,365,4037,0.07172,0.08847
1985,Upper Secondary Level,Urban regions,No,0.91890,3672,4037,0.91048,0.92732
1985,Upper Secondary Level,Rural regions,Yes,0.05747,71,1135,0.04392,0.07101
1985,Upper Secondary Level,Rural regions,No,0.93867,1064,1135,0.92471,0.95264
1985,Post-secondary Non-tertiary Level,Urban regions,Yes,0.22487,48,229,0.17068,0.27906
1985,Post-secondary Non-tertiary Level,Urban regions,No,0.76905,181,229,0.71435,0.82376
1985,Post-secondary Non-tertiary Level,Rural regions,No,0.81554,37,37,0.68884,0.94224
1985,First Stage of Tertiary Education,Urban regions,No,0.94125,453,453,0.91957,0.96293
1985,First Stage of Tertiary Education,Rural regions,No,0.93708,126,126,0.89451,0.97965
1985,Second Stage of Tertiary Education,Urban regions,Yes,0.08408,60,632,0.06243,0.10573
1985,Second Stage of Tertiary Education,Urban regions,No,0.91549,572,632,0.89378,0.93719
1985,Second Stage of Tertiary Education,Rural regions,No,0.97430,119,119,0.94574,1.00285
1986,Primary Level,Urban regions,Yes,0.08816,33,673,0.06673,0.10960
1986,Primary Level,Urban regions,No,0.91184,640,673,0.89040,0.93327
1986,Primary Level,Rural regions,No,0.79852,95,95,0.71744,0.87961
1986,Lower Secondary Level,Urban regions,Yes,0.15554,388,2205,0.14041,0.17068
1986,Lower Secondary Level,Urban regions,No,0.84386,1817,2205,0.82870,0.85901
1986,Lower Secondary Level,Rural regions,Yes,0.15604,122,701,0.12916,0.18293
1986,Lower Secondary Level,Rural regions,No,0.84280,579,701,0.81584,0.86977
1986,Upper Secondary Level,Urban regions,Yes,0.08319,353,3904,0.07453,0.09185
1986,Upper Secondary Level,Urban regions,No,0.91681,3551,3904,0.90815,0.92547
1986,Upper Secondary Level,Rural regions,Yes,0.07131,86,1089,0.05602,0.08661
1986,Upper Secondary Level,Rural regions,No,0.92869,1003,1089,0.91339,0.94398
1986,Post-secondary Non-tertiary Level,Urban regions,Yes,0.14205,34,228,0.09664,0.18746
1986,Post-secondary Non-tertiary Level,Urban regions,No,0.85795,194,228,0.81254,0.90336
1986,Post-secondary Non-tertiary Level,Rural regions,No,0.80903,38,38,0.68238,0.93568
1986,First Stage of Tertiary Education,Urban regions,No,0.94241,428,428,0.92032,0.96451
1986,First Stage of Tertiary Education,Rural regions,No,0.98115,121,121,0.95682,1.00548
1986,Second Stage of Tertiary Education,Urban regions,Yes,0.09698,68,624,0.07374,0.12022
1986,Second Stage of Tertiary Education,Urban regions,No,0.90302,556,624,0.87978,0.92626
1986,Second Stage of Tertiary Education,Rural regions,No,0.93159,117,117,0.88565,0.97753
1987,Pre-primary Level,Urban regions,Yes,0.99875,165,165,0.99333,1.00416
1987,Primary Level,Urban regions,No,0.93737,624,624,0.91834,0.95640
1987,Primary Level,Rural regions,No,0.82017,93,93,0.74170,0.89865
1987,Lower Secondary Level,Urban regions,Yes,0.13489,392,2165,0.12050,0.14928
1987,Lower Secondary Level,Urban regions,No,0.86511,1773,2165,0.85072,0.87950
1987,Lower Secondary Level,Rural regions,Yes,0.12620,109,671,0.10106,0.15135
1987,Lower Secondary Level,Rural regions,No,0.87364,562,671,0.84848,0.89880
1987,Upper Secondary Level,Urban regions,Yes,0.07838,329,3861,0.06990,0.08686
1987,Upper Secondary Level,Urban regions,No,0.92121,3532,3861,0.91271,0.92971
1987,Upper Secondary Level,Rural regions,Yes,0.06622,83,1107,0.05157,0.08088
1987,Upper Secondary Level,Rural regions,No,0.93378,1024,1107,0.91912,0.94843
1987,Post-secondary Non-tertiary Level,Urban regions,Yes,0.21140,43,233,0.15886,0.26394
1987,Post-secondary Non-tertiary Level,Urban regions,No,0.78860,190,233,0.73606,0.84114
1987,Post-secondary Non-tertiary Level,Rural regions,No,0.82149,34,34,0.69083,0.95214
1987,First Stage of Tertiary Education,Urban regions,No,0.94001,416,416,0.91716,0.96286
1987,First Stage of Tertiary Education,Rural regions,No,0.97593,116,116,0.94792,1.00394
1987,Second Stage of Tertiary Education,Urban regions,Yes,0.10658,65,618,0.08223,0.13093
1987,Second Stage of Tertiary Education,Urban regions,No,0.89342,553,618,0.86907,0.91777
1987,Second Stage of Tertiary Education,Rural regions,No,0.95195,118,118,0.91319,0.99070
