year,age_gr,regtyp,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No answer / don't know,Yes,0.40467,1269,3434,0.38825,0.42109
1984,17-29 y.,No answer / don't know,No,0.59533,2165,3434,0.57891,0.61175
1984,30-45 y.,No answer / don't know,Yes,0.04153,133,3900,0.03527,0.04779
1984,30-45 y.,No answer / don't know,No,0.95847,3767,3900,0.95221,0.96473
1984,46-65 y.,No answer / don't know,No,0.99056,3526,3526,0.98737,0.99375
1984,66 and older,No answer / don't know,No,0.99891,1262,1262,0.99708,1.00073
1985,17-29 y.,Urban regions,Yes,0.42648,981,2492,0.40706,0.44590
1985,17-29 y.,Urban regions,No,0.57352,1511,2492,0.55410,0.59294
1985,17-29 y.,Rural regions,Yes,0.42295,243,639,0.38462,0.46129
1985,17-29 y.,Rural regions,No,0.57705,396,639,0.53871,0.61538
1985,30-45 y.,Urban regions,Yes,0.04280,96,2746,0.03523,0.05038
1985,30-45 y.,Urban regions,No,0.95720,2650,2746,0.94962,0.96477
1985,30-45 y.,Rural regions,No,0.96640,703,703,0.95307,0.97973
1985,46-65 y.,Urban regions,No,0.99442,2602,2602,0.99156,0.99728
1985,46-65 y.,Rural regions,No,0.99925,685,685,0.99720,1.00130
1985,66 and older,Urban regions,No,0.99855,818,818,0.99595,1.00116
1986,17-29 y.,Urban regions,Yes,0.42000,977,2423,0.40035,0.43966
1986,17-29 y.,Urban regions,No,0.58000,1446,2423,0.56034,0.59965
1986,17-29 y.,Rural regions,Yes,0.38722,239,632,0.34921,0.42523
1986,17-29 y.,Rural regions,No,0.61278,393,632,0.57477,0.65079
1986,30-45 y.,Urban regions,Yes,0.04752,101,2597,0.03934,0.05571
1986,30-45 y.,Urban regions,No,0.95248,2496,2597,0.94429,0.96066
1986,30-45 y.,Rural regions,No,0.95617,648,648,0.94040,0.97195
1986,46-65 y.,Urban regions,No,0.99209,2550,2550,0.98865,0.99553
1986,46-65 y.,Rural regions,No,0.99700,660,660,0.99282,1.00117
1986,66 and older,Urban regions,No,0.99822,765,765,0.99523,1.00121
1986,66 and older,Rural regions,No,0.99508,263,263,0.98660,1.00355
1987,17-29 y.,Urban regions,Yes,0.39271,957,2370,0.37304,0.41237
1987,17-29 y.,Urban regions,No,0.60729,1413,2370,0.58763,0.62696
1987,17-29 y.,Rural regions,Yes,0.35537,231,637,0.31818,0.39257
1987,17-29 y.,Rural regions,No,0.64463,406,637,0.60743,0.68182
1987,30-45 y.,Urban regions,Yes,0.05297,101,2518,0.04422,0.06172
1987,30-45 y.,Urban regions,No,0.94703,2417,2518,0.93828,0.95578
1987,30-45 y.,Rural regions,No,0.96931,632,632,0.95585,0.98277
1987,46-65 y.,Urban regions,No,0.98741,2533,2533,0.98306,0.99175
1987,46-65 y.,Rural regions,No,0.99796,652,652,0.99449,1.00143
1987,66 and older,Urban regions,No,0.99672,798,798,0.99275,1.00069
1988,17-29 y.,Urban regions,Yes,0.39165,893,2300,0.37170,0.41160
1988,17-29 y.,Urban regions,No,0.60835,1407,2300,0.58840,0.62830
1988,17-29 y.,Rural regions,Yes,0.38043,218,571,0.34057,0.42028
1988,17-29 y.,Rural regions,No,0.61957,353,571,0.57972,0.65943
1988,30-45 y.,Urban regions,Yes,0.04451,84,2334,0.03614,0.05287
1988,30-45 y.,Urban regions,No,0.95549,2250,2334,0.94713,0.96386
1988,30-45 y.,Rural regions,No,0.96163,597,597,0.94620,0.97705
1988,46-65 y.,Urban regions,No,0.99055,2470,2470,0.98673,0.99436
1988,46-65 y.,Rural regions,No,0.99428,621,621,0.98834,1.00021
1989,17-29 y.,Urban regions,Yes,0.40612,842,2268,0.38591,0.42634
1989,17-29 y.,Urban regions,No,0.59388,1426,2268,0.57366,0.61409
1989,17-29 y.,Rural regions,Yes,0.34698,190,558,0.30744,0.38651
1989,17-29 y.,Rural regions,No,0.65302,368,558,0.61349,0.69256
1989,30-45 y.,Urban regions,Yes,0.04840,85,2271,0.03957,0.05722
1989,30-45 y.,Urban regions,No,0.95160,2186,2271,0.94278,0.96043
1989,30-45 y.,Rural regions,No,0.95981,552,552,0.94341,0.97621
1989,46-65 y.,Urban regions,No,0.99169,2381,2381,0.98804,0.99534
1989,46-65 y.,Rural regions,No,0.99785,584,584,0.99408,1.00161
1989,66 and older,Urban regions,No,0.99672,761,761,0.99266,1.00079
1990,17-29 y.,Urban regions,Yes,0.38255,880,2518,0.36357,0.40154
1990,17-29 y.,Urban regions,No,0.61745,1638,2518,0.59846,0.63643
1990,17-29 y.,Rural regions,Yes,0.31181,402,1315,0.28676,0.33686
1990,17-29 y.,Rural regions,No,0.68819,913,1315,0.66314,0.71324
1990,30-45 y.,No answer / don't know,No,0.88511,33,33,0.77462,0.99560
1990,30-45 y.,Urban regions,Yes,0.05240,134,2740,0.04406,0.06075
1990,30-45 y.,Urban regions,No,0.94760,2606,2740,0.93925,0.95594
1990,30-45 y.,Rural regions,Yes,0.04137,67,1529,0.03138,0.05135
1990,30-45 y.,Rural regions,No,0.95863,1462,1529,0.94865,0.96862
1990,46-65 y.,Urban regions,Yes,0.01766,41,2790,0.01277,0.02255
1990,46-65 y.,Urban regions,No,0.98234,2749,2790,0.97745,0.98723
1990,46-65 y.,Rural regions,No,0.98638,1422,1422,0.98035,0.99241
1990,66 and older,Urban regions,No,0.99921,916,916,0.99740,1.00103
1991,17-29 y.,Urban regions,Yes,0.38310,873,2419,0.36372,0.40247
1991,17-29 y.,Urban regions,No,0.61690,1546,2419,0.59753,0.63628
1991,17-29 y.,Rural regions,Yes,0.32410,398,1251,0.29815,0.35004
1991,17-29 y.,Rural regions,No,0.67590,853,1251,0.64996,0.70185
1991,30-45 y.,No answer / don't know,No,0.95948,38,38,0.89595,1.02301
1991,30-45 y.,Urban regions,Yes,0.06886,166,2744,0.05939,0.07834
1991,30-45 y.,Urban regions,No,0.93114,2578,2744,0.92166,0.94061
1991,30-45 y.,Rural regions,Yes,0.06272,108,1530,0.05056,0.07487
1991,30-45 y.,Rural regions,No,0.93728,1422,1530,0.92513,0.94944
1991,46-65 y.,Urban regions,Yes,0.01490,45,2693,0.01032,0.01947
1991,46-65 y.,Urban regions,No,0.98510,2648,2693,0.98053,0.98968
1991,46-65 y.,Rural regions,No,0.98805,1398,1398,0.98236,0.99375
1991,66 and older,Urban regions,No,0.99838,916,916,0.99577,1.00099
1992,17-29 y.,Urban regions,Yes,0.38805,855,2357,0.36837,0.40773
1992,17-29 y.,Urban regions,No,0.61195,1502,2357,0.59227,0.63163
1992,17-29 y.,Rural regions,Yes,0.35453,424,1179,0.32721,0.38184
1992,17-29 y.,Rural regions,No,0.64547,755,1179,0.61816,0.67279
