year,bula_h,migback,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No migration background,Yes,0.10704,39,341,0.07418,0.13991
1984,Schleswig-Holstein,No migration background,No,0.89296,302,341,0.86009,0.92582
1984,Schleswig-Holstein,Direct migration background,No,0.84093,38,38,0.72307,0.95878
1984,Hamburg,No migration background,No,0.87892,191,191,0.83253,0.92531
1984,Hamburg,Direct migration background,No,0.88831,83,83,0.82014,0.95649
1984,Lower Saxony,No migration background,Yes,0.13699,154,1024,0.11592,0.15806
1984,Lower Saxony,No migration background,No,0.86301,870,1024,0.84194,0.88408
1984,Lower Saxony,Direct migration background,No,0.91982,181,181,0.88014,0.95949
1984,Bremen,No migration background,No,0.95125,92,92,0.90701,0.99550
1984,North Rhine-Westphalia,No migration background,Yes,0.12725,307,2263,0.11351,0.14098
1984,North Rhine-Westphalia,No migration background,No,0.87275,1956,2263,0.85902,0.88649
1984,North Rhine-Westphalia,Direct migration background,Yes,0.09038,94,947,0.07211,0.10865
1984,North Rhine-Westphalia,Direct migration background,No,0.90962,853,947,0.89135,0.92789
1984,Hesse,No migration background,Yes,0.13292,113,765,0.10884,0.15699
1984,Hesse,No migration background,No,0.86708,652,765,0.84301,0.89116
1984,Hesse,Direct migration background,Yes,0.06328,34,470,0.04124,0.08531
1984,Hesse,Direct migration background,No,0.93672,436,470,0.91469,0.95876
1984,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.10560,76,695,0.08273,0.12846
1984,"Rhineland-Palatinate, Saarland",No migration background,No,0.89440,619,695,0.87154,0.91727
1984,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.87472,134,134,0.81846,0.93098
1984,Baden-Wuerttemberg,No migration background,Yes,0.11159,158,1347,0.09477,0.12841
1984,Baden-Wuerttemberg,No migration background,No,0.88841,1189,1347,0.87159,0.90523
1984,Baden-Wuerttemberg,Direct migration background,Yes,0.06312,56,876,0.04700,0.07923
1984,Baden-Wuerttemberg,Direct migration background,No,0.93688,820,876,0.92077,0.95300
1984,Bavaria,No migration background,Yes,0.10138,181,1615,0.08665,0.11610
1984,Bavaria,No migration background,No,0.89862,1434,1615,0.88390,0.91335
1984,Bavaria,Direct migration background,Yes,0.08578,34,446,0.05976,0.11180
1984,Bavaria,Direct migration background,No,0.91422,412,446,0.88820,0.94024
1984,Berlin,No migration background,Yes,0.10956,40,290,0.07355,0.14557
1984,Berlin,No migration background,No,0.89044,250,290,0.85443,0.92645
1984,Berlin,Direct migration background,No,0.94495,109,109,0.90194,0.98797
1985,Schleswig-Holstein,No migration background,Yes,0.11097,36,312,0.07606,0.14588
1985,Schleswig-Holstein,No migration background,No,0.88903,276,312,0.85412,0.92394
1985,Schleswig-Holstein,Direct migration background,No,0.93352,37,37,0.85215,1.01490
1985,Hamburg,No migration background,No,0.88301,181,181,0.83606,0.92996
1985,Hamburg,Direct migration background,No,0.93094,64,64,0.86832,0.99355
1985,Lower Saxony,No migration background,Yes,0.15098,153,945,0.12814,0.17382
1985,Lower Saxony,No migration background,No,0.84902,792,945,0.82618,0.87186
1985,Lower Saxony,Direct migration background,No,0.93572,144,144,0.89552,0.97591
1985,Bremen,No migration background,No,0.92033,82,82,0.86136,0.97930
1985,North Rhine-Westphalia,No migration background,Yes,0.13638,305,2117,0.12175,0.15100
1985,North Rhine-Westphalia,No migration background,No,0.86362,1812,2117,0.84900,0.87825
1985,North Rhine-Westphalia,Direct migration background,Yes,0.09735,81,799,0.07678,0.11791
1985,North Rhine-Westphalia,Direct migration background,No,0.90265,718,799,0.88209,0.92322
1985,Hesse,No migration background,Yes,0.12389,97,701,0.09948,0.14830
1985,Hesse,No migration background,No,0.87611,604,701,0.85170,0.90052
1985,Hesse,Direct migration background,Yes,0.07070,31,415,0.04601,0.09540
1985,Hesse,Direct migration background,No,0.92930,384,415,0.90460,0.95399
1985,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.09777,66,634,0.07463,0.12091
1985,"Rhineland-Palatinate, Saarland",No migration background,No,0.90223,568,634,0.87909,0.92537
1985,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.88592,116,116,0.82781,0.94402
1985,Baden-Wuerttemberg,No migration background,Yes,0.11968,152,1219,0.10145,0.13791
1985,Baden-Wuerttemberg,No migration background,No,0.88032,1067,1219,0.86209,0.89855
1985,Baden-Wuerttemberg,Direct migration background,Yes,0.07771,55,784,0.05896,0.09646
1985,Baden-Wuerttemberg,Direct migration background,No,0.92229,729,784,0.90354,0.94104
1985,Bavaria,No migration background,Yes,0.10757,173,1481,0.09179,0.12336
1985,Bavaria,No migration background,No,0.89243,1308,1481,0.87664,0.90821
1985,Bavaria,Direct migration background,No,0.91252,356,356,0.88313,0.94192
1985,Berlin,No migration background,No,0.91573,231,231,0.87982,0.95163
1985,Berlin,Direct migration background,No,0.90951,92,92,0.85056,0.96845
1986,Schleswig-Holstein,No migration background,Yes,0.10704,32,284,0.07102,0.14306
1986,Schleswig-Holstein,No migration background,No,0.89296,252,284,0.85694,0.92898
1986,Schleswig-Holstein,Direct migration background,No,0.96436,36,36,0.90294,1.02578
1986,Hamburg,No migration background,No,0.89435,162,162,0.84687,0.94183
1986,Hamburg,Direct migration background,No,0.88689,63,63,0.80804,0.96573
1986,Lower Saxony,No migration background,Yes,0.14148,143,926,0.11902,0.16394
1986,Lower Saxony,No migration background,No,0.85852,783,926,0.83606,0.88098
1986,Lower Saxony,Direct migration background,No,0.91626,154,154,0.87236,0.96015
1986,Bremen,No migration background,No,0.94366,80,80,0.89281,0.99451
1986,North Rhine-Westphalia,No migration background,Yes,0.13792,312,2039,0.12295,0.15290
1986,North Rhine-Westphalia,No migration background,No,0.86208,1727,2039,0.84710,0.87705
1986,North Rhine-Westphalia,Direct migration background,Yes,0.09082,82,773,0.07055,0.11109
1986,North Rhine-Westphalia,Direct migration background,No,0.90918,691,773,0.88891,0.92945
