year,sex,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Yes,0.13832,827,5948,0.12954,0.14709
1984,male,No,0.86168,5121,5948,0.85291,0.87046
1984,female,Yes,0.09438,603,6202,0.08711,0.10166
1984,female,No,0.90562,5599,6202,0.89834,0.91289
1985,male,Yes,0.14486,792,5406,0.13548,0.15425
1985,male,No,0.85514,4614,5406,0.84575,0.86452
1985,female,Yes,0.09763,561,5599,0.08985,0.10540
1985,female,No,0.90237,5038,5599,0.89460,0.91015
1986,male,Yes,0.14418,781,5231,0.13466,0.15370
1986,male,No,0.85582,4450,5231,0.84630,0.86534
1986,female,Yes,0.09505,580,5351,0.08720,0.10291
1986,female,No,0.90495,4771,5351,0.89709,0.91280
1987,male,Yes,0.13319,775,5171,0.12393,0.14245
1987,male,No,0.86681,4396,5171,0.85755,0.87607
1987,female,Yes,0.08830,556,5279,0.08065,0.09596
1987,female,No,0.91170,4723,5279,0.90404,0.91935
1988,male,Yes,0.13331,718,4930,0.12382,0.14280
1988,male,No,0.86669,4212,4930,0.85720,0.87618
1988,female,Yes,0.08393,518,5040,0.07628,0.09159
1988,female,No,0.91607,4522,5040,0.90841,0.92372
1989,male,Yes,0.14088,673,4761,0.13099,0.15076
1989,male,No,0.85912,4088,4761,0.84924,0.86901
1989,female,Yes,0.08150,483,4900,0.07384,0.08916
1989,female,No,0.91850,4417,4900,0.91084,0.92616
1990,male,Yes,0.12736,867,6768,0.11941,0.13530
1990,male,No,0.87264,5901,6768,0.86470,0.88059
1990,female,Yes,0.08356,694,7115,0.07713,0.08999
1990,female,No,0.91644,6421,7115,0.91001,0.92287
1991,male,Yes,0.12683,891,6631,0.11882,0.13484
1991,male,No,0.87317,5740,6631,0.86516,0.88118
1991,female,Yes,0.08777,734,6954,0.08112,0.09442
1991,female,No,0.91223,6220,6954,0.90558,0.91888
1992,male,Yes,0.12201,865,6463,0.11403,0.12999
1992,male,No,0.87799,5598,6463,0.87001,0.88597
1992,female,Yes,0.09298,789,6851,0.08611,0.09986
1992,female,No,0.90702,6062,6851,0.90014,0.91389
1993,male,Yes,0.12168,839,6365,0.11364,0.12971
1993,male,No,0.87832,5526,6365,0.87029,0.88636
1993,female,Yes,0.08800,746,6736,0.08123,0.09476
1993,female,No,0.91200,5990,6736,0.90524,0.91877
1994,male,Yes,0.11321,762,6215,0.10533,0.12109
1994,male,No,0.88679,5453,6215,0.87891,0.89467
1994,female,Yes,0.08269,704,6658,0.07607,0.08931
1994,female,No,0.91731,5954,6658,0.91069,0.92393
1995,male,Yes,0.11688,836,6409,0.10902,0.12475
1995,male,No,0.88312,5573,6409,0.87525,0.89098
1995,female,Yes,0.08768,767,6874,0.08099,0.09436
1995,female,No,0.91232,6107,6874,0.90564,0.91901
1996,male,Yes,0.10575,764,6292,0.09815,0.11334
1996,male,No,0.89425,5528,6292,0.88666,0.90185
1996,female,Yes,0.08945,742,6752,0.08265,0.09626
1996,female,No,0.91055,6010,6752,0.90374,0.91735
1997,male,Yes,0.10780,774,6207,0.10008,0.11551
1997,male,No,0.89220,5433,6207,0.88449,0.89992
1997,female,Yes,0.09222,734,6620,0.08525,0.09919
1997,female,No,0.90778,5886,6620,0.90081,0.91475
1998,male,Yes,0.10861,824,6888,0.10126,0.11596
1998,male,No,0.89139,6064,6888,0.88404,0.89874
1998,female,Yes,0.08563,748,7350,0.07923,0.09203
1998,female,No,0.91437,6602,7350,0.90797,0.92077
1999,male,Yes,0.11184,801,6609,0.10424,0.11944
1999,male,No,0.88816,5808,6609,0.88056,0.89576
1999,female,Yes,0.08765,761,7065,0.08106,0.09425
1999,female,No,0.91235,6304,7065,0.90575,0.91894
2000,male,Yes,0.10270,1297,11583,0.09717,0.10823
2000,male,No,0.89730,10286,11583,0.89177,0.90283
2000,female,Yes,0.08698,1290,12524,0.08205,0.09192
2000,female,No,0.91302,11234,12524,0.90808,0.91795
2001,male,Yes,0.10258,1174,10525,0.09678,0.10837
2001,male,No,0.89742,9351,10525,0.89163,0.90322
2001,female,Yes,0.09553,1270,11396,0.09013,0.10092
2001,female,No,0.90447,10126,11396,0.89908,0.90987
2002,male,Yes,0.10764,1295,11127,0.10188,0.11340
2002,male,No,0.89236,9832,11127,0.88660,0.89812
2002,female,Yes,0.09335,1333,11899,0.08812,0.09858
2002,female,No,0.90665,10566,11899,0.90142,0.91188
2003,male,Yes,0.10876,1248,10676,0.10285,0.11466
2003,male,No,0.89124,9428,10676,0.88534,0.89715
2003,female,Yes,0.08940,1263,11489,0.08418,0.09462
2003,female,No,0.91060,10226,11489,0.90538,0.91582
2004,male,Yes,0.10809,1239,10380,0.10211,0.11406
2004,male,No,0.89191,9141,10380,0.88594,0.89789
2004,female,Yes,0.09311,1272,11232,0.08773,0.09848
2004,female,No,0.90689,9960,11232,0.90152,0.91227
2005,male,Yes,0.11327,1174,9899,0.10703,0.11952
2005,male,No,0.88673,8725,9899,0.88048,0.89297
2005,female,Yes,0.09962,1225,10798,0.09397,0.10527
2005,female,No,0.90038,9573,10798,0.89473,0.90603
2006,male,Yes,0.09609,998,10471,0.09045,0.10174
2006,male,No,0.90391,9473,10471,0.89826,0.90955
2006,female,Yes,0.08344,1069,11496,0.07838,0.08850
2006,female,No,0.91656,10427,11496,0.91150,0.92162
2007,male,Yes,0.09452,947,9773,0.08872,0.10032
2007,male,No,0.90548,8826,9773,0.89968,0.91128
2007,female,Yes,0.08614,1031,10736,0.08083,0.09145
2007,female,No,0.91386,9705,10736,0.90855,0.91917
2008,male,Yes,0.09595,889,9205,0.08994,0.10197
2008,male,No,0.90405,8316,9205,0.89803,0.91006
2008,female,Yes,0.08712,979,10111,0.08162,0.09262
2008,female,No,0.91288,9132,10111,0.90738,0.91838
2009,male,Yes,0.10139,853,8598,0.09501,0.10777
2009,male,No,0.89861,7745,8598,0.89223,0.90499
2009,female,Yes,0.09095,863,9420,0.08514,0.09675
2009,female,No,0.90905,8557,9420,0.90325,0.91486
2010,male,Yes,0.10967,1075,10909,0.10380,0.11553
2010,male,No,0.89033,9834,10909,0.88447,0.89620
2010,female,Yes,0.09633,1151,13058,0.09126,0.10139
2010,female,No,0.90367,11907,13058,0.89861,0.90874
2011,male,Yes,0.09745,1192,12850,0.09233,0.10258
2011,male,No,0.90255,11658,12850,0.89742,0.90767
2011,female,Yes,0.09170,1386,15522,0.08716,0.09624
2011,female,No,0.90830,14136,15522,0.90376,0.91284
2012,male,Yes,0.09789,1186,12553,0.09269,0.10308
2012,male,No,0.90211,11367,12553,0.89692,0.90731
2012,female,Yes,0.08885,1348,15081,0.08431,0.09339
2012,female,No,0.91115,13733,15081,0.90661,0.91569
2013,male,Yes,0.10383,1498,13982,0.09877,0.10888
2013,male,No,0.89617,12484,13982,0.89112,0.90123
2013,female,Yes,0.08973,1662,16639,0.08539,0.09408
2013,female,No,0.91027,14977,16639,0.90592,0.91461
2014,male,Yes,0.10509,1299,12432,0.09970,0.11048
2014,male,No,0.89491,11133,12432,0.88952,0.90030
2014,female,Yes,0.09520,1529,14648,0.09045,0.09996
2014,female,No,0.90480,13119,14648,0.90004,0.90955
2015,male,Yes,0.09914,1259,12310,0.09386,0.10442
2015,male,No,0.90086,11051,12310,0.89558,0.90614
2015,female,Yes,0.09334,1478,14476,0.08860,0.09807
2015,female,No,0.90666,12998,14476,0.90193,0.91140
2016,male,Yes,0.10360,1258,12868,0.09833,0.10886
2016,male,No,0.89640,11610,12868,0.89114,0.90167
2016,female,Yes,0.09185,1325,14388,0.08713,0.09657
2016,female,No,0.90815,13063,14388,0.90343,0.91287
2017,male,Yes,0.10716,1575,14520,0.10213,0.11219
2017,male,No,0.89284,12945,14520,0.88781,0.89787
2017,female,Yes,0.09153,1537,15995,0.08706,0.09599
2017,female,No,0.90847,14458,15995,0.90401,0.91294
2018,male,Yes,0.09871,1536,13875,0.09374,0.10367
2018,male,No,0.90129,12339,13875,0.89633,0.90626
2018,female,Yes,0.08634,1470,15331,0.08189,0.09078
2018,female,No,0.91366,13861,15331,0.90922,0.91811
2019,male,Yes,0.09663,1419,14241,0.09178,0.10148
2019,male,No,0.90337,12822,14241,0.89852,0.90822
2019,female,Yes,0.08581,1376,14827,0.08130,0.09031
2019,female,No,0.91419,13451,14827,0.90969,0.91870
2020,male,Yes,0.09959,1502,14609,0.09473,0.10444
2020,male,No,0.90041,13107,14609,0.89556,0.90527
2020,female,Yes,0.08579,1464,14786,0.08128,0.09031
2020,female,No,0.91421,13322,14786,0.90969,0.91872
2021,male,Yes,0.09504,1040,9453,0.08913,0.10095
2021,male,No,0.90496,8413,9453,0.89905,0.91087
2021,female,Yes,0.09159,1011,10049,0.08595,0.09723
2021,female,No,0.90841,9038,10049,0.90277,0.91405
2022,male,Yes,0.10565,1644,13566,0.10048,0.11083
2022,male,No,0.89435,11922,13566,0.88917,0.89952
2022,female,Yes,0.09172,1729,14246,0.08698,0.09646
2022,female,No,0.90828,12517,14246,0.90354,0.91302
