year,pgisced97,sex,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,male,Yes,0.96586,95,95,0.92915,1.00257
1984,Pre-primary Level,female,Yes,0.96278,92,92,0.92389,1.00168
1984,Primary Level,male,No,0.87047,390,390,0.83711,0.90384
1984,Primary Level,female,No,0.94033,569,569,0.92085,0.95981
1984,Lower Secondary Level,male,Yes,0.29569,302,1142,0.26921,0.32217
1984,Lower Secondary Level,male,No,0.70258,840,1142,0.67605,0.72910
1984,Lower Secondary Level,female,Yes,0.09866,244,2303,0.08648,0.11085
1984,Lower Secondary Level,female,No,0.89978,2059,2303,0.88752,0.91205
1984,Upper Secondary Level,male,Yes,0.08882,297,3156,0.07890,0.09875
1984,Upper Secondary Level,male,No,0.91008,2859,3156,0.90010,0.92006
1984,Upper Secondary Level,female,Yes,0.06460,183,2542,0.05504,0.07416
1984,Upper Secondary Level,female,No,0.93323,2359,2542,0.92352,0.94293
1984,Post-secondary Non-tertiary Level,male,Yes,0.22402,35,193,0.16504,0.28299
1984,Post-secondary Non-tertiary Level,male,No,0.77598,158,193,0.71701,0.83496
1984,Post-secondary Non-tertiary Level,female,No,0.85032,96,96,0.77858,0.92206
1984,First Stage of Tertiary Education,male,No,0.95543,365,365,0.93423,0.97663
1984,First Stage of Tertiary Education,female,No,0.94966,261,261,0.92308,0.97624
1984,Second Stage of Tertiary Education,male,Yes,0.08922,56,535,0.06505,0.11340
1984,Second Stage of Tertiary Education,male,No,0.91078,479,535,0.88660,0.93495
1984,Second Stage of Tertiary Education,female,No,0.88578,224,224,0.84403,0.92753
1985,Pre-primary Level,male,Yes,0.99667,112,112,0.98596,1.00739
1985,Primary Level,male,No,0.84510,325,325,0.80571,0.88450
1985,Primary Level,female,No,0.95942,477,477,0.94170,0.97715
1985,Lower Secondary Level,male,Yes,0.31832,286,1024,0.28977,0.34686
1985,Lower Secondary Level,male,No,0.67940,738,1024,0.65080,0.70800
1985,Lower Secondary Level,female,Yes,0.10660,228,2031,0.09317,0.12002
1985,Lower Secondary Level,female,No,0.89172,1803,2031,0.87820,0.90524
1985,Upper Secondary Level,male,Yes,0.08402,265,2837,0.07381,0.09423
1985,Upper Secondary Level,male,No,0.91439,2572,2837,0.90409,0.92469
1985,Upper Secondary Level,female,Yes,0.06414,171,2335,0.05420,0.07408
1985,Upper Secondary Level,female,No,0.93407,2164,2335,0.92401,0.94414
1985,Post-secondary Non-tertiary Level,male,Yes,0.22451,33,170,0.16160,0.28742
1985,Post-secondary Non-tertiary Level,male,No,0.77549,137,170,0.71258,0.83840
1985,Post-secondary Non-tertiary Level,female,No,0.77970,81,81,0.68888,0.87052
1985,First Stage of Tertiary Education,male,No,0.94393,336,336,0.91930,0.96857
1985,First Stage of Tertiary Education,female,No,0.93530,243,243,0.90431,0.96629
1985,Second Stage of Tertiary Education,male,Yes,0.06750,38,508,0.04566,0.08933
1985,Second Stage of Tertiary Education,male,No,0.93197,470,508,0.91005,0.95389
1985,Second Stage of Tertiary Education,female,No,0.91370,221,221,0.87660,0.95081
1986,Primary Level,male,No,0.84183,297,297,0.80026,0.88340
1986,Primary Level,female,No,0.92254,438,438,0.89747,0.94760
1986,Lower Secondary Level,male,Yes,0.31725,278,1008,0.28850,0.34599
1986,Lower Secondary Level,male,No,0.68245,730,1008,0.65370,0.71120
1986,Lower Secondary Level,female,Yes,0.09660,232,1898,0.08330,0.10989
1986,Lower Secondary Level,female,No,0.90249,1666,1898,0.88914,0.91584
1986,Upper Secondary Level,male,Yes,0.08612,255,2733,0.07560,0.09664
1986,Upper Secondary Level,male,No,0.91388,2478,2733,0.90336,0.92440
1986,Upper Secondary Level,female,Yes,0.07392,184,2260,0.06313,0.08471
1986,Upper Secondary Level,female,No,0.92608,2076,2260,0.91529,0.93687
1986,Post-secondary Non-tertiary Level,male,No,0.83059,139,139,0.76801,0.89318
1986,Post-secondary Non-tertiary Level,female,No,0.87356,93,93,0.80565,0.94147
1986,First Stage of Tertiary Education,male,No,0.95183,314,314,0.92811,0.97555
1986,First Stage of Tertiary Education,female,No,0.95030,235,235,0.92245,0.97814
1986,Second Stage of Tertiary Education,male,Yes,0.09321,49,505,0.06783,0.11860
1986,Second Stage of Tertiary Education,male,No,0.90679,456,505,0.88140,0.93217
1986,Second Stage of Tertiary Education,female,No,0.91099,217,217,0.87301,0.94896
1987,Pre-primary Level,female,Yes,0.99784,90,90,0.98819,1.00749
1987,Primary Level,male,No,0.90076,292,292,0.86641,0.93511
1987,Primary Level,female,No,0.92313,425,425,0.89778,0.94849
1987,Lower Secondary Level,male,Yes,0.28249,288,999,0.25456,0.31042
1987,Lower Secondary Level,male,No,0.71735,711,999,0.68941,0.74529
1987,Lower Secondary Level,female,Yes,0.07889,213,1837,0.06656,0.09122
1987,Lower Secondary Level,female,No,0.92111,1624,1837,0.90878,0.93344
1987,Upper Secondary Level,male,Yes,0.08584,258,2728,0.07532,0.09635
1987,Upper Secondary Level,male,No,0.91406,2470,2728,0.90354,0.92458
1987,Upper Secondary Level,female,Yes,0.06371,154,2240,0.05359,0.07383
1987,Upper Secondary Level,female,No,0.93574,2086,2240,0.92559,0.94590
1987,Post-secondary Non-tertiary Level,male,No,0.78383,129,129,0.71252,0.85514
1987,Post-secondary Non-tertiary Level,female,No,0.80732,95,95,0.72759,0.88705
1987,First Stage of Tertiary Education,male,No,0.94893,302,302,0.92406,0.97380
1987,First Stage of Tertiary Education,female,No,0.94645,230,230,0.91730,0.97561
1987,Second Stage of Tertiary Education,male,Yes,0.08543,41,494,0.06075,0.11010
1987,Second Stage of Tertiary Education,male,No,0.91457,453,494,0.88990,0.93925
1987,Second Stage of Tertiary Education,female,No,0.88347,218,218,0.84078,0.92616
1988,Pre-primary Level,male,Yes,0.98366,90,90,0.95733,1.01000
1988,Primary Level,male,No,0.89087,259,259,0.85282,0.92892
1988,Primary Level,female,No,0.94329,404,404,0.92071,0.96587
1988,Lower Secondary Level,male,Yes,0.27353,266,974,0.24552,0.30154
1988,Lower Secondary Level,male,No,0.72647,708,974,0.69846,0.75448
1988,Lower Secondary Level,female,Yes,0.08367,214,1745,0.07068,0.09667
1988,Lower Secondary Level,female,No,0.91633,1531,1745,0.90333,0.92932
1988,Upper Secondary Level,male,Yes,0.09309,255,2585,0.08188,0.10429
1988,Upper Secondary Level,male,No,0.90691,2330,2585,0.89571,0.91812
1988,Upper Secondary Level,female,Yes,0.06011,149,2158,0.05007,0.07014
1988,Upper Secondary Level,female,No,0.93989,2009,2158,0.92986,0.94993
1988,Post-secondary Non-tertiary Level,male,No,0.77820,126,126,0.70536,0.85103
