year,migback,quintil_oecd,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,1st Quintile,Yes,0.13946,229,1443,0.12158,0.15734
1984,No migration background,1st Quintile,No,0.86054,1214,1443,0.84266,0.87842
1984,No migration background,2nd Quintile,Yes,0.12791,222,1599,0.11153,0.14429
1984,No migration background,2nd Quintile,No,0.87209,1377,1599,0.85571,0.88847
1984,No migration background,3rd Quintile,Yes,0.11681,217,1723,0.10164,0.13198
1984,No migration background,3rd Quintile,No,0.88319,1506,1723,0.86802,0.89836
1984,No migration background,4th Quintile,Yes,0.11694,234,1861,0.10233,0.13154
1984,No migration background,4th Quintile,No,0.88306,1627,1861,0.86846,0.89767
1984,No migration background,5th Quintile,Yes,0.09091,195,2013,0.07835,0.10348
1984,No migration background,5th Quintile,No,0.90909,1818,2013,0.89652,0.92165
1984,Direct migration background,1st Quintile,Yes,0.09769,98,1015,0.07941,0.11596
1984,Direct migration background,1st Quintile,No,0.90231,917,1015,0.88404,0.92059
1984,Direct migration background,2nd Quintile,Yes,0.06739,67,766,0.04963,0.08516
1984,Direct migration background,2nd Quintile,No,0.93261,699,766,0.91484,0.95037
1984,Direct migration background,3rd Quintile,Yes,0.09296,49,605,0.06981,0.11612
1984,Direct migration background,3rd Quintile,No,0.90704,556,605,0.88388,0.93019
1984,Direct migration background,4th Quintile,Yes,0.08068,42,589,0.05866,0.10269
1984,Direct migration background,4th Quintile,No,0.91932,547,589,0.89731,0.94134
1984,Direct migration background,5th Quintile,No,0.94110,374,374,0.91720,0.96499
1985,No migration background,1st Quintile,Yes,0.15917,231,1308,0.13934,0.17900
1985,No migration background,1st Quintile,No,0.84083,1077,1308,0.82100,0.86066
1985,No migration background,2nd Quintile,Yes,0.10806,174,1470,0.09219,0.12394
1985,No migration background,2nd Quintile,No,0.89194,1296,1470,0.87606,0.90781
1985,No migration background,3rd Quintile,Yes,0.13749,238,1620,0.12072,0.15427
1985,No migration background,3rd Quintile,No,0.86251,1382,1620,0.84573,0.87928
1985,No migration background,4th Quintile,Yes,0.11558,209,1702,0.10038,0.13077
1985,No migration background,4th Quintile,No,0.88442,1493,1702,0.86923,0.89962
1985,No migration background,5th Quintile,Yes,0.09563,190,1860,0.08227,0.10900
1985,No migration background,5th Quintile,No,0.90437,1670,1860,0.89100,0.91773
1985,Direct migration background,1st Quintile,Yes,0.09756,88,904,0.07821,0.11691
1985,Direct migration background,1st Quintile,No,0.90244,816,904,0.88309,0.92179
1985,Direct migration background,2nd Quintile,Yes,0.10095,58,647,0.07772,0.12418
1985,Direct migration background,2nd Quintile,No,0.89905,589,647,0.87582,0.92228
1985,Direct migration background,3rd Quintile,Yes,0.06820,40,556,0.04723,0.08917
1985,Direct migration background,3rd Quintile,No,0.93180,516,556,0.91083,0.95277
1985,Direct migration background,4th Quintile,Yes,0.06538,32,480,0.04324,0.08751
1985,Direct migration background,4th Quintile,No,0.93462,448,480,0.91249,0.95676
1985,Direct migration background,5th Quintile,No,0.92491,292,292,0.89464,0.95519
1986,No migration background,1st Quintile,Yes,0.15057,210,1223,0.13052,0.17062
1986,No migration background,1st Quintile,No,0.84943,1013,1223,0.82938,0.86948
1986,No migration background,2nd Quintile,Yes,0.10876,180,1378,0.09231,0.12520
1986,No migration background,2nd Quintile,No,0.89124,1198,1378,0.87480,0.90769
1986,No migration background,3rd Quintile,Yes,0.13692,232,1519,0.11963,0.15422
1986,No migration background,3rd Quintile,No,0.86308,1287,1519,0.84578,0.88037
1986,No migration background,4th Quintile,Yes,0.11025,211,1689,0.09531,0.12519
1986,No migration background,4th Quintile,No,0.88975,1478,1689,0.87481,0.90469
1986,No migration background,5th Quintile,Yes,0.10330,202,1791,0.08920,0.11740
1986,No migration background,5th Quintile,No,0.89670,1589,1791,0.88260,0.91080
1986,Direct migration background,1st Quintile,Yes,0.08592,87,806,0.06656,0.10528
1986,Direct migration background,1st Quintile,No,0.91408,719,806,0.89472,0.93344
1986,Direct migration background,2nd Quintile,Yes,0.08692,65,684,0.06580,0.10805
1986,Direct migration background,2nd Quintile,No,0.91308,619,684,0.89195,0.93420
1986,Direct migration background,3rd Quintile,Yes,0.10949,53,546,0.08327,0.13570
1986,Direct migration background,3rd Quintile,No,0.89051,493,546,0.86430,0.91673
1986,Direct migration background,4th Quintile,No,0.94082,475,475,0.91958,0.96206
1986,Direct migration background,5th Quintile,No,0.93268,270,270,0.90273,0.96262
1986,Indirect migration background,1st Quintile,Yes,0.53615,32,32,0.36059,0.71170
1987,No migration background,1st Quintile,Yes,0.13977,198,1193,0.12009,0.15946
1987,No migration background,1st Quintile,No,0.86023,995,1193,0.84054,0.87991
1987,No migration background,2nd Quintile,Yes,0.10471,184,1353,0.08839,0.12103
1987,No migration background,2nd Quintile,No,0.89529,1169,1353,0.87897,0.91161
1987,No migration background,3rd Quintile,Yes,0.11104,206,1509,0.09518,0.12690
1987,No migration background,3rd Quintile,No,0.88896,1303,1509,0.87310,0.90482
1987,No migration background,4th Quintile,Yes,0.10892,212,1630,0.09379,0.12405
1987,No migration background,4th Quintile,No,0.89108,1418,1630,0.87595,0.90621
1987,No migration background,5th Quintile,Yes,0.09899,199,1779,0.08511,0.11287
1987,No migration background,5th Quintile,No,0.90101,1580,1779,0.88713,0.91489
1987,Direct migration background,1st Quintile,Yes,0.12028,100,798,0.09769,0.14286
1987,Direct migration background,1st Quintile,No,0.87972,698,798,0.85714,0.90231
1987,Direct migration background,2nd Quintile,Yes,0.09266,64,667,0.07064,0.11468
1987,Direct migration background,2nd Quintile,No,0.90734,603,667,0.88532,0.92936
1987,Direct migration background,3rd Quintile,Yes,0.06371,47,563,0.04352,0.08391
1987,Direct migration background,3rd Quintile,No,0.93629,516,563,0.91609,0.95648
1987,Direct migration background,4th Quintile,No,0.95311,457,457,0.93370,0.97251
1987,Direct migration background,5th Quintile,No,0.95376,286,286,0.92938,0.97815
1988,No migration background,1st Quintile,Yes,0.14235,181,1127,0.12194,0.16276
1988,No migration background,1st Quintile,No,0.85765,946,1127,0.83724,0.87806
1988,No migration background,2nd Quintile,Yes,0.11042,175,1308,0.09343,0.12741
1988,No migration background,2nd Quintile,No,0.88958,1133,1308,0.87259,0.90657
1988,No migration background,3rd Quintile,Yes,0.13075,227,1440,0.11333,0.14817
1988,No migration background,3rd Quintile,No,0.86925,1213,1440,0.85183,0.88667
1988,No migration background,4th Quintile,Yes,0.09355,176,1532,0.07896,0.10813
1988,No migration background,4th Quintile,No,0.90645,1356,1532,0.89187,0.92104
1988,No migration background,5th Quintile,Yes,0.07962,159,1673,0.06664,0.09260
1988,No migration background,5th Quintile,No,0.92038,1514,1673,0.90740,0.93336
1988,Direct migration background,1st Quintile,Yes,0.10882,82,780,0.08695,0.13069
1988,Direct migration background,1st Quintile,No,0.89118,698,780,0.86931,0.91305
1988,Direct migration background,2nd Quintile,Yes,0.06188,57,616,0.04284,0.08093
1988,Direct migration background,2nd Quintile,No,0.93812,559,616,0.91907,0.95716
1988,Direct migration background,3rd Quintile,Yes,0.07778,37,525,0.05485,0.10071
1988,Direct migration background,3rd Quintile,No,0.92222,488,525,0.89929,0.94515
1988,Direct migration background,4th Quintile,No,0.96779,470,470,0.95182,0.98377
1988,Direct migration background,5th Quintile,No,0.94860,242,242,0.92072,0.97648
1988,Indirect migration background,1st Quintile,Yes,0.58776,41,41,0.43522,0.74031
1988,Indirect migration background,2nd Quintile,Yes,0.37741,32,32,0.20677,0.54805
1989,No migration background,1st Quintile,Yes,0.14137,174,1073,0.12052,0.16223
1989,No migration background,1st Quintile,No,0.85863,899,1073,0.83777,0.87948
1989,No migration background,2nd Quintile,Yes,0.11242,161,1221,0.09469,0.13014
1989,No migration background,2nd Quintile,No,0.88758,1060,1221,0.86986,0.90531
1989,No migration background,3rd Quintile,Yes,0.11687,183,1376,0.09988,0.13385
1989,No migration background,3rd Quintile,No,0.88313,1193,1376,0.86615,0.90012
1989,No migration background,4th Quintile,Yes,0.11264,191,1531,0.09680,0.12848
1989,No migration background,4th Quintile,No,0.88736,1340,1531,0.87152,0.90320
1989,No migration background,5th Quintile,Yes,0.08452,147,1615,0.07095,0.09809
1989,No migration background,5th Quintile,No,0.91548,1468,1615,0.90191,0.92905
1989,Direct migration background,1st Quintile,Yes,0.10338,73,788,0.08211,0.12465
1989,Direct migration background,1st Quintile,No,0.89662,715,788,0.87535,0.91789
1989,Direct migration background,2nd Quintile,Yes,0.05484,43,665,0.03752,0.07216
1989,Direct migration background,2nd Quintile,No,0.94516,622,665,0.92784,0.96248
1989,Direct migration background,3rd Quintile,No,0.92374,445,445,0.89905,0.94843
1989,Direct migration background,4th Quintile,No,0.96257,417,417,0.94433,0.98081
1989,Direct migration background,5th Quintile,No,0.98224,220,220,0.96474,0.99973
1989,Indirect migration background,1st Quintile,Yes,0.58692,42,42,0.43620,0.73764
1989,Indirect migration background,2nd Quintile,Yes,0.48880,43,79,0.37786,0.59973
1989,Indirect migration background,2nd Quintile,No,0.51120,36,79,0.40027,0.62214
1990,No migration background,1st Quintile,Yes,0.11585,133,1017,0.09617,0.13553
1990,No migration background,1st Quintile,No,0.88415,884,1017,0.86447,0.90383
1990,No migration background,2nd Quintile,Yes,0.12112,164,1240,0.10295,0.13929
1990,No migration background,2nd Quintile,No,0.87888,1076,1240,0.86071,0.89705
1990,No migration background,3rd Quintile,Yes,0.11453,168,1295,0.09718,0.13188
1990,No migration background,3rd Quintile,No,0.88547,1127,1295,0.86812,0.90282
1990,No migration background,4th Quintile,Yes,0.10715,174,1507,0.09153,0.12277
1990,No migration background,4th Quintile,No,0.89285,1333,1507,0.87723,0.90847
1990,No migration background,5th Quintile,Yes,0.09023,144,1575,0.07607,0.10438
1990,No migration background,5th Quintile,No,0.90977,1431,1575,0.89562,0.92393
1990,Direct migration background,1st Quintile,Yes,0.11039,81,806,0.08874,0.13203
1990,Direct migration background,1st Quintile,No,0.88961,725,806,0.86797,0.91126
1990,Direct migration background,2nd Quintile,Yes,0.05219,34,576,0.03401,0.07037
1990,Direct migration background,2nd Quintile,No,0.94781,542,576,0.92963,0.96599
1990,Direct migration background,3rd Quintile,No,0.94284,505,505,0.92257,0.96311
1990,Direct migration background,4th Quintile,No,0.96779,370,370,0.94978,0.98581
1990,Direct migration background,5th Quintile,No,0.97466,227,227,0.95417,0.99515
1990,Indirect migration background,1st Quintile,Yes,0.53087,48,80,0.42082,0.64092
1990,Indirect migration background,1st Quintile,No,0.46913,32,80,0.35908,0.57918
1990,Indirect migration background,2nd Quintile,Yes,0.49044,37,72,0.37416,0.60673
1990,Indirect migration background,2nd Quintile,No,0.50956,35,72,0.39327,0.62584
1990,Indirect migration background,3rd Quintile,Yes,0.44667,32,66,0.32581,0.56753
1990,Indirect migration background,3rd Quintile,No,0.55333,34,66,0.43247,0.67419
1990,Indirect migration background,4th Quintile,No,0.77531,35,35,0.63501,0.91560
1991,No migration background,1st Quintile,Yes,0.12191,137,996,0.10158,0.14224
1991,No migration background,1st Quintile,No,0.87809,859,996,0.85776,0.89842
1991,No migration background,2nd Quintile,Yes,0.11107,149,1203,0.09331,0.12884
1991,No migration background,2nd Quintile,No,0.88893,1054,1203,0.87116,0.90669
1991,No migration background,3rd Quintile,Yes,0.11785,171,1322,0.10046,0.13524
1991,No migration background,3rd Quintile,No,0.88215,1151,1322,0.86476,0.89954
1991,No migration background,4th Quintile,Yes,0.10131,169,1486,0.08596,0.11665
1991,No migration background,4th Quintile,No,0.89869,1317,1486,0.88335,0.91404
1991,No migration background,5th Quintile,Yes,0.09293,156,1575,0.07859,0.10728
1991,No migration background,5th Quintile,No,0.90707,1419,1575,0.89272,0.92141
1991,Direct migration background,1st Quintile,Yes,0.09890,70,748,0.07750,0.12031
1991,Direct migration background,1st Quintile,No,0.90110,678,748,0.87969,0.92250
1991,Direct migration background,2nd Quintile,Yes,0.07567,40,603,0.05455,0.09680
1991,Direct migration background,2nd Quintile,No,0.92433,563,603,0.90320,0.94545
1991,Direct migration background,3rd Quintile,No,0.95524,467,467,0.93646,0.97401
1991,Direct migration background,4th Quintile,No,0.93647,380,380,0.91191,0.96102
