year,sampreg,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Yes,0.09492,1430,12150,0.08971,0.10014
1984,West,No,0.73030,10720,12150,0.72241,0.73819
1985,West,Yes,0.10036,1353,11005,0.09474,0.10597
1985,West,No,0.73694,9652,11005,0.72871,0.74517
1986,West,Yes,0.09906,1361,10582,0.09336,0.10475
1986,West,No,0.73836,9221,10582,0.72998,0.74673
1987,West,Yes,0.09146,1331,10450,0.08593,0.09699
1987,West,No,0.74349,9119,10450,0.73512,0.75186
1988,West,Yes,0.08973,1236,9970,0.08412,0.09534
1988,West,No,0.74547,8734,9970,0.73692,0.75402
1989,West,Yes,0.09186,1156,9661,0.08610,0.09762
1989,West,No,0.74476,8505,9661,0.73606,0.75345
1990,West,Yes,0.08890,1089,9460,0.08316,0.09463
1990,West,No,0.74468,8371,9460,0.73590,0.75347
1990,East,Yes,0.07476,472,4423,0.06701,0.08251
1990,East,No,0.70647,3951,4423,0.69305,0.71990
1991,West,Yes,0.08901,1133,9447,0.08326,0.09475
1991,West,No,0.73910,8314,9447,0.73025,0.74796
1991,East,Yes,0.08249,492,4138,0.07411,0.09088
1991,East,No,0.72475,3646,4138,0.71114,0.73836
1992,West,Yes,0.08622,1098,9338,0.08053,0.09191
1992,West,No,0.74008,8240,9338,0.73118,0.74898
1992,East,Yes,0.09523,556,3976,0.08611,0.10436
1992,East,No,0.71851,3420,3976,0.70453,0.73249
1993,West,Yes,0.08244,1042,9272,0.07684,0.08803
1993,West,No,0.74357,8230,9272,0.73468,0.75246
1993,East,Yes,0.09913,543,3829,0.08966,0.10860
1993,East,No,0.71391,3286,3829,0.69960,0.72823
1994,West,Yes,0.07748,968,9098,0.07198,0.08297
1994,West,No,0.74590,8130,9098,0.73695,0.75484
1994,East,Yes,0.09044,498,3775,0.08129,0.09959
1994,East,No,0.72781,3277,3775,0.71361,0.74201
1995,West,Yes,0.08209,1099,9591,0.07659,0.08758
1995,West,No,0.73858,8492,9591,0.72979,0.74738
1995,East,Yes,0.08969,504,3692,0.08047,0.09891
1995,East,No,0.73483,3188,3692,0.72059,0.74907
