year,migback,pgisced97,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Primary Level,No,0.79247,60,60,0.68899,0.89595
1984,No migration background,Lower Secondary Level,Yes,0.15616,409,2337,0.14144,0.17088
1984,No migration background,Lower Secondary Level,No,0.84384,1928,2337,0.82912,0.85856
1984,No migration background,Upper Secondary Level,Yes,0.07739,383,4621,0.06968,0.08509
1984,No migration background,Upper Secondary Level,No,0.92261,4238,4621,0.91491,0.93032
1984,No migration background,Post-secondary Non-tertiary Level,Yes,0.18990,39,185,0.13323,0.24657
1984,No migration background,Post-secondary Non-tertiary Level,No,0.81010,146,185,0.75343,0.86677
1984,No migration background,First Stage of Tertiary Education,Yes,0.04888,31,604,0.03167,0.06610
1984,No migration background,First Stage of Tertiary Education,No,0.95112,573,604,0.93390,0.96833
1984,No migration background,Second Stage of Tertiary Education,Yes,0.08815,66,665,0.06659,0.10972
1984,No migration background,Second Stage of Tertiary Education,No,0.91185,599,665,0.89028,0.93341
1984,Direct migration background,No answer / don't know,No,0.96329,50,50,0.91064,1.01594
1984,Direct migration background,Primary Level,No,0.96994,895,895,0.95874,0.98113
1984,Direct migration background,Lower Secondary Level,Yes,0.08225,105,1055,0.06566,0.09884
1984,Direct migration background,Lower Secondary Level,No,0.91775,950,1055,0.90116,0.93434
1984,Direct migration background,Upper Secondary Level,Yes,0.07928,85,1025,0.06273,0.09582
1984,Direct migration background,Upper Secondary Level,No,0.92072,940,1025,0.90418,0.93727
1984,Direct migration background,Post-secondary Non-tertiary Level,No,0.78255,108,108,0.70439,0.86072
1984,Direct migration background,First Stage of Tertiary Education,No,0.97847,50,50,0.93783,1.01911
1984,Direct migration background,Second Stage of Tertiary Education,No,0.86587,103,103,0.79974,0.93201
1984,Indirect migration background,Lower Secondary Level,Yes,0.44572,32,32,0.27075,0.62069
1984,Indirect migration background,Upper Secondary Level,No,0.84734,40,40,0.73446,0.96022
1985,No migration background,Primary Level,No,0.79882,66,66,0.70137,0.89628
1985,No migration background,Lower Secondary Level,Yes,0.16816,384,2087,0.15211,0.18421
1985,No migration background,Lower Secondary Level,No,0.83184,1703,2087,0.81579,0.84789
1985,No migration background,Upper Secondary Level,Yes,0.07435,344,4213,0.06643,0.08227
1985,No migration background,Upper Secondary Level,No,0.92565,3869,4213,0.91773,0.93357
1985,No migration background,Post-secondary Non-tertiary Level,Yes,0.22470,43,173,0.16232,0.28707
1985,No migration background,Post-secondary Non-tertiary Level,No,0.77530,130,173,0.71293,0.83768
1985,No migration background,First Stage of Tertiary Education,Yes,0.05549,34,567,0.03663,0.07435
1985,No migration background,First Stage of Tertiary Education,No,0.94451,533,567,0.92565,0.96337
1985,No migration background,Second Stage of Tertiary Education,Yes,0.06847,46,641,0.04890,0.08804
1985,No migration background,Second Stage of Tertiary Education,No,0.93153,595,641,0.91196,0.95110
1985,Direct migration background,No answer / don't know,No,0.89550,58,58,0.81608,0.97491
1985,Direct migration background,Primary Level,No,0.97904,732,732,0.96866,0.98943
1985,Direct migration background,Lower Secondary Level,Yes,0.08762,90,909,0.06923,0.10601
1985,Direct migration background,Lower Secondary Level,No,0.91238,819,909,0.89399,0.93077
1985,Direct migration background,Upper Secondary Level,Yes,0.07418,76,904,0.05709,0.09128
1985,Direct migration background,Upper Secondary Level,No,0.92582,828,904,0.90872,0.94291
1985,Direct migration background,Post-secondary Non-tertiary Level,No,0.81776,88,88,0.73664,0.89888
1985,Direct migration background,First Stage of Tertiary Education,No,0.88817,43,43,0.79285,0.98348
1985,Direct migration background,Second Stage of Tertiary Education,No,0.89653,94,94,0.83463,0.95843
1985,Indirect migration background,Lower Secondary Level,Yes,0.51964,40,40,0.36284,0.67645
1985,Indirect migration background,Upper Secondary Level,No,0.80544,39,39,0.67957,0.93130
1986,No migration background,Primary Level,No,0.77154,64,64,0.66786,0.87521
1986,No migration background,Lower Secondary Level,Yes,0.16085,361,1930,0.14446,0.17725
1986,No migration background,Lower Secondary Level,No,0.83915,1569,1930,0.82275,0.85554
1986,No migration background,Upper Secondary Level,Yes,0.08133,361,4062,0.07292,0.08974
1986,No migration background,Upper Secondary Level,No,0.91867,3701,4062,0.91026,0.92708
1986,No migration background,Post-secondary Non-tertiary Level,Yes,0.15322,32,171,0.09907,0.20737
1986,No migration background,Post-secondary Non-tertiary Level,No,0.84678,139,171,0.79263,0.90093
1986,No migration background,First Stage of Tertiary Education,No,0.95168,498,498,0.93283,0.97054
1986,No migration background,Second Stage of Tertiary Education,Yes,0.08974,63,635,0.06749,0.11198
1986,No migration background,Second Stage of Tertiary Education,No,0.91026,572,635,0.88802,0.93251
1986,Direct migration background,No answer / don't know,No,0.93273,55,55,0.86592,0.99954
1986,Direct migration background,Primary Level,No,0.96831,667,667,0.95500,0.98161
1986,Direct migration background,Lower Secondary Level,Yes,0.09599,110,916,0.07690,0.11507
1986,Direct migration background,Lower Secondary Level,No,0.90401,806,916,0.88493,0.92310
1986,Direct migration background,Upper Secondary Level,Yes,0.06741,60,872,0.05076,0.08406
1986,Direct migration background,Upper Secondary Level,No,0.93259,812,872,0.91594,0.94924
1986,Direct migration background,Post-secondary Non-tertiary Level,No,0.85959,92,92,0.78820,0.93097
1986,Direct migration background,First Stage of Tertiary Education,No,0.94144,47,47,0.87359,1.00929
1986,Direct migration background,Second Stage of Tertiary Education,No,0.91088,99,99,0.85446,0.96729
1986,Indirect migration background,Lower Secondary Level,Yes,0.53786,39,39,0.37934,0.69638
1986,Indirect migration background,Upper Secondary Level,No,0.89903,41,41,0.80565,0.99240
1987,No migration background,Primary Level,No,0.81897,60,60,0.72072,0.91722
1987,No migration background,Lower Secondary Level,Yes,0.13493,333,1836,0.11930,0.15057
1987,No migration background,Lower Secondary Level,No,0.86507,1503,1836,0.84943,0.88070
1987,No migration background,Upper Secondary Level,Yes,0.07566,342,4034,0.06750,0.08382
1987,No migration background,Upper Secondary Level,No,0.92434,3692,4034,0.91618,0.93250
1987,No migration background,Post-secondary Non-tertiary Level,Yes,0.21087,38,173,0.14990,0.27183
1987,No migration background,Post-secondary Non-tertiary Level,No,0.78913,135,173,0.72817,0.85010
1987,No migration background,First Stage of Tertiary Education,No,0.94431,474,474,0.92364,0.96497
1987,No migration background,Second Stage of Tertiary Education,Yes,0.09820,63,638,0.07509,0.12131
1987,No migration background,Second Stage of Tertiary Education,No,0.90180,575,638,0.87869,0.92491
1987,Direct migration background,No answer / don't know,No,0.95889,56,56,0.90641,1.01136
1987,Direct migration background,Primary Level,No,0.96950,652,652,0.95629,0.98271
1987,Direct migration background,Lower Secondary Level,Yes,0.10461,130,937,0.08500,0.12421
1987,Direct migration background,Lower Secondary Level,No,0.89539,807,937,0.87579,0.91500
1987,Direct migration background,Upper Secondary Level,Yes,0.06850,50,861,0.05162,0.08538
1987,Direct migration background,Upper Secondary Level,No,0.93150,811,861,0.91462,0.94838
1987,Direct migration background,Post-secondary Non-tertiary Level,No,0.82062,88,88,0.74000,0.90124
1987,Direct migration background,First Stage of Tertiary Education,No,0.99194,52,52,0.96741,1.01648
1987,Direct migration background,Second Stage of Tertiary Education,No,0.96915,95,95,0.93419,1.00411
1987,Indirect migration background,Lower Secondary Level,Yes,0.38949,38,38,0.23236,0.54661
1987,Indirect migration background,Upper Secondary Level,No,0.85944,53,53,0.76497,0.95391
1988,No migration background,No answer / don't know,Yes,0.49060,32,74,0.37592,0.60528
1988,No migration background,No answer / don't know,No,0.50940,42,74,0.39472,0.62408
1988,No migration background,Primary Level,No,0.82123,53,53,0.71709,0.92538
1988,No migration background,Lower Secondary Level,Yes,0.13728,326,1727,0.12104,0.15352
1988,No migration background,Lower Secondary Level,No,0.86272,1401,1727,0.84648,0.87896
1988,No migration background,Upper Secondary Level,Yes,0.07851,326,3827,0.06998,0.08703
1988,No migration background,Upper Secondary Level,No,0.92149,3501,3827,0.91297,0.93002
1988,No migration background,Post-secondary Non-tertiary Level,Yes,0.20669,36,171,0.14582,0.26756
1988,No migration background,Post-secondary Non-tertiary Level,No,0.79331,135,171,0.73244,0.85418
1988,No migration background,First Stage of Tertiary Education,No,0.96803,463,463,0.95199,0.98407
1988,No migration background,Second Stage of Tertiary Education,Yes,0.07027,45,613,0.05002,0.09052
1988,No migration background,Second Stage of Tertiary Education,No,0.92973,568,613,0.90948,0.94998
1988,Direct migration background,No answer / don't know,No,0.90884,56,56,0.83277,0.98491
1988,Direct migration background,Primary Level,No,0.98150,602,602,0.97072,0.99227
1988,Direct migration background,Lower Secondary Level,Yes,0.08985,109,910,0.07126,0.10844
1988,Direct migration background,Lower Secondary Level,No,0.91015,801,910,0.89156,0.92874
1988,Direct migration background,Upper Secondary Level,Yes,0.06010,52,831,0.04393,0.07627
1988,Direct migration background,Upper Secondary Level,No,0.93990,779,831,0.92373,0.95607
