year,regtyp,sex,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,male,Yes,0.12266,639,4261,0.11281,0.13251
1985,Urban regions,male,No,0.70790,3622,4261,0.69424,0.72155
1985,Urban regions,female,Yes,0.08471,450,4409,0.07649,0.09293
1985,Urban regions,female,No,0.76736,3959,4409,0.75489,0.77984
1985,Rural regions,male,Yes,0.11069,153,1145,0.09251,0.12887
1985,Rural regions,male,No,0.70237,992,1145,0.67588,0.72887
1985,Rural regions,female,Yes,0.07667,111,1190,0.06154,0.09179
1985,Rural regions,female,No,0.75643,1079,1190,0.73203,0.78083
1986,Urban regions,male,Yes,0.12429,635,4140,0.11424,0.13434
1986,Urban regions,male,No,0.70883,3505,4140,0.69499,0.72267
1986,Urban regions,female,Yes,0.08068,459,4211,0.07246,0.08891
1986,Urban regions,female,No,0.77029,3752,4211,0.75758,0.78300
1986,Rural regions,male,Yes,0.10458,146,1091,0.08641,0.12275
1986,Rural regions,male,No,0.71032,945,1091,0.68339,0.73725
1986,Rural regions,female,Yes,0.07937,121,1140,0.06367,0.09507
1986,Rural regions,female,No,0.74894,1019,1140,0.72376,0.77413
1987,Urban regions,male,Yes,0.11611,636,4099,0.10630,0.12592
1987,Urban regions,male,No,0.71417,3463,4099,0.70034,0.72800
1987,Urban regions,female,Yes,0.07712,446,4144,0.06900,0.08524
1987,Urban regions,female,No,0.77451,3698,4144,0.76178,0.78723
1987,Rural regions,male,Yes,0.08963,139,1072,0.07252,0.10674
1987,Rural regions,male,No,0.71236,933,1072,0.68525,0.73947
1987,Rural regions,female,Yes,0.06706,110,1135,0.05250,0.08161
1987,Rural regions,female,No,0.75981,1025,1135,0.73494,0.78467
1988,Urban regions,male,Yes,0.11565,586,3918,0.10563,0.12566
1988,Urban regions,male,No,0.71682,3332,3918,0.70271,0.73093
1988,Urban regions,female,Yes,0.07021,408,3987,0.06228,0.07814
1988,Urban regions,female,No,0.77972,3579,3987,0.76685,0.79259
1988,Rural regions,male,Yes,0.09234,132,1012,0.07449,0.11018
1988,Rural regions,male,No,0.70978,880,1012,0.68180,0.73776
1988,Rural regions,female,Yes,0.07305,110,1053,0.05733,0.08878
1988,Rural regions,female,No,0.75438,943,1053,0.72837,0.78039
1989,Urban regions,male,Yes,0.12261,548,3788,0.11216,0.13305
1989,Urban regions,male,No,0.70838,3240,3788,0.69390,0.72286
1989,Urban regions,female,Yes,0.07248,397,3911,0.06435,0.08060
1989,Urban regions,female,No,0.78104,3514,3911,0.76808,0.79400
1989,Rural regions,male,Yes,0.09650,125,973,0.07794,0.11507
1989,Rural regions,male,No,0.71474,848,973,0.68635,0.74313
1989,Rural regions,female,Yes,0.05737,86,989,0.04287,0.07187
1989,Rural regions,female,No,0.76477,903,989,0.73833,0.79122
1990,Urban regions,male,Yes,0.11236,604,4385,0.10301,0.12171
1990,Urban regions,male,No,0.70593,3781,4385,0.69244,0.71941
1990,Urban regions,female,Yes,0.07201,452,4580,0.06453,0.07950
1990,Urban regions,female,No,0.76945,4128,4580,0.75725,0.78164
1990,Rural regions,male,Yes,0.08466,259,2346,0.07340,0.09593
1990,Rural regions,male,No,0.71686,2087,2346,0.69862,0.73509
1990,Rural regions,female,Yes,0.06375,234,2485,0.05414,0.07335
1990,Rural regions,female,No,0.75173,2251,2485,0.73475,0.76872
1991,Urban regions,male,Yes,0.11015,618,4295,0.10078,0.11951
1991,Urban regions,male,No,0.70466,3677,4295,0.69101,0.71830
1991,Urban regions,female,Yes,0.07406,468,4479,0.06639,0.08173
1991,Urban regions,female,No,0.76608,4011,4479,0.75368,0.77847
1991,Rural regions,male,Yes,0.08822,269,2295,0.07662,0.09983
1991,Rural regions,male,No,0.71895,2026,2295,0.70056,0.73735
1991,Rural regions,female,Yes,0.07164,259,2426,0.06137,0.08190
1991,Rural regions,female,No,0.75360,2167,2426,0.73645,0.77075
1992,Urban regions,male,Yes,0.10233,574,4214,0.09318,0.11148
1992,Urban regions,male,No,0.71266,3640,4214,0.69900,0.72633
1992,Urban regions,female,Yes,0.07594,489,4454,0.06816,0.08372
1992,Urban regions,female,No,0.76370,3965,4454,0.75122,0.77617
1992,Rural regions,male,Yes,0.09155,280,2193,0.07948,0.10362
1992,Rural regions,male,No,0.72084,1913,2193,0.70206,0.73962
1992,Rural regions,female,Yes,0.07985,288,2334,0.06885,0.09085
1992,Rural regions,female,No,0.74120,2046,2334,0.72343,0.75898
1993,Urban regions,male,Yes,0.10220,561,4196,0.09304,0.11137
1993,Urban regions,male,No,0.71165,3635,4196,0.69794,0.72536
1993,Urban regions,female,Yes,0.07315,474,4411,0.06546,0.08083
1993,Urban regions,female,No,0.76465,3937,4411,0.75213,0.77717
1993,Rural regions,male,Yes,0.09232,278,2169,0.08014,0.10451
1993,Rural regions,male,No,0.72386,1891,2169,0.70505,0.74268
1993,Rural regions,female,Yes,0.07328,272,2325,0.06269,0.08388
1993,Rural regions,female,No,0.74553,2053,2325,0.72782,0.76324
1994,Urban regions,male,Yes,0.09245,507,4091,0.08357,0.10133
1994,Urban regions,male,No,0.71940,3584,4091,0.70563,0.73317
1994,Urban regions,female,Yes,0.06994,450,4389,0.06239,0.07748
1994,Urban regions,female,No,0.77022,3939,4389,0.75777,0.78267
1994,Rural regions,male,Yes,0.09037,255,2124,0.07818,0.10257
1994,Rural regions,male,No,0.71850,1869,2124,0.69936,0.73763
1994,Rural regions,female,Yes,0.06662,254,2269,0.05636,0.07689
1994,Rural regions,female,No,0.75136,2015,2269,0.73357,0.76915
1995,Urban regions,male,Yes,0.09256,536,4202,0.08380,0.10133
1995,Urban regions,male,No,0.71832,3666,4202,0.70472,0.73192
1995,Urban regions,female,Yes,0.07752,509,4533,0.06973,0.08530
1995,Urban regions,female,No,0.76363,4024,4533,0.75126,0.77600
1995,Rural regions,male,Yes,0.09921,300,2207,0.08673,0.11168
1995,Rural regions,male,No,0.70901,1907,2207,0.69005,0.72796
1995,Rural regions,female,Yes,0.06323,258,2341,0.05337,0.07309
1995,Rural regions,female,No,0.74993,2083,2341,0.73238,0.76748
1996,Urban regions,male,Yes,0.08553,496,4103,0.07697,0.09409
1996,Urban regions,male,No,0.72466,3607,4103,0.71099,0.73833
1996,Urban regions,female,Yes,0.07748,481,4436,0.06961,0.08535
1996,Urban regions,female,No,0.76162,3955,4436,0.74908,0.77417
1996,Rural regions,male,Yes,0.08600,268,2189,0.07426,0.09775
1996,Rural regions,male,No,0.72437,1921,2189,0.70564,0.74309
1996,Rural regions,female,Yes,0.06813,261,2316,0.05787,0.07840
1996,Rural regions,female,No,0.75329,2055,2316,0.73573,0.77085
1997,Urban regions,male,Yes,0.08777,503,4056,0.07906,0.09648
1997,Urban regions,male,No,0.72561,3553,4056,0.71188,0.73935
1997,Urban regions,female,Yes,0.07992,479,4333,0.07184,0.08799
1997,Urban regions,female,No,0.76201,3854,4333,0.74933,0.77469
