year,age_gr,pgisced97,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Primary Level,Yes,0.26722,39,206,0.20665,0.32780
1984,17-29 y.,Primary Level,No,0.73278,167,206,0.67220,0.79335
1984,17-29 y.,Lower Secondary Level,Yes,0.62403,539,1045,0.59465,0.65341
1984,17-29 y.,Lower Secondary Level,No,0.37597,506,1045,0.34659,0.40535
1984,17-29 y.,Upper Secondary Level,Yes,0.25444,399,1603,0.23311,0.27577
1984,17-29 y.,Upper Secondary Level,No,0.74556,1204,1603,0.72423,0.76689
1984,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.37079,43,125,0.28577,0.45581
1984,17-29 y.,Post-secondary Non-tertiary Level,No,0.62921,82,125,0.54419,0.71423
1984,17-29 y.,First Stage of Tertiary Education,No,0.88291,110,110,0.82255,0.94327
1984,17-29 y.,Second Stage of Tertiary Education,Yes,0.34736,44,128,0.26455,0.43017
1984,17-29 y.,Second Stage of Tertiary Education,No,0.65264,84,128,0.56983,0.73545
1984,30-45 y.,Primary Level,No,0.98880,398,398,0.97845,0.99915
1984,30-45 y.,Lower Secondary Level,No,0.99332,799,799,0.98768,0.99897
1984,30-45 y.,Upper Secondary Level,Yes,0.03730,65,1946,0.02888,0.04572
1984,30-45 y.,Upper Secondary Level,No,0.96270,1881,1946,0.95428,0.97112
1984,30-45 y.,Post-secondary Non-tertiary Level,No,0.86719,88,88,0.79587,0.93850
1984,30-45 y.,First Stage of Tertiary Education,No,0.94704,235,235,0.91834,0.97573
1984,30-45 y.,Second Stage of Tertiary Education,Yes,0.09695,37,376,0.06700,0.12690
1984,30-45 y.,Second Stage of Tertiary Education,No,0.90305,339,376,0.87310,0.93300
1984,46-65 y.,Lower Secondary Level,No,0.99802,1081,1081,0.99537,1.00067
1984,46-65 y.,Upper Secondary Level,No,0.98840,1564,1564,0.98309,0.99371
1984,46-65 y.,Post-secondary Non-tertiary Level,No,0.98165,64,64,0.94850,1.01479
1984,46-65 y.,First Stage of Tertiary Education,No,0.97841,199,199,0.95817,0.99866
1984,46-65 y.,Second Stage of Tertiary Education,No,0.98281,218,218,0.96551,1.00010
1984,66 and older,First Stage of Tertiary Education,No,0.98655,82,82,0.96146,1.01164
1984,66 and older,Second Stage of Tertiary Education,No,0.99423,62,62,0.97522,1.01324
1985,17-29 y.,Primary Level,No,0.73824,134,134,0.66353,0.81295
1985,17-29 y.,Lower Secondary Level,Yes,0.63524,510,956,0.60471,0.66577
1985,17-29 y.,Lower Secondary Level,No,0.36476,446,956,0.33423,0.39529
1985,17-29 y.,Upper Secondary Level,Yes,0.26006,370,1427,0.23730,0.28283
1985,17-29 y.,Upper Secondary Level,No,0.73994,1057,1427,0.71717,0.76270
1985,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.38967,43,109,0.29770,0.48165
1985,17-29 y.,Post-secondary Non-tertiary Level,No,0.61033,66,109,0.51835,0.70230
1985,17-29 y.,First Stage of Tertiary Education,No,0.82427,92,92,0.74607,0.90246
1985,17-29 y.,Second Stage of Tertiary Education,Yes,0.32822,38,120,0.24385,0.41259
