year,migback,regtyp,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Urban regions,Yes,0.10743,804,5999,0.09959,0.11527
1985,No migration background,Urban regions,No,0.75321,5195,5999,0.74230,0.76412
1985,No migration background,Rural regions,Yes,0.09510,240,1966,0.08213,0.10807
1985,No migration background,Rural regions,No,0.73539,1726,1966,0.71589,0.75490
1985,Direct migration background,Urban regions,Yes,0.07844,218,2548,0.06800,0.08888
1985,Direct migration background,Urban regions,No,0.83221,2330,2548,0.81769,0.84672
1985,Direct migration background,Rural regions,No,0.82986,332,332,0.78938,0.87034
1985,Indirect migration background,Urban regions,Yes,0.05255,67,123,0.01296,0.09215
1985,Indirect migration background,Urban regions,No,0.08546,56,123,0.03585,0.13507
1986,No migration background,Urban regions,Yes,0.10707,809,5755,0.09908,0.11506
1986,No migration background,Urban regions,No,0.75525,4946,5755,0.74414,0.76635
1986,No migration background,Rural regions,Yes,0.09231,227,1849,0.07911,0.10550
1986,No migration background,Rural regions,No,0.73671,1622,1849,0.71663,0.75679
1986,Direct migration background,Urban regions,Yes,0.07242,215,2463,0.06218,0.08265
1986,Direct migration background,Urban regions,No,0.84542,2248,2463,0.83114,0.85970
1986,Direct migration background,Rural regions,Yes,0.09895,32,362,0.06814,0.12975
1986,Direct migration background,Rural regions,No,0.82021,330,362,0.78059,0.85982
1986,Indirect migration background,Urban regions,Yes,0.05043,70,133,0.01310,0.08776
1986,Indirect migration background,Urban regions,No,0.09339,63,133,0.04375,0.14303
1987,No migration background,Urban regions,Yes,0.10139,794,5650,0.09352,0.10927
1987,No migration background,Urban regions,No,0.75991,4856,5650,0.74878,0.77105
1987,No migration background,Rural regions,Yes,0.07772,205,1815,0.06539,0.09004
1987,No migration background,Rural regions,No,0.74635,1610,1815,0.72632,0.76637
1987,Direct migration background,Urban regions,Yes,0.06887,214,2442,0.05883,0.07892
1987,Direct migration background,Urban regions,No,0.86328,2228,2442,0.84965,0.87691
