year,age_gr,migback,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Yes,0.41864,971,2346,0.39867,0.43861
1984,17-29 y.,No migration background,No,0.58136,1375,2346,0.56139,0.60133
1984,17-29 y.,Direct migration background,Yes,0.26198,242,996,0.23466,0.28930
1984,17-29 y.,Direct migration background,No,0.73802,754,996,0.71070,0.76534
1984,17-29 y.,Indirect migration background,Yes,0.56696,56,92,0.46515,0.66877
1984,17-29 y.,Indirect migration background,No,0.43304,36,92,0.33123,0.53485
1984,30-45 y.,No migration background,Yes,0.04292,107,2493,0.03497,0.05088
1984,30-45 y.,No migration background,No,0.95708,2386,2493,0.94912,0.96503
1984,30-45 y.,Direct migration background,No,0.96657,1362,1362,0.95702,0.97612
1984,46-65 y.,No migration background,No,0.99049,2569,2569,0.98674,0.99425
1984,46-65 y.,Direct migration background,No,0.99585,946,946,0.99176,0.99995
1984,66 and older,No migration background,No,0.99916,1225,1225,0.99754,1.00078
1984,66 and older,Direct migration background,No,0.98711,34,34,0.94862,1.02560
1985,17-29 y.,No migration background,Yes,0.43689,943,2199,0.41615,0.45762
1985,17-29 y.,No migration background,No,0.56311,1256,2199,0.54238,0.58385
1985,17-29 y.,Direct migration background,Yes,0.29853,210,821,0.26721,0.32985
1985,17-29 y.,Direct migration background,No,0.70147,611,821,0.67015,0.73279
1985,17-29 y.,Indirect migration background,Yes,0.52139,71,111,0.42803,0.61474
1985,17-29 y.,Indirect migration background,No,0.47861,40,111,0.38526,0.57197
1985,30-45 y.,No migration background,Yes,0.04119,89,2274,0.03302,0.04936
1985,30-45 y.,No migration background,No,0.95881,2185,2274,0.95064,0.96698
1985,30-45 y.,Direct migration background,No,0.96213,1152,1152,0.95110,0.97315
1985,46-65 y.,No migration background,No,0.99567,2415,2415,0.99305,0.99829
1985,66 and older,No migration background,No,0.99891,1065,1065,0.99693,1.00089
1986,17-29 y.,No migration background,Yes,0.42121,913,2134,0.40026,0.44217
1986,17-29 y.,No migration background,No,0.57879,1221,2134,0.55783,0.59974
1986,17-29 y.,Direct migration background,Yes,0.30843,226,799,0.27639,0.34047
1986,17-29 y.,Direct migration background,No,0.69157,573,799,0.65953,0.72361
1986,17-29 y.,Indirect migration background,Yes,0.48541,77,122,0.39636,0.57446
1986,17-29 y.,Indirect migration background,No,0.51459,45,122,0.42554,0.60364
1986,30-45 y.,No migration background,Yes,0.04819,104,2149,0.03913,0.05725
1986,30-45 y.,No migration background,No,0.95181,2045,2149,0.94275,0.96087
1986,30-45 y.,Direct migration background,No,0.96148,1081,1081,0.95000,0.97296
1986,46-65 y.,No migration background,No,0.99298,2326,2326,0.98959,0.99637
1986,66 and older,No migration background,No,0.99728,976,976,0.99401,1.00055
1987,17-29 y.,No migration background,Yes,0.39183,877,2071,0.37080,0.41286
1987,17-29 y.,No migration background,No,0.60817,1194,2071,0.58714,0.62920
1987,17-29 y.,Direct migration background,Yes,0.30066,231,795,0.26876,0.33255
1987,17-29 y.,Direct migration background,No,0.69934,564,795,0.66745,0.73124
1987,17-29 y.,Indirect migration background,Yes,0.41728,80,141,0.33560,0.49897
1987,17-29 y.,Indirect migration background,No,0.58272,61,141,0.50103,0.66440
1987,30-45 y.,No migration background,Yes,0.04917,98,2098,0.03991,0.05842
1987,30-45 y.,No migration background,No,0.95083,2000,2098,0.94158,0.96009
1987,30-45 y.,Direct migration background,No,0.95895,1031,1031,0.94684,0.97107
