year,migback,sampreg,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,Yes,0.09884,1103,8658,0.09255,0.10512
1984,No migration background,West,No,0.74175,7555,8658,0.73253,0.75097
1984,Direct migration background,West,Yes,0.07248,270,3366,0.06372,0.08124
1984,Direct migration background,West,No,0.81445,3096,3366,0.80131,0.82758
1984,Indirect migration background,West,Yes,0.03882,57,126,0.00496,0.07269
1984,Indirect migration background,West,No,0.07836,69,126,0.03125,0.12547
1985,No migration background,West,Yes,0.10422,1044,7965,0.09751,0.11093
1985,No migration background,West,No,0.74856,6921,7965,0.73903,0.75809
1985,Direct migration background,West,Yes,0.07756,237,2899,0.06782,0.08730
1985,Direct migration background,West,No,0.83187,2662,2899,0.81825,0.84548
1985,Indirect migration background,West,Yes,0.05016,72,141,0.01400,0.08631
1985,Indirect migration background,West,No,0.09414,69,141,0.04576,0.14251
1986,No migration background,West,Yes,0.10326,1036,7604,0.09642,0.11010
1986,No migration background,West,No,0.75047,6568,7604,0.74074,0.76019
1986,Direct migration background,West,Yes,0.07647,247,2825,0.06667,0.08627
1986,Direct migration background,West,No,0.84157,2578,2825,0.82810,0.85504
1986,Indirect migration background,West,Yes,0.04623,78,153,0.01285,0.07962
1986,Indirect migration background,West,No,0.10037,75,153,0.05260,0.14814
1987,No migration background,West,Yes,0.09531,999,7465,0.08865,0.10197
1987,No migration background,West,No,0.75643,6466,7465,0.74669,0.76617
1987,Direct migration background,West,Yes,0.07430,251,2812,0.06461,0.08400
1987,Direct migration background,West,No,0.85709,2561,2812,0.84415,0.87003
1987,Indirect migration background,West,Yes,0.03984,81,173,0.01061,0.06907
1987,Indirect migration background,West,No,0.10601,92,173,0.06001,0.15202
1988,No migration background,West,Yes,0.09358,919,7082,0.08680,0.10037
1988,No migration background,West,No,0.75833,6163,7082,0.74835,0.76830
1988,Direct migration background,West,Yes,0.06533,211,2668,0.05595,0.07471
1988,Direct migration background,West,No,0.86985,2457,2668,0.85708,0.88262
1988,Indirect migration background,West,Yes,0.05678,106,220,0.02613,0.08743
1988,Indirect migration background,West,No,0.11321,114,220,0.07125,0.15518
1989,No migration background,West,Yes,0.09568,856,6817,0.08870,0.10266
1989,No migration background,West,No,0.75772,5961,6817,0.74755,0.76789
1989,Direct migration background,West,Yes,0.06047,169,2588,0.05129,0.06966
1989,Direct migration background,West,No,0.88530,2419,2588,0.87302,0.89758
1989,Indirect migration background,West,Yes,0.08370,131,256,0.04970,0.11769
1989,Indirect migration background,West,No,0.10598,125,256,0.06820,0.14376
1990,No migration background,West,Yes,0.09249,784,6637,0.08552,0.09946
1990,No migration background,West,No,0.75764,5853,6637,0.74733,0.76795
1990,No migration background,East,Yes,0.07528,460,4278,0.06737,0.08319
1990,No migration background,East,No,0.70623,3818,4278,0.69258,0.71988
1990,Direct migration background,West,Yes,0.06006,162,2531,0.05081,0.06932
1990,Direct migration background,West,No,0.89550,2369,2531,0.88358,0.90742
1990,Direct migration background,East,No,0.88306,131,131,0.82782,0.93830
1990,Indirect migration background,West,Yes,0.08422,143,292,0.05231,0.11613
1990,Indirect migration background,West,No,0.11433,149,292,0.07777,0.15090
1991,No migration background,West,Yes,0.09140,788,6620,0.08446,0.09834
1991,No migration background,West,No,0.75329,5832,6620,0.74291,0.76368
1991,No migration background,East,Yes,0.08369,482,3994,0.07510,0.09228
1991,No migration background,East,No,0.72362,3512,3994,0.70974,0.73749
1991,Direct migration background,West,Yes,0.06342,160,2483,0.05383,0.07301
1991,Direct migration background,West,No,0.90250,2323,2483,0.89083,0.91417
1991,Direct migration background,East,No,0.89852,131,131,0.84661,0.95043
1991,Indirect migration background,West,Yes,0.10239,185,344,0.07030,0.13447
1991,Indirect migration background,West,No,0.11417,159,344,0.08051,0.14782
1992,No migration background,West,Yes,0.08568,738,6536,0.07890,0.09247
1992,No migration background,West,No,0.75366,5798,6536,0.74321,0.76411
1992,No migration background,East,Yes,0.09667,539,3821,0.08730,0.10604
1992,No migration background,East,No,0.71633,3282,3821,0.70203,0.73062
1992,Direct migration background,West,Yes,0.06780,149,2407,0.05776,0.07785
1992,Direct migration background,West,No,0.91264,2258,2407,0.90135,0.92392
1992,Direct migration background,East,No,0.92930,136,136,0.88606,0.97254
1992,Indirect migration background,West,Yes,0.13594,211,395,0.10210,0.16978
1992,Indirect migration background,West,No,0.12586,184,395,0.09311,0.15861
1993,No migration background,West,Yes,0.08072,691,6477,0.07409,0.08736
1993,No migration background,West,No,0.75695,5786,6477,0.74650,0.76740
1993,No migration background,East,Yes,0.10126,529,3681,0.09151,0.11100
1993,No migration background,East,No,0.71020,3152,3681,0.69554,0.72486
1993,Direct migration background,West,Yes,0.05164,116,2342,0.04268,0.06061
1993,Direct migration background,West,No,0.93339,2226,2342,0.92329,0.94349
1993,Direct migration background,East,No,0.96247,131,131,0.92980,0.99514
1993,Indirect migration background,West,Yes,0.17285,235,453,0.13799,0.20771
1993,Indirect migration background,West,No,0.14272,218,453,0.11048,0.17497
1994,No migration background,West,Yes,0.07545,646,6409,0.06898,0.08191
1994,No migration background,West,No,0.75871,5763,6409,0.74824,0.76919
1994,No migration background,East,Yes,0.09192,482,3617,0.08250,0.10134
1994,No migration background,East,No,0.72402,3135,3617,0.70945,0.73859
1994,Direct migration background,West,Yes,0.04830,102,2215,0.03937,0.05723
1994,Direct migration background,West,No,0.94061,2113,2215,0.93077,0.95046
1994,Direct migration background,East,No,0.95521,138,138,0.92057,0.98984
1994,Indirect migration background,West,Yes,0.16581,220,474,0.13230,0.19933
1994,Indirect migration background,West,No,0.16703,254,474,0.13342,0.20065
1995,No migration background,West,Yes,0.07742,693,6466,0.07091,0.08394
1995,No migration background,West,No,0.75514,5773,6466,0.74465,0.76562
1995,No migration background,East,Yes,0.09217,491,3534,0.08263,0.10171
1995,No migration background,East,No,0.73015,3043,3534,0.71552,0.74479
1995,Direct migration background,West,Yes,0.08156,188,2638,0.07112,0.09201
1995,Direct migration background,West,No,0.85542,2450,2638,0.84200,0.86885
1995,Direct migration background,East,No,0.98410,140,140,0.96331,1.00490
1995,Indirect migration background,West,Yes,0.15411,218,487,0.12201,0.18621
1995,Indirect migration background,West,No,0.17421,269,487,0.14049,0.20793
1996,No migration background,West,Yes,0.07350,638,6379,0.06709,0.07990
1996,No migration background,West,No,0.76019,5741,6379,0.74971,0.77067
