year,migback,sex,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,male,Yes,0.11772,631,4112,0.10787,0.12757
1984,No migration background,male,No,0.71040,3481,4112,0.69654,0.72427
1984,No migration background,female,Yes,0.08189,472,4546,0.07391,0.08986
1984,No migration background,female,No,0.76989,4074,4546,0.75765,0.78212
1984,Direct migration background,male,Yes,0.08461,161,1776,0.07167,0.09756
1984,Direct migration background,male,No,0.79135,1615,1776,0.77245,0.81026
1984,Direct migration background,female,Yes,0.05949,109,1590,0.04786,0.07113
1984,Direct migration background,female,No,0.83918,1481,1590,0.82111,0.85724
1984,Indirect migration background,male,Yes,0.03593,35,35,-0.02663,0.09849
1984,Indirect migration background,female,No,0.10592,44,44,0.01394,0.19790
1985,No migration background,male,Yes,0.12532,607,3807,0.11480,0.13583
1985,No migration background,male,No,0.71730,3200,3807,0.70299,0.73160
1985,No migration background,female,Yes,0.08531,437,4158,0.07682,0.09380
1985,No migration background,female,No,0.77658,3721,4158,0.76392,0.78925
1985,Direct migration background,male,Yes,0.09174,147,1536,0.07730,0.10618
1985,Direct migration background,male,No,0.81345,1389,1536,0.79396,0.83293
1985,Direct migration background,female,Yes,0.06267,90,1363,0.04980,0.07555
1985,Direct migration background,female,No,0.85120,1273,1363,0.83230,0.87010
1985,Indirect migration background,male,Yes,0.04286,38,38,-0.02240,0.10812
1985,Indirect migration background,female,Yes,0.05760,34,78,0.00556,0.10964
1985,Indirect migration background,female,No,0.11829,44,78,0.04615,0.19042
1986,No migration background,male,Yes,0.12599,597,3647,0.11522,0.13676
1986,No migration background,male,No,0.72077,3050,3647,0.70620,0.73533
1986,No migration background,female,Yes,0.08289,439,3957,0.07430,0.09149
1986,No migration background,female,No,0.77709,3518,3957,0.76412,0.79006
1986,Direct migration background,male,Yes,0.08861,142,1514,0.07429,0.10293
1986,Direct migration background,male,No,0.82291,1372,1514,0.80367,0.84215
1986,Direct migration background,female,Yes,0.06345,105,1311,0.05025,0.07665
1986,Direct migration background,female,No,0.86158,1206,1311,0.84288,0.88028
1986,Indirect migration background,male,Yes,0.04066,42,42,-0.01979,0.10112
1986,Indirect migration background,female,Yes,0.05202,36,83,0.00395,0.10008
1986,Indirect migration background,female,No,0.12786,47,83,0.05558,0.20014
1987,No migration background,male,Yes,0.11488,583,3592,0.10445,0.12531
1987,No migration background,male,No,0.72618,3009,3592,0.71159,0.74076
1987,No migration background,female,Yes,0.07761,416,3873,0.06918,0.08603
1987,No migration background,female,No,0.78380,3457,3873,0.77083,0.79677
1987,Direct migration background,male,Yes,0.09052,147,1499,0.07599,0.10505
1987,Direct migration background,male,No,0.83234,1352,1499,0.81342,0.85126
1987,Direct migration background,female,Yes,0.05689,104,1313,0.04436,0.06943
1987,Direct migration background,female,No,0.88366,1209,1313,0.86631,0.90101
1987,Indirect migration background,male,Yes,0.03694,45,80,-0.00465,0.07853
1987,Indirect migration background,male,No,0.07668,35,80,0.01801,0.13536
1987,Indirect migration background,female,Yes,0.04271,36,93,0.00139,0.08403
1987,Indirect migration background,female,No,0.13506,57,93,0.06522,0.20490
1988,No migration background,male,Yes,0.11563,544,3418,0.10491,0.12636
1988,No migration background,male,No,0.72743,2874,3418,0.71250,0.74236
1988,No migration background,female,Yes,0.07345,375,3664,0.06500,0.08189
1988,No migration background,female,No,0.78654,3289,3664,0.77327,0.79981
1988,Direct migration background,male,Yes,0.07939,119,1407,0.06526,0.09352
1988,Direct migration background,male,No,0.84982,1288,1407,0.83115,0.86850
1988,Direct migration background,female,Yes,0.05050,92,1261,0.03841,0.06259
1988,Direct migration background,female,No,0.89099,1169,1261,0.87378,0.90820
1988,Indirect migration background,male,Yes,0.05832,55,105,0.01328,0.10336
1988,Indirect migration background,male,No,0.08607,50,105,0.03216,0.13997
1988,Indirect migration background,female,Yes,0.05518,51,115,0.01326,0.09709
1988,Indirect migration background,female,No,0.14138,64,115,0.07743,0.20534
1989,No migration background,male,Yes,0.12299,518,3295,0.11177,0.13420
1989,No migration background,male,No,0.72147,2777,3295,0.70616,0.73678
1989,No migration background,female,Yes,0.07059,338,3522,0.06213,0.07905
