year,pgisced97,sampreg,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,West,Yes,0.96435,187,187,0.93770,0.99099
1984,Primary Level,West,Yes,0.08974,40,999,0.07201,0.10748
1984,Primary Level,West,No,0.90984,959,999,0.89207,0.92761
1984,Lower Secondary Level,West,Yes,0.14994,546,3445,0.13802,0.16187
1984,Lower Secondary Level,West,No,0.84846,2899,3445,0.83648,0.86044
1984,Upper Secondary Level,West,Yes,0.07763,480,5698,0.07068,0.08458
1984,Upper Secondary Level,West,No,0.92078,5218,5698,0.91376,0.92779
1984,Post-secondary Non-tertiary Level,West,Yes,0.19450,55,309,0.15030,0.23871
1984,Post-secondary Non-tertiary Level,West,No,0.80550,254,309,0.76129,0.84970
1984,First Stage of Tertiary Education,West,Yes,0.04699,33,659,0.03082,0.06315
1984,First Stage of Tertiary Education,West,No,0.95301,626,659,0.93685,0.96918
1984,Second Stage of Tertiary Education,West,Yes,0.09486,85,788,0.07439,0.11533
1984,Second Stage of Tertiary Education,West,No,0.90257,703,788,0.88185,0.92329
1985,Pre-primary Level,West,Yes,0.99798,187,187,0.99152,1.00443
1985,Primary Level,West,Yes,0.09274,31,833,0.07303,0.11245
1985,Primary Level,West,No,0.90636,802,833,0.88657,0.92616
1985,Lower Secondary Level,West,Yes,0.16170,514,3055,0.14864,0.17476
1985,Lower Secondary Level,West,No,0.83646,2541,3055,0.82334,0.84958
1985,Upper Secondary Level,West,Yes,0.07471,436,5172,0.06755,0.08188
1985,Upper Secondary Level,West,No,0.92360,4736,5172,0.91636,0.93084
1985,Post-secondary Non-tertiary Level,West,Yes,0.21781,55,273,0.16876,0.26686
1985,Post-secondary Non-tertiary Level,West,No,0.77717,218,273,0.72771,0.82663
1985,First Stage of Tertiary Education,West,Yes,0.05862,39,618,0.04008,0.07715
1985,First Stage of Tertiary Education,West,No,0.94028,579,618,0.92159,0.95898
1985,Second Stage of Tertiary Education,West,Yes,0.07374,63,754,0.05507,0.09240
1985,Second Stage of Tertiary Education,West,No,0.92590,691,754,0.90720,0.94461
1986,Primary Level,West,Yes,0.11408,43,778,0.09173,0.13644
1986,Primary Level,West,No,0.88592,735,778,0.86356,0.90827
1986,Lower Secondary Level,West,Yes,0.15568,510,2906,0.14250,0.16887
1986,Lower Secondary Level,West,No,0.84356,2396,2906,0.83035,0.85677
1986,Upper Secondary Level,West,Yes,0.08039,439,4993,0.07285,0.08793
1986,Upper Secondary Level,West,No,0.91961,4554,4993,0.91207,0.92715
1986,Post-secondary Non-tertiary Level,West,Yes,0.15143,42,274,0.10891,0.19395
1986,Post-secondary Non-tertiary Level,West,No,0.84857,232,274,0.80605,0.89109
1986,First Stage of Tertiary Education,West,Yes,0.04884,32,581,0.03130,0.06638
