year,age_gr,quintil_oecd,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Yes,0.47712,312,788,0.44223,0.51202
1984,17-29 y.,1st Quintile,No,0.52052,476,788,0.48561,0.55542
1984,17-29 y.,2nd Quintile,Yes,0.45408,283,684,0.41674,0.49142
1984,17-29 y.,2nd Quintile,No,0.54387,401,684,0.50651,0.58122
1984,17-29 y.,3rd Quintile,Yes,0.38837,247,660,0.35116,0.42558
1984,17-29 y.,3rd Quintile,No,0.61163,413,660,0.57442,0.64884
1984,17-29 y.,4th Quintile,Yes,0.36541,249,730,0.33045,0.40037
1984,17-29 y.,4th Quintile,No,0.63459,481,730,0.59963,0.66955
1984,17-29 y.,5th Quintile,Yes,0.33751,172,559,0.29828,0.37675
1984,17-29 y.,5th Quintile,No,0.65971,387,559,0.62039,0.69902
1984,30-45 y.,1st Quintile,No,0.96178,765,765,0.94818,0.97537
1984,30-45 y.,2nd Quintile,No,0.96451,765,765,0.95139,0.97763
1984,30-45 y.,3rd Quintile,No,0.95971,734,734,0.94548,0.97395
1984,30-45 y.,4th Quintile,Yes,0.05699,35,783,0.04074,0.07323
1984,30-45 y.,4th Quintile,No,0.93974,748,783,0.92306,0.95642
1984,30-45 y.,5th Quintile,No,0.95926,754,754,0.94514,0.97338
1984,46-65 y.,1st Quintile,No,0.98920,554,554,0.98058,0.99781
1984,46-65 y.,2nd Quintile,No,0.99591,650,650,0.99101,1.00082
1984,46-65 y.,3rd Quintile,No,0.99109,692,692,0.98408,0.99810
1984,46-65 y.,4th Quintile,No,0.99222,760,760,0.98596,0.99847
1984,46-65 y.,5th Quintile,No,0.98160,865,865,0.97264,0.99056
1984,66 and older,1st Quintile,No,0.99907,350,350,0.99588,1.00226
1984,66 and older,2nd Quintile,No,0.99629,275,275,0.98910,1.00349
1984,66 and older,3rd Quintile,No,0.99605,236,236,0.98804,1.00407
1984,66 and older,4th Quintile,No,0.99661,204,204,0.98862,1.00461
1984,66 and older,5th Quintile,No,0.99543,194,194,0.98591,1.00495
1985,17-29 y.,1st Quintile,Yes,0.48877,319,773,0.45351,0.52404
1985,17-29 y.,1st Quintile,No,0.50946,454,773,0.47420,0.54473
1985,17-29 y.,2nd Quintile,Yes,0.43377,237,582,0.39347,0.47407
1985,17-29 y.,2nd Quintile,No,0.56612,345,582,0.52582,0.60642
1985,17-29 y.,3rd Quintile,Yes,0.44884,268,646,0.41046,0.48723
1985,17-29 y.,3rd Quintile,No,0.54970,378,646,0.51131,0.58810
1985,17-29 y.,4th Quintile,Yes,0.36514,220,628,0.32745,0.40283
1985,17-29 y.,4th Quintile,No,0.63114,408,628,0.59337,0.66891
1985,17-29 y.,5th Quintile,Yes,0.37744,177,499,0.33487,0.42002
1985,17-29 y.,5th Quintile,No,0.62037,322,499,0.57775,0.66300
1985,30-45 y.,1st Quintile,No,0.94657,662,662,0.92943,0.96371
1985,30-45 y.,2nd Quintile,No,0.97683,736,736,0.96596,0.98771
1985,30-45 y.,3rd Quintile,No,0.95825,621,621,0.94250,0.97399
1985,30-45 y.,4th Quintile,No,0.95421,654,654,0.93817,0.97024
1985,30-45 y.,5th Quintile,No,0.95377,679,679,0.93796,0.96957
1985,46-65 y.,1st Quintile,No,0.99633,532,532,0.99118,1.00147
1985,46-65 y.,2nd Quintile,No,0.99763,563,563,0.99361,1.00165
1985,46-65 y.,3rd Quintile,No,0.99463,697,697,0.98920,1.00006
