year,age_gr,regtyp,plj0080_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1997,18-29 y.,Urban regions,In some respects,0.3389830508474576,16487,0.33175734060313067,0.34620876109178456
1997,18-29 y.,Urban regions,Strongly,0.27627118644067794,16487,0.2694455841352151,0.2830967887461408
1997,18-29 y.,Urban regions,Very strongly,0.19152542372881357,16487,0.1855187830629536,0.19753206439467352
1997,18-29 y.,Urban regions,Hardly,0.1423728813559322,16487,0.13703894115853926,0.14770682155332515
1997,18-29 y.,Urban regions,Not at all,0.05084745762711865,16487,0.04749403815648963,0.054200877097747666
1997,18-29 y.,Rural regions,Strongly,0.2988505747126437,16487,0.29186314276423464,0.30583800666105276
1997,18-29 y.,Rural regions,In some respects,0.27586206896551724,16487,0.2690395948700996,0.2826845430609349
1997,18-29 y.,Rural regions,Very strongly,0.21839080459770116,16487,0.21208417598846788,0.22469743320693444
1997,18-29 y.,Rural regions,Hardly,0.13793103448275862,16487,0.13266738144299595,0.1431946875225213
1997,18-29 y.,Rural regions,Not at all,0.06896551724137931,16487,0.06509753800223886,0.07283349648051976
1997,30-45 y.,Urban regions,Strongly,0.32802547770700635,16487,0.32085884009808213,0.33519211531593057
1997,30-45 y.,Urban regions,In some respects,0.29936305732484075,16487,0.2923721930340945,0.306353921615587
1997,30-45 y.,Urban regions,Very strongly,0.22611464968152867,16487,0.21972925251105282,0.2325000468520045
1997,30-45 y.,Urban regions,Hardly,0.09554140127388536,16487,0.09105420153533021,0.1000286010124405
1997,30-45 y.,Urban regions,Not at all,0.050955414012738856,16487,0.04759862745270649,0.054312200572771224
1997,30-45 y.,Rural regions,Strongly,0.41509433962264153,16487,0.40757288966934885,0.4226157895759342
1997,30-45 y.,Rural regions,Very strongly,0.25471698113207547,16487,0.24806616694002798,0.26136779532412296
1997,30-45 y.,Rural regions,In some respects,0.22641509433962265,16487,0.22002669679380277,0.23280349188544253
1997,30-45 y.,Rural regions,Hardly,0.0660377358490566,16487,0.062246803760829236,0.06982866793728397
1997,30-45 y.,Rural regions,Not at all,0.03773584905660377,16487,0.03482707847887108,0.040644619634336465
1997,46-65 y.,Urban regions,Strongly,0.36451612903225805,16487,0.3571693683454843,0.3718628897190318
1997,46-65 y.,Urban regions,Very strongly,0.3193548387096774,16487,0.3122380776735092,0.3264715997458456
1997,46-65 y.,Urban regions,In some respects,0.22903225806451613,16487,0.22261792239392192,0.23544659373511034
1997,46-65 y.,Urban regions,Hardly,0.054838709677419356,16487,0.05136349346667171,0.058313925888167
1997,46-65 y.,Urban regions,Not at all,0.03225806451612903,16487,0.029561044398774158,0.03495508463348391
1997,46-65 y.,Rural regions,Very strongly,0.36363636363636365,16487,0.3562933965273219,0.3709793307454054
1997,46-65 y.,Rural regions,In some respects,0.2727272727272727,16487,0.2659290061857531,0.2795255392687923
1997,46-65 y.,Rural regions,Strongly,0.23232323232323232,16487,0.22587678004618336,0.23876968460028128
1997,46-65 y.,Rural regions,Hardly,0.08080808080808081,16487,0.07664786607733928,0.08496829553882235
1997,46-65 y.,Rural regions,Not at all,0.050505050505050504,16487,0.04716233830248504,0.053847762707615966
1997,66 and older,Urban regions,Strongly,0.37349397590361444,16487,0.3661100100657583,0.3808779417414706
1997,66 and older,Urban regions,Very strongly,0.25301204819277107,16487,0.24637595231380044,0.2596481440717417
1997,66 and older,Urban regions,In some respects,0.25301204819277107,16487,0.24637595231380044,0.2596481440717417
1997,66 and older,Urban regions,Not at all,0.07228915662650602,16487,0.06833614448930017,0.07624216876371187
1997,66 and older,Urban regions,Hardly,0.04819277108433735,16487,0.044923501746220625,0.05146204042245408
1997,66 and older,Rural regions,In some respects,0.3333333333333333,16487,0.3261375348007565,0.3405291318659101
1997,66 and older,Rural regions,Strongly,0.25,16487,0.2433902369887446,0.25660976301125543
1997,66 and older,Rural regions,Hardly,0.25,16487,0.2433902369887446,0.25660976301125543
1997,66 and older,Rural regions,Very strongly,0.08333333333333333,16487,0.07911442247811927,0.08755224418854739
1997,66 and older,Rural regions,Not at all,0.08333333333333333,16487,0.07911442247811927,0.08755224418854739
1999,18-29 y.,Urban regions,In some respects,0.3695652173913043,17396,0.3623922806658246,0.3767381541167841
1999,18-29 y.,Urban regions,Strongly,0.21936758893280633,17396,0.21321807354990674,0.22551710431570593
