year,migback,plj0080_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1997,No migration background,In some respects,0.5,16487,0.4923677030923441,0.5076322969076559
1997,No migration background,Not at all,0.3333333333333333,16487,0.3261375348007565,0.3405291318659101
1997,No migration background,Hardly,0.16666666666666666,16487,0.16097788843000665,0.17235544490332666
1997,Direct migration background,Strongly,0.3356309650053022,16487,0.328422862492652,0.3428390675179524
1997,Direct migration background,Very strongly,0.2672322375397667,16487,0.2604774319557454,0.273987043123788
1997,Direct migration background,In some respects,0.26193001060445387,16487,0.25521840147560915,0.2686416197332986
1997,Direct migration background,Hardly,0.0911983032873807,16487,0.08680376557048394,0.09559284100427745
1997,Direct migration background,Not at all,0.0440084835630965,16487,0.040877502264797146,0.047139464861395856
1997,Indirect migration background,In some respects,0.3993993993993994,16487,0.39192318345385146,0.4068756153449473
1997,Indirect migration background,Strongly,0.2672672672672673,16487,0.2605121804442617,0.27402235409027287
1997,Indirect migration background,Very strongly,0.15915915915915915,16487,0.15357499766830263,0.16474332065001568
1997,Indirect migration background,Hardly,0.11711711711711711,16487,0.11220863754847389,0.12202559668576034
1997,Indirect migration background,Not at all,0.057057057057057055,16487,0.053516409948381444,0.060597704165732666
1999,No migration background,In some respects,0.4444444444444444,17396,0.4370602374857013,0.45182865140318756
1999,No migration background,Hardly,0.3333333333333333,17396,0.3263280595222253,0.3403386071444413
1999,No migration background,Not at all,0.2222222222222222,17396,0.21604415143218705,0.22840029301225737
1999,Direct migration background,Strongly,0.3193939393939394,17396,0.3124653852783016,0.3263224935095772
1999,Direct migration background,In some respects,0.276969696969697,17396,0.27031963412490856,0.2836197598144854
1999,Direct migration background,Very strongly,0.24484848484848484,17396,0.2384585396825265,0.2512384300144432
1999,Direct migration background,Hardly,0.09696969696969697,17396,0.0925722505840056,0.10136714335538834
1999,Direct migration background,Not at all,0.06181818181818182,17396,0.05823941838081656,0.06539694525554708
1999,Indirect migration background,In some respects,0.43874643874643876,17396,0.4313721909193616,0.44612068657351595
1999,Indirect migration background,Strongly,0.23931623931623933,17396,0.23297579738969776,0.2456566812427809
1999,Indirect migration background,Hardly,0.15954415954415954,17396,0.1541025261861426,0.1649857929021765
1999,Indirect migration background,Very strongly,0.12535612535612536,17396,0.12043550587855906,0.13027674483369167
1999,Indirect migration background,Not at all,0.037037037037037035,17396,0.03423060660096871,0.03984346747310536
2001,No migration background,In some respects,0.36363636363636365,27798,0.3579813243474171,0.3692914029253102
2001,No migration background,Hardly,0.36363636363636365,27798,0.3579813243474171,0.3692914029253102
2001,No migration background,Not at all,0.2727272727272727,27798,0.2674917236885625,0.2779628217659829
2001,Direct migration background,In some respects,0.3286427598729006,27798,0.3231208645572103,0.3341646551885909
2001,Direct migration background,Strongly,0.29777576032682707,27798,0.29240009930176813,0.303151421351886
2001,Direct migration background,Very strongly,0.17385383567862006,27798,0.16939860823703282,0.1783090631202073
2001,Direct migration background,Hardly,0.1289151157512483,27798,0.12497570327225382,0.1328545282302428
2001,Direct migration background,Not at all,0.070812528370404,27798,0.06779705137663208,0.07382800536417591
2001,Indirect migration background,In some respects,0.42930591259640105,27798,0.4234870993672796,0.43512472582552253
2001,Indirect migration background,Strongly,0.2416452442159383,27798,0.23661285028956922,0.2466776381423074
2001,Indirect migration background,Hardly,0.18251928020565553,27798,0.17797837507033826,0.1870601853409728
2001,Indirect migration background,Very strongly,0.10539845758354756,27798,0.10178867333893597,0.10900824182815914
2001,Indirect migration background,Not at all,0.04113110539845758,27798,0.03879649668573948,0.04346571411117568
2003,No migration background,Not at all,0.3695652173913043,27727,0.3638836225830826,0.37524681219952605
2003,No migration background,Hardly,0.2391304347826087,27727,0.23410958574931595,0.24415128381590145
2003,No migration background,In some respects,0.21739130434782608,27727,0.21253620580790777,0.2222464028877444
2003,No migration background,Strongly,0.10869565217391304,27727,0.10503191991036563,0.11235938443746045
2003,No migration background,Very strongly,0.06521739130434782,27727,0.062311083195552945,0.06812369941314271
