year,plj0080_h,pgisced97,proportion,n,lower_confidence,upper_confidence
1997,Very strongly,general elementary,0.3218390804597701,16487,0.31470774245459876,0.32897041846494146
1997,Very strongly,middle vocational,0.31226053639846746,16487,0.3051866875475372,0.3193343852493977
1997,Very strongly,inadequately,0.2777777777777778,16487,0.2709407172354374,0.2846148383201182
1997,Very strongly,vocational + Abi,0.04789272030651341,16487,0.04463313052182362,0.051152310091203204
1997,Very strongly,higher education,0.028735632183908046,16487,0.026185490215750114,0.03128577415206598
1997,Very strongly,higher vocational,0.005747126436781609,16487,0.004593250661781026,0.006901002211782192
1997,Very strongly,in school,0.005747126436781609,16487,0.004593250661781026,0.006901002211782192
1997,Strongly,general elementary,0.3416422287390029,16487,0.3344028381522497,0.3488816193257561
1997,Strongly,middle vocational,0.34017595307917886,16487,0.33294407448010965,0.34740783167824807
1997,Strongly,inadequately,0.22287390029325513,16487,0.2165211672374518,0.22922663334905846
1997,Strongly,vocational + Abi,0.045454545454545456,16487,0.04227494742675359,0.04863414348233732
1997,Strongly,higher education,0.03519061583577713,16487,0.03237794153298263,0.03800329013857163
1997,Strongly,in school,0.008797653958944282,16487,0.00737221097443211,0.010223096943456455
1997,Strongly,higher vocational,0.005865102639296188,16487,0.004699512887518953,0.007030692391073423
1997,In some respects,middle vocational,0.4023372287145242,16487,0.3948519415776608,0.4098225158513876
1997,In some respects,general elementary,0.2904841402337229,16487,0.2835542314340282,0.29741404903341756
1997,In some respects,inadequately,0.11018363939899833,16487,0.10540401243752753,0.11496326636046914
1997,In some respects,higher education,0.09015025041736227,16487,0.08577851811053906,0.09452198272418548
1997,In some respects,vocational + Abi,0.08013355592654424,16487,0.0759892209787597,0.08427789087432878
1997,In some respects,in school,0.021702838063439065,16487,0.019478612058062537,0.023927064068815593
1997,In some respects,higher vocational,0.005008347245409015,16487,0.003930785445025593,0.006085909045792437
1997,Hardly,middle vocational,0.3582089552238806,16487,0.3508899796403556,0.36552793080740553
1997,Hardly,general elementary,0.3333333333333333,16487,0.3261375348007565,0.3405291318659101
1997,Hardly,inadequately,0.1044776119402985,16487,0.09980849130483967,0.10914673257575734
1997,Hardly,vocational + Abi,0.0845771144278607,16487,0.0803297202523527,0.0888245086033687
1997,Hardly,higher education,0.0845771144278607,16487,0.0803297202523527,0.0888245086033687
1997,Hardly,higher vocational,0.01990049751243781,16487,0.017768668817063512,0.02203232620781211
1997,Hardly,in school,0.014925373134328358,16487,0.013074475427063262,0.016776270841593454
1997,Not at all,middle vocational,0.41836734693877553,16487,0.41083745865505217,0.4258972352224989
1997,Not at all,general elementary,0.35714285714285715,16487,0.3498287136957229,0.3644570005899914
1997,Not at all,higher education,0.11224489795918367,16487,0.10742636154231355,0.1170634343760538
1997,Not at all,vocational + Abi,0.07142857142857142,16487,0.06749733744998306,0.0753598054071598
1997,Not at all,inadequately,0.030612244897959183,16487,0.027982693847402783,0.03324179594851558
1997,Not at all,higher vocational,0.01020408163265306,16487,0.008670012103171611,0.01173815116213451
1999,Very strongly,general elementary,0.33966745843230406,17396,0.3326296135146195,0.3467053033499886
