year,plj0080_h,age_gr,pgisced97,proportion,n,lower_confidence,upper_confidence
1997,Very strongly,46-65 y.,inadequately,0.19540229885057472,16487,0.18934973359512094,0.2014548641060285
1997,Very strongly,46-65 y.,general elementary,0.13218390804597702,16487,0.1270139336085593,0.13735388248339472
1997,Very strongly,30-45 y.,middle vocational,0.11494252873563218,16487,0.11007384726243453,0.11981121020882983
1997,Very strongly,46-65 y.,middle vocational,0.09578544061302682,16487,0.09129311992806807,0.10027776129798557
1997,Very strongly,30-45 y.,general elementary,0.09578544061302682,16487,0.09129311992806807,0.10027776129798557
1997,Very strongly,18-29 y.,middle vocational,0.08812260536398467,16487,0.08379550327509551,0.09244970745287383
1997,Very strongly,18-29 y.,general elementary,0.08620689655172414,16487,0.08192259337600356,0.09049119972744472
1997,Very strongly,30-45 y.,inadequately,0.05938697318007663,16487,0.05577922395261445,0.06299472240753881
1997,Very strongly,30-45 y.,vocational + Abi,0.019157088122605363,16487,0.01706466394360398,0.021249512301606745
1997,Very strongly,18-29 y.,vocational + Abi,0.017241379310344827,16487,0.015254393861598934,0.019228364759090722
1997,Very strongly,66 and older,inadequately,0.01532567049808429,16487,0.013450497665357025,0.017200843330811556
1997,Very strongly,30-45 y.,higher education,0.013409961685823755,16487,0.011654192657141156,0.015165730714506354
1997,Very strongly,66 and older,middle vocational,0.013409961685823755,16487,0.011654192657141156,0.015165730714506354
1997,Very strongly,46-65 y.,vocational + Abi,0.009578544061302681,16487,0.00809176983759459,0.011065318285010773
1997,Very strongly,66 and older,general elementary,0.007662835249042145,16487,0.006331738493354597,0.008993932004729694
1997,Very strongly,18-29 y.,inadequately,0.007662835249042145,16487,0.006331738493354597,0.008993932004729694
1997,Very strongly,46-65 y.,higher education,0.007662835249042145,16487,0.006331738493354597,0.008993932004729694
1997,Very strongly,18-29 y.,higher education,0.005747126436781609,16487,0.004593250661781026,0.006901002211782192
1997,Very strongly,18-29 y.,in school,0.005747126436781609,16487,0.004593250661781026,0.006901002211782192
1997,Very strongly,66 and older,higher vocational,0.0019157088122605363,16487,0.001248235953162701,0.0025831816713583716
1997,Very strongly,66 and older,higher education,0.0019157088122605363,16487,0.001248235953162701,0.0025831816713583716
1997,Very strongly,30-45 y.,higher vocational,0.0019157088122605363,16487,0.001248235953162701,0.0025831816713583716
1997,Very strongly,66 and older,vocational + Abi,0.0019157088122605363,16487,0.001248235953162701,0.0025831816713583716
