year,hhtyp,quintil_oecd_hh,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Single-person household,Not included in this version of the questionnaire,,,,,,,,,,,,
1984,Single-person household,1st Quintile,,,,,,,,,,,,
1984,Single-person household,2nd Quintile,,,,,,,,,,,,
1984,Single-person household,3rd Quintile,,,,,,,,,,,,
1984,Single-person household,4th Quintile,,,,,,,,,,,,
1984,Single-person household,5th Quintile,,,,,,,,,,,,
1984,Couple without children,Not included in this version of the questionnaire,,,,,,,,,,,,
1984,Couple without children,1st Quintile,,,,,,,,,,,,
1984,Couple without children,2nd Quintile,,,,,,,,,,,,
1984,Couple without children,3rd Quintile,,,,,,,,,,,,
1984,Couple without children,4th Quintile,,,,,,,,,,,,
1984,Couple without children,5th Quintile,,,,,,,,,,,,
1984,Single parent,1st Quintile,,,,,,,,,,,,
1984,Single parent,2nd Quintile,,,,,,,,,,,,
1984,Single parent,3rd Quintile,,,,,,,,,,,,
1984,Single parent,4th Quintile,,,,,,,,,,,,
1984,Single parent,5th Quintile,,,,,,,,,,,,
1984,Couple with children,Not included in this version of the questionnaire,,,,,,,,,,,,
1984,Couple with children,1st Quintile,,,,,,,,,,,,
1984,Couple with children,2nd Quintile,,,,,,,,,,,,
1984,Couple with children,3rd Quintile,,,,,,,,,,,,
1984,Couple with children,4th Quintile,,,,,,,,,,,,
1984,Couple with children,5th Quintile,,,,,,,,,,,,
1984,Multi-generational household,1st Quintile,,,,,,,,,,,,
1984,Multi-generational household,2nd Quintile,,,,,,,,,,,,
1984,Multi-generational household,3rd Quintile,,,,,,,,,,,,
1984,Multi-generational household,4th Quintile,,,,,,,,,,,,
1984,Multi-generational household,5th Quintile,,,,,,,,,,,,
1984,Other Combinations,1st Quintile,,,,,,,,,,,,
1984,Other Combinations,2nd Quintile,,,,,,,,,,,,
1984,Other Combinations,3rd Quintile,,,,,,,,,,,,
1984,Other Combinations,4th Quintile,,,,,,,,,,,,
1984,Other Combinations,5th Quintile,,,,,,,,,,,,
1985,Single-person household,Not included in this version of the questionnaire,,,,,,,,,,,,
1985,Single-person household,1st Quintile,,,,,,,,,,,,
1985,Single-person household,2nd Quintile,,,,,,,,,,,,
1985,Single-person household,3rd Quintile,,,,,,,,,,,,
1985,Single-person household,4th Quintile,,,,,,,,,,,,
1985,Single-person household,5th Quintile,,,,,,,,,,,,
1985,Couple without children,Not included in this version of the questionnaire,,,,,,,,,,,,
1985,Couple without children,1st Quintile,,,,,,,,,,,,
1985,Couple without children,2nd Quintile,,,,,,,,,,,,
1985,Couple without children,3rd Quintile,,,,,,,,,,,,
1985,Couple without children,4th Quintile,,,,,,,,,,,,
1985,Couple without children,5th Quintile,,,,,,,,,,,,
1985,Single parent,Not included in this version of the questionnaire,,,,,,,,,,,,
1985,Single parent,1st Quintile,,,,,,,,,,,,
1985,Single parent,2nd Quintile,,,,,,,,,,,,
1985,Single parent,3rd Quintile,,,,,,,,,,,,
1985,Single parent,4th Quintile,,,,,,,,,,,,
1985,Single parent,5th Quintile,,,,,,,,,,,,
1985,Couple with children,1st Quintile,,,,,,,,,,,,
1985,Couple with children,2nd Quintile,,,,,,,,,,,,
1985,Couple with children,3rd Quintile,,,,,,,,,,,,
1985,Couple with children,4th Quintile,,,,,,,,,,,,
1985,Couple with children,5th Quintile,,,,,,,,,,,,
1985,Multi-generational household,1st Quintile,,,,,,,,,,,,
1985,Multi-generational household,2nd Quintile,,,,,,,,,,,,
1985,Multi-generational household,3rd Quintile,,,,,,,,,,,,
1985,Multi-generational household,4th Quintile,,,,,,,,,,,,
1985,Multi-generational household,5th Quintile,,,,,,,,,,,,
1985,Other Combinations,1st Quintile,,,,,,,,,,,,
1985,Other Combinations,2nd Quintile,,,,,,,,,,,,
1985,Other Combinations,3rd Quintile,,,,,,,,,,,,
1985,Other Combinations,4th Quintile,,,,,,,,,,,,
1985,Other Combinations,5th Quintile,,,,,,,,,,,,
1986,Single-person household,Not included in this version of the questionnaire,,,,,,,,,,,,
1986,Single-person household,1st Quintile,237,48.02029,44.60040,51.44017,30.00000,46.00000,57.93961,0.00000,99.84902,,,
1986,Single-person household,2nd Quintile,146,54.25920,47.84509,60.67330,38.00000,51.00000,61.94696,2.07957,97.86739,,,
1986,Single-person household,3rd Quintile,170,53.37640,49.90443,56.84838,37.18584,51.00000,66.00000,0.00000,109.22124,,,
1986,Single-person household,4th Quintile,180,56.95575,52.19615,61.71536,37.81032,51.00000,66.00000,0.00000,108.28452,,,
1986,Single-person household,5th Quintile,112,73.34345,66.24580,80.44110,47.05033,70.09731,98.87285,12.00000,176.60664,,,
1986,Couple without children,1st Quintile,104,59.67827,54.48245,64.87409,46.00000,53.00000,71.00000,8.50000,108.50000,,,
1986,Couple without children,2nd Quintile,113,74.35002,66.68587,82.01417,46.00000,63.32507,92.55310,25.00000,162.38276,,,
1986,Couple without children,3rd Quintile,132,68.59863,62.45871,74.73855,45.82459,61.00000,81.00000,0.00000,133.76312,,,
1986,Couple without children,4th Quintile,195,70.31609,65.04619,75.58599,51.00000,63.00000,80.48407,6.77390,124.71017,,,
1986,Couple without children,5th Quintile,201,73.93400,69.31958,78.54842,51.00000,66.00000,92.00000,0.00000,153.50000,,,
1986,Single parent,1st Quintile,80,70.74238,62.13895,79.34582,41.31342,59.78336,89.50021,0.00000,161.78040,,,
1986,Single parent,2nd Quintile,44,72.88467,62.61217,83.15718,51.00000,63.33536,76.00000,25.00000,113.50000,,,
1986,Single parent,3rd Quintile,41,67.40574,57.10255,77.70894,50.80956,62.44511,84.00000,7.00000,133.78566,,,
1986,Single parent,4th Quintile,,,,,,,,,,,,
1986,Single parent,5th Quintile,,,,,,,,,,,,
1986,Couple with children,1st Quintile,324,72.54057,68.88378,76.19736,51.00000,66.00000,89.00000,0.00000,146.00000,,,
1986,Couple with children,2nd Quintile,345,83.19105,79.27075,87.11134,56.00000,76.00000,102.00000,0.00000,171.00000,,,
1986,Couple with children,3rd Quintile,307,84.48077,79.20469,89.75685,53.00000,76.00000,102.00000,0.00000,175.50000,,,
1986,Couple with children,4th Quintile,201,89.02240,82.82045,95.22435,60.35562,76.00000,104.52087,0.00000,170.76876,,,
1986,Couple with children,5th Quintile,97,102.89509,93.09246,112.69772,65.30319,92.00000,144.46079,0.00000,204.00000,,,
1986,Multi-generational household,1st Quintile,,,,,,,,,,,,
1986,Multi-generational household,2nd Quintile,,,,,,,,,,,,
1986,Multi-generational household,3rd Quintile,,,,,,,,,,,,
1986,Multi-generational household,4th Quintile,,,,,,,,,,,,
1986,Multi-generational household,5th Quintile,,,,,,,,,,,,
1986,Other Combinations,Not included in this version of the questionnaire,,,,,,,,,,,,
1986,Other Combinations,1st Quintile,,,,,,,,,,,,
1986,Other Combinations,2nd Quintile,,,,,,,,,,,,
1986,Other Combinations,3rd Quintile,,,,,,,,,,,,
1986,Other Combinations,4th Quintile,,,,,,,,,,,,
1986,Other Combinations,5th Quintile,,,,,,,,,,,,
1987,Single-person household,Not included in this version of the questionnaire,,,,,,,,,,,,
1987,Single-person household,1st Quintile,233,50.23081,44.52452,55.93710,30.00000,46.00000,58.00000,0.00000,100.00000,,,
1987,Single-person household,2nd Quintile,158,46.87102,42.67753,51.06450,30.00000,46.00000,51.00000,0.00000,82.50000,,,
1987,Single-person household,3rd Quintile,173,53.50847,49.90436,57.11258,40.00000,51.00000,62.00000,7.00000,95.00000,,,
1987,Single-person household,4th Quintile,150,51.46277,47.39963,55.52592,30.00000,51.00000,66.00000,0.00000,120.00000,,,
1987,Single-person household,5th Quintile,131,66.52837,59.43748,73.61926,40.00000,56.00000,76.00000,0.00000,130.00000,,,
1987,Couple without children,1st Quintile,83,62.10980,54.91695,69.30266,40.00000,53.38231,76.00000,0.00000,130.00000,,,
