year,ple0009,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,"Yes, strongly limited",0.08781,2505,27024,0.08444,0.09119
2012,"Yes, somewhat limited",0.21752,6673,27024,0.21260,0.22244
2012,"No, not limited at all",0.50856,17846,27024,0.50260,0.51452
2013,"Yes, strongly limited",0.08742,2567,30334,0.08424,0.09060
2013,"Yes, somewhat limited",0.20121,6711,30334,0.19670,0.20573
2013,"No, not limited at all",0.53957,21056,30334,0.53396,0.54518
2015,"Yes, strongly limited",0.08967,2298,26346,0.08622,0.09312
2015,"Yes, somewhat limited",0.20675,6095,26346,0.20186,0.21164
2015,"No, not limited at all",0.52760,17953,26346,0.52157,0.53363
2019,"Yes, strongly limited",0.08680,2447,28927,0.08355,0.09004
2019,"Yes, somewhat limited",0.22059,6933,28927,0.21582,0.22537
2019,"No, not limited at all",0.52510,19547,28927,0.51935,0.53086
2021,"Yes, strongly limited",0.07859,1456,19521,0.07482,0.08237
2021,"Yes, somewhat limited",0.20680,4413,19521,0.20112,0.21248
2021,"No, not limited at all",0.54465,13652,19521,0.53766,0.55164
