year,age_gr,regtyp,ple0009,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,17-29 y.,Urban regions,"Yes, strongly limited",0.01149,43,2516,0.00733,0.01566
2012,17-29 y.,Urban regions,"Yes, somewhat limited",0.08686,260,2516,0.07585,0.09787
2012,17-29 y.,Urban regions,"No, not limited at all",0.80487,2213,2516,0.78938,0.82036
2012,17-29 y.,Rural regions,"Yes, somewhat limited",0.12624,188,1352,0.10853,0.14395
2012,17-29 y.,Rural regions,"No, not limited at all",0.74903,1164,1352,0.72591,0.77215
2012,30-45 y.,Urban regions,"Yes, strongly limited",0.03510,232,5741,0.03034,0.03986
2012,30-45 y.,Urban regions,"Yes, somewhat limited",0.17193,994,5741,0.16217,0.18169
2012,30-45 y.,Urban regions,"No, not limited at all",0.76299,4515,5741,0.75199,0.77399
2012,30-45 y.,Rural regions,"Yes, strongly limited",0.03641,108,3174,0.02989,0.04292
2012,30-45 y.,Rural regions,"Yes, somewhat limited",0.19806,586,3174,0.18419,0.21192
2012,30-45 y.,Rural regions,"No, not limited at all",0.73054,2480,3174,0.71510,0.74598
2012,46-65 y.,Urban regions,"Yes, strongly limited",0.10639,568,5641,0.09834,0.11444
2012,46-65 y.,Urban regions,"Yes, somewhat limited",0.29038,1586,5641,0.27853,0.30223
2012,46-65 y.,Urban regions,"No, not limited at all",0.57014,3487,5641,0.55722,0.58306
2012,46-65 y.,Rural regions,"Yes, strongly limited",0.11402,403,3474,0.10345,0.12459
2012,46-65 y.,Rural regions,"Yes, somewhat limited",0.29324,1045,3474,0.27810,0.30838
2012,46-65 y.,Rural regions,"No, not limited at all",0.55040,2026,3474,0.53386,0.56695
2012,66 and older,Urban regions,"Yes, strongly limited",0.21613,674,3248,0.20197,0.23028
2012,66 and older,Urban regions,"Yes, somewhat limited",0.39410,1266,3248,0.37729,0.41091
2012,66 and older,Urban regions,"No, not limited at all",0.36618,1308,3248,0.34961,0.38275
2012,66 and older,Rural regions,"Yes, strongly limited",0.25110,452,1853,0.23135,0.27085
2012,66 and older,Rural regions,"Yes, somewhat limited",0.39669,748,1853,0.37441,0.41897
2012,66 and older,Rural regions,"No, not limited at all",0.32729,653,1853,0.30592,0.34866
2013,17-29 y.,Urban regions,"Yes, strongly limited",0.01236,58,3454,0.00867,0.01605
2013,17-29 y.,Urban regions,"Yes, somewhat limited",0.08307,346,3454,0.07386,0.09227
2013,17-29 y.,Urban regions,"No, not limited at all",0.83954,3050,3454,0.82730,0.85178
2013,17-29 y.,Rural regions,"Yes, strongly limited",0.02808,32,1549,0.01985,0.03631
2013,17-29 y.,Rural regions,"Yes, somewhat limited",0.08620,150,1549,0.07222,0.10018
2013,17-29 y.,Rural regions,"No, not limited at all",0.78486,1367,1549,0.76439,0.80533
2013,30-45 y.,Urban regions,"Yes, strongly limited",0.04012,267,6950,0.03551,0.04474
2013,30-45 y.,Urban regions,"Yes, somewhat limited",0.14362,1073,6950,0.13537,0.15186
2013,30-45 y.,Urban regions,"No, not limited at all",0.81082,5610,6950,0.80161,0.82003
2013,30-45 y.,Rural regions,"Yes, strongly limited",0.04867,133,3368,0.04141,0.05594
2013,30-45 y.,Rural regions,"Yes, somewhat limited",0.16063,582,3368,0.14823,0.17303
2013,30-45 y.,Rural regions,"No, not limited at all",0.77874,2653,3368,0.76472,0.79276
2013,46-65 y.,Urban regions,"Yes, strongly limited",0.11344,684,6364,0.10564,0.12123
2013,46-65 y.,Urban regions,"Yes, somewhat limited",0.27147,1624,6364,0.26055,0.28240
2013,46-65 y.,Urban regions,"No, not limited at all",0.59307,4056,6364,0.58099,0.60514
2013,46-65 y.,Rural regions,"Yes, strongly limited",0.11972,420,3697,0.10925,0.13018
2013,46-65 y.,Rural regions,"Yes, somewhat limited",0.27472,1037,3697,0.26033,0.28911
2013,46-65 y.,Rural regions,"No, not limited at all",0.58730,2240,3697,0.57143,0.60318
2013,66 and older,Urban regions,"Yes, strongly limited",0.20471,613,3184,0.19069,0.21872
2013,66 and older,Urban regions,"Yes, somewhat limited",0.37047,1195,3184,0.35369,0.38724
