"plh0039","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","2008","(noch) kein Abschluss","158","","",""
"Grosse Sorgen","2008","Hauptschule","2848","","",""
"Grosse Sorgen","2008","Realschule","1831","","",""
"Grosse Sorgen","2008","(Fach-)Abitur","605","0.282651195223586","0.263705575026816","0.301596815420355"
"Grosse Sorgen","2008","AkademikerIn","1231","","",""
"Einige Sorgen","2008","(noch) kein Abschluss","279","","",""
"Einige Sorgen","2008","Hauptschule","3117","0.455812114044596","0.443945758156582","0.467678469932609"
"Einige Sorgen","2008","Realschule","2556","","",""
"Einige Sorgen","2008","(Fach-)Abitur","1206","","",""
"Einige Sorgen","2008","AkademikerIn","2264","","",""
"Keine Sorgen","2008","(noch) kein Abschluss","105","","",""
"Keine Sorgen","2008","Hauptschule","802","0.116759882003345","0.109108564570972","0.124411199435719"
"Keine Sorgen","2008","Realschule","707","0.138798136320106","0.129303837015557","0.148292435624656"
"Keine Sorgen","2008","(Fach-)Abitur","359","0.157428996777252","0.142105289666126","0.172752703888378"
"Keine Sorgen","2008","AkademikerIn","685","0.185241304433826","0.173464068713475","0.197018540154178"
"Grosse Sorgen","2009","(noch) kein Abschluss","138","","",""
"Grosse Sorgen","2009","Hauptschule","2533","","",""
"Grosse Sorgen","2009","Realschule","1641","","",""
"Grosse Sorgen","2009","(Fach-)Abitur","544","0.280799631597161","0.261109538745164","0.300489724449158"
"Grosse Sorgen","2009","AkademikerIn","1087","","",""
"Einige Sorgen","2009","(noch) kein Abschluss","241","","",""
"Einige Sorgen","2009","Hauptschule","2887","","",""
"Einige Sorgen","2009","Realschule","2495","","",""
"Einige Sorgen","2009","(Fach-)Abitur","1105","","",""
"Einige Sorgen","2009","AkademikerIn","2269","","",""
"Keine Sorgen","2009","(noch) kein Abschluss","97","0.202462108476889","0.166363359183299","0.238560857770479"
"Keine Sorgen","2009","Hauptschule","747","0.115645753193738","0.107664169091843","0.123627337295632"
"Keine Sorgen","2009","Realschule","656","0.133067656215328","0.123451122842309","0.142684189588347"
"Keine Sorgen","2009","(Fach-)Abitur","352","0.177710998761526","0.160961803670217","0.194460193852836"
"Keine Sorgen","2009","AkademikerIn","665","0.170742443728504","0.159111993698506","0.182372893758503"
"Grosse Sorgen","2010","(noch) kein Abschluss","106","","",""
"Grosse Sorgen","2010","Hauptschule","2314","","",""
"Grosse Sorgen","2010","Realschule","1523","","",""
"Grosse Sorgen","2010","(Fach-)Abitur","502","0.282375268241566","0.262091457392704","0.302659079090428"
"Grosse Sorgen","2010","AkademikerIn","1088","","",""
"Einige Sorgen","2010","(noch) kein Abschluss","222","","",""
"Einige Sorgen","2010","Hauptschule","2565","","",""
"Einige Sorgen","2010","Realschule","2275","","",""
"Einige Sorgen","2010","(Fach-)Abitur","1041","","",""
"Einige Sorgen","2010","AkademikerIn","2075","","",""
"Keine Sorgen","2010","(noch) kein Abschluss","84","0.176733101129725","0.139900807934085","0.213565394325364"
"Keine Sorgen","2010","Hauptschule","682","0.120942409001901","0.112372630142715","0.129512187861087"
"Keine Sorgen","2010","Realschule","654","0.148757932927942","0.138305025133127","0.159210840722757"
"Keine Sorgen","2010","(Fach-)Abitur","349","0.197480605318084","0.179542460810655","0.215418749825512"
"Keine Sorgen","2010","AkademikerIn","657","0.190620361646217","0.178164402032316","0.203076321260118"
"Grosse Sorgen","2011","(noch) kein Abschluss","164","","",""
"Grosse Sorgen","2011","Hauptschule","2824","","",""
"Grosse Sorgen","2011","Realschule","1954","","",""
"Grosse Sorgen","2011","(Fach-)Abitur","678","0.28945285315435","0.271354260451249","0.307551445857451"
"Grosse Sorgen","2011","AkademikerIn","1182","","",""
"Einige Sorgen","2011","(noch) kein Abschluss","258","","",""
"Einige Sorgen","2011","Hauptschule","3293","0.474286207997756","0.462597862493213","0.485974553502299"
"Einige Sorgen","2011","Realschule","2686","","",""
"Einige Sorgen","2011","(Fach-)Abitur","1268","","",""
"Einige Sorgen","2011","AkademikerIn","2548","","",""
"Keine Sorgen","2011","(noch) kein Abschluss","123","","",""
"Keine Sorgen","2011","Hauptschule","894","0.120892869206344","0.113261906143697","0.128523832268991"
"Keine Sorgen","2011","Realschule","820","0.149512049700741","0.140053513076268","0.158970586325214"
"Keine Sorgen","2011","(Fach-)Abitur","466","0.180689089712311","0.165334091389308","0.196044088035315"
